,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,20,Udoka Azubuike,C,6-10,280,1999-09-17,NG,R,Kansas
1,44,Bojan Bogdanović,SF,6-7,226,1989-04-18,BA,6,
2,5,Jarrell Brantley,PF,6-5,250,1996-06-07,US,1,College of Charleston
3,0,Jordan Clarkson,SG,6-4,194,1992-06-07,US,6,"Tulsa, Missouri"
4,10,Mike Conley,PG,6-1,175,1987-10-11,US,13,Ohio State
5,15,Derrick Favors,C,6-9,265,1991-07-15,US,10,Georgia Tech
6,3,Trent Forrest,PG,6-4,210,1998-06-12,US,R,Florida State
7,27,Rudy Gobert,C,7-1,258,1992-06-26,FR,7,
8,8,Shaquille Harrison,SG,6-4,190,1993-10-06,US,3,Tulsa
9,33,Elijah Hughes,SF,6-5,215,1998-03-10,US,R,"Syracuse, East Carolina University"
10,77,Ersan İlyasova,PF,6-9,235,1987-05-15,TR,12,
11,2,Joe Ingles,SF,6-8,220,1987-10-02,AU,6,
12,45,Donovan Mitchell,PG,6-1,215,1996-09-07,US,3,Louisville
13,16,Juwan Morgan,PF,6-7,232,1997-04-17,US,1,Indiana
14,31,Georges Niang,PF,6-7,230,1993-06-17,US,4,Iowa State
15,23,Royce O'Neale,SF,6-4,226,1993-06-05,US,3,"Denver, Baylor"
16,81,Miye Oni,SG,6-5,206,1997-08-04,US,1,Yale
17,21,Matt Thomas,SG,6-4,190,1994-08-04,US,1,Iowa State
