,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,19-355,WAS,AWAY,PHI,L (-6),1,28:06,1.215,1.500,0.0,15.2,7.9,4.8,1.6,0.0,25.8,5.8,140,108,6.7,2.6
1,2020-12-26,19-358,WAS,HOME,ORL,L (-10),1,14:40,1.025,1.250,0.0,20.9,10.1,16.6,0.0,0.0,0.0,6.6,198,119,4.7,2.4
2,2020-12-27,19-359,WAS,HOME,ORL,L (-7),1,36:11,.409,.409,5.6,20.6,13.0,9.5,2.7,0.0,8.3,13.8,98,118,9.1,-3.4
3,2020-12-29,19-361,WAS,HOME,CHI,L (-8),1,26:19,.750,.750,0.0,16.6,8.7,23.1,3.5,3.6,14.3,11.2,133,102,9.7,8.4
4,2020-12-31,19-363,WAS,HOME,CHI,L (-3),1,24:32,.510,.400,4.4,15.9,9.7,15.4,0.0,0.0,0.0,9.9,135,130,6.6,-2.1
5,2021-01-01,19-364,WAS,AWAY,MIN,W (+21),1,27:14,.786,.786,0.0,26.8,14.3,12.6,5.0,0.0,12.5,12.3,136,94,12.7,7.1
6,2021-01-03,20-000,WAS,AWAY,BRK,W (+1),1,16:23,.375,.375,0.0,6.8,2.9,7.3,2.7,6.0,20.0,11.6,68,109,1.5,-4.9
7,2021-01-06,20-003,WAS,AWAY,PHI,L (-5),1,15:31,.266,.000,0.0,0.0,0.0,0.0,0.0,5.9,0.0,4.8,61,127,-0.6,-9.0
8,2021-01-08,20-005,WAS,AWAY,BOS,L (-9),1,14:25,.000,.000,0.0,15.9,7.7,8.1,0.0,0.0,0.0,8.9,21,115,-1.6,-12.7
9,2021-01-09,20-006,WAS,HOME,MIA,L (-4),1,31:38,.648,.633,0.0,18.1,7.6,22.7,2.8,0.0,0.0,20.0,133,116,18.5,8.7
10,2021-01-11,20-008,WAS,HOME,PHO,W (+21),1,19:48,.500,.500,5.1,20.6,12.8,6.0,0.0,0.0,25.0,17.4,86,112,2.4,-10.4
11,2021-01-31,20-028,WAS,HOME,BRK,W (+3),1,15:41,.250,.250,6.2,8.7,7.3,0.0,0.0,0.0,0.0,9.5,75,136,-0.2,-13.1
12,2021-02-02,20-030,WAS,HOME,POR,L (-11),1,23:04,1.009,1.000,17.3,17.7,17.6,17.5,0.0,0.0,0.0,13.0,207,138,15.0,9.6
13,2021-02-03,20-031,WAS,AWAY,MIA,W (+3),1,32:55,.722,.722,0.0,13.3,6.3,0.0,1.5,0.0,18.2,14.3,110,107,8.1,-0.3
14,2021-02-05,20-033,WAS,AWAY,MIA,L (-27),1,16:06,.400,.400,0.0,48.3,20.3,0.0,3.0,6.0,0.0,12.8,83,109,3.6,-3.9
15,2021-02-07,20-035,WAS,AWAY,CHO,L (-22),1,15:25,.400,.400,0.0,11.5,5.8,22.4,0.0,0.0,16.7,16.1,79,123,1.9,-7.4
16,2021-03-13,20-069,WAS,HOME,MIL,L (-6),1,35:00,.450,.450,2.7,8.6,5.6,3.7,1.2,2.5,9.1,12.7,87,115,4.6,-6.2
17,2021-03-27,20-083,WAS,HOME,DET,W (+14),1,26:51,.417,.417,4.2,14.9,9.8,8.8,3.4,0.0,0.0,9.5,104,86,6.9,3.8
18,2021-03-29,20-085,WAS,HOME,IND,W (+8),1,31:31,.872,.833,0.0,24.4,13.2,3.1,0.0,0.0,0.0,8.4,182,114,11.7,2.4
19,2021-03-30,20-086,WAS,HOME,CHO,L (-10),1,32:10,.150,.150,0.0,26.5,11.8,0.0,0.0,2.7,9.1,13.7,32,110,-3.9,-16.0
20,2021-04-01,20-088,WAS,AWAY,DET,L (-29),1,33:58,.451,.450,0.0,30.7,16.1,4.1,1.4,0.0,7.6,17.4,83,114,6.9,-6.6
21,2021-04-03,20-090,WAS,HOME,DAL,L (-22),1,39:21,.393,.364,2.7,17.4,10.4,4.0,0.0,0.0,0.0,13.1,91,119,5.2,-5.0
22,2021-04-05,20-092,WAS,AWAY,TOR,L (-2),1,39:39,.551,.500,4.5,21.5,12.2,3.8,0.0,2.0,0.0,11.2,128,103,11.4,0.4
23,2021-04-07,20-094,WAS,AWAY,ORL,W (+15),1,29:31,.800,.800,0.0,18.9,10.7,8.3,0.0,0.0,0.0,15.5,152,120,13.5,2.0
