,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,23-145,WAS,AWAY,PHI,L (-6),1,25:33,.372,.385,4.5,16.7,10.8,0.0,0.0,3.2,13.0,25.4,64,108,1.1,-14.3
1,2020-12-26,23-148,WAS,HOME,ORL,L (-10),1,30:04,.864,.864,0.0,17.0,8.2,4.8,0.0,0.0,0.0,14.5,162,121,15.9,4.7
2,2020-12-27,23-149,WAS,HOME,ORL,L (-7),1,32:27,.533,.533,12.6,9.9,11.3,21.0,1.5,2.5,6.3,20.5,122,122,14.6,0.4
3,2020-12-29,23-151,WAS,HOME,CHI,L (-8),1,33:32,.580,.611,10.7,9.8,10.2,9.6,0.0,5.6,26.3,19.0,93,110,7.3,-5.5
4,2020-12-31,23-153,WAS,HOME,CHI,L (-3),1,34:14,.994,1.045,6.4,3.8,5.2,0.0,1.3,7.5,6.6,18.2,178,124,26.1,10.5
5,2021-01-01,23-154,WAS,AWAY,MIN,W (+21),1,22:01,1.027,1.071,10.9,23.7,17.7,12.9,0.0,0.0,18.6,20.5,162,107,17.4,8.4
6,2021-01-03,23-156,WAS,AWAY,BRK,W (+1),1,27:40,.815,.792,6.1,48.4,24.3,12.7,1.6,0.0,7.2,19.1,152,109,21.0,9.8
7,2021-01-06,23-159,WAS,AWAY,PHI,L (-5),1,33:55,.751,.667,6.6,21.0,12.1,3.4,0.0,0.0,0.0,8.5,167,133,10.1,-3.5
8,2021-01-08,23-161,WAS,AWAY,BOS,L (-9),1,29:31,.444,.429,7.2,23.2,15.0,9.0,1.5,3.0,0.0,11.4,111,108,8.4,-1.4
9,2021-01-09,23-162,WAS,HOME,MIA,L (-4),1,1:53,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,127,0.0,-11.7
