,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-12-08,34-291,BRK,AWAY,HOU,L (-10),1,18:58,.333,.333,0.0,26.0,12.3,33.8,0.0,0.0,14.3,15.3,87,121,2.8,-5.6
1,2021-12-12,34-295,BRK,AWAY,DET,W (+12),1,23:22,.667,.667,10.3,14.3,12.4,27.8,0.0,0.0,25.0,7.1,142,104,7.5,3.0
2,2022-01-26,34-340,BRK,HOME,DEN,L (-6),1,38:18,.450,.417,3.0,19.9,11.7,23.9,3.7,0.0,13.1,17.2,101,116,12.7,-0.5
3,2022-02-04,34-349,BRK,AWAY,UTA,L (-23),1,20:56,.111,.111,12.1,13.1,12.5,5.9,0.0,0.0,10.0,20.3,47,136,-2.3,-23.0
4,2022-02-06,34-351,BRK,AWAY,DEN,L (-20),1,26:41,.357,.357,0.0,18.5,7.9,0.0,1.8,0.0,22.2,15.2,52,127,-1.3,-18.3
5,2022-02-16,34-361,BRK,AWAY,NYK,W (+5),1,31:49,.504,.462,3.0,20.1,11.1,22.2,1.6,0.0,17.8,21.7,102,112,8.9,-2.5
6,2022-02-24,35-004,BRK,HOME,BOS,L (-23),1,28:40,.272,.208,0.0,13.2,5.8,28.2,0.0,3.9,7.2,20.0,71,129,2.2,-9.0
7,2022-02-26,35-006,BRK,AWAY,MIL,W (+3),1,34:34,.509,.417,2.7,21.7,10.0,6.7,1.4,10.4,12.7,9.6,109,116,7.7,-1.2
8,2022-02-28,35-008,BRK,HOME,TOR,L (-36),1,18:15,.417,.417,11.7,11.2,11.4,28.4,0.0,4.3,25.0,17.7,89,131,2.8,-6.1
9,2022-03-01,35-009,BRK,AWAY,TOR,L (-1),1,31:26,.771,.773,0.0,6.6,3.6,14.6,0.0,2.3,14.0,21.0,132,119,14.3,6.8
