,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-12-01,26-206,ATL,AWAY,IND,W (+3),1,25:10,.667,.667,0.0,13.6,7.1,5.0,0.0,3.3,0.0,11.0,135,117,6.5,-0.3
1,2021-12-03,26-208,ATL,HOME,PHI,L (-2),1,18:22,.000,.000,0.0,18.7,9.0,0.0,0.0,0.0,33.3,7.6,0,110,-3.1,-15.8
2,2021-12-05,26-210,ATL,HOME,CHO,L (-3),1,38:43,.600,.600,0.0,11.8,5.9,5.9,0.0,5.1,0.0,11.2,129,133,9.0,-4.0
3,2021-12-06,26-211,ATL,AWAY,MIN,W (+11),1,37:42,.639,.639,2.8,2.4,2.6,8.5,1.3,0.0,0.0,21.1,130,124,15.4,1.7
4,2021-12-10,26-215,ATL,HOME,BRK,L (-8),1,31:10,.000,.000,9.6,3.7,6.8,4.2,1.5,0.0,0.0,10.4,34,118,-3.5,-14.8
5,2021-12-13,26-218,ATL,HOME,HOU,L (-6),1,20:40,.633,.500,0.0,15.8,8.2,6.2,2.3,0.0,13.7,15.4,118,130,6.1,-3.7
6,2021-12-15,26-220,ATL,AWAY,ORL,W (+12),1,20:05,.875,.875,6.0,5.2,5.6,6.9,2.4,0.0,20.0,11.4,138,106,6.7,1.8
7,2021-12-17,26-222,ATL,HOME,DEN,L (-18),1,33:01,.425,.300,0.0,9.4,3.9,7.4,1.4,0.0,14.5,8.5,90,130,3.9,-4.3
8,2022-01-03,26-239,ATL,AWAY,POR,L (-5),1,18:30,.800,.800,0.0,6.2,3.2,12.9,2.6,0.0,28.6,16.4,111,138,4.4,-3.3
9,2022-01-05,26-241,ATL,AWAY,SAC,W (+6),1,36:15,.625,.611,2.8,8.3,5.6,7.9,1.4,0.0,15.2,16.0,112,109,9.3,-1.5
10,2022-01-07,26-243,ATL,AWAY,LAL,L (-16),1,23:28,.000,.000,3.9,8.3,6.1,14.3,0.0,0.0,0.0,8.3,51,127,-0.5,-9.7
11,2022-01-12,26-248,ATL,HOME,MIA,L (-24),1,12:55,.410,.250,0.0,0.0,0.0,40.9,3.8,0.0,0.0,17.1,108,118,3.5,0.5
12,2022-03-23,26-318,ATL,AWAY,DET,L (-21),1,21:53,.214,.214,0.0,11.0,4.7,0.0,0.0,0.0,0.0,13.6,45,125,-2.1,-15.8
13,2022-03-28,26-323,ATL,AWAY,IND,W (+9),1,30:17,.752,.667,4.8,13.6,9.3,3.8,3.3,0.0,10.4,13.8,152,128,11.7,-0.3
14,2022-03-30,26-325,ATL,AWAY,OKC,W (+18),1,23:29,.625,.625,0.0,13.0,7.2,15.0,0.0,4.4,0.0,14.5,136,115,8.5,-0.2
15,2022-03-31,26-326,ATL,HOME,CLE,W (+24),1,27:14,.833,.700,4.0,10.4,7.4,8.9,1.8,0.0,12.2,13.0,161,110,11.5,3.5
16,2022-04-02,26-328,ATL,HOME,BRK,W (+7),1,22:24,.539,.438,4.1,11.9,8.1,7.2,2.0,0.0,0.0,19.2,122,111,8.3,-0.8
17,2022-04-05,26-331,ATL,AWAY,TOR,L (-10),1,21:03,.643,.700,4.6,4.3,4.4,12.6,0.0,0.0,0.0,11.7,138,129,5.1,-3.0
