,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-11-24,36-128,BRK,AWAY,BOS,W (+19),1,28:32,.576,.538,8.4,21.4,15.9,5.4,1.7,3.9,0.0,22.9,128,104,16.2,2.6
1,2021-11-27,36-131,BRK,HOME,PHO,L (-6),1,27:52,.699,.667,0.0,21.5,11.7,0.0,0.0,0.0,7.2,21.1,127,115,13.6,2.3
2,2021-11-30,36-134,BRK,HOME,NYK,W (+2),1,31:59,.400,.400,0.0,15.4,7.5,4.3,0.0,7.6,0.0,14.3,86,118,6.2,-6.5
3,2021-12-03,36-137,BRK,HOME,MIN,W (+5),1,34:22,.597,.550,4.0,11.2,8.2,9.6,0.0,2.7,8.4,14.9,116,109,9.4,0.2
4,2021-12-04,36-138,BRK,HOME,CHI,L (-4),1,32:35,.588,.588,5.4,15.7,10.1,0.0,1.5,0.0,0.0,20.9,122,114,16.0,1.4
5,2021-12-07,36-141,BRK,AWAY,DAL,W (+3),1,23:13,.603,.583,5.6,15.9,11.6,7.5,0.0,0.0,7.4,27.6,113,111,9.8,-0.6
6,2021-12-10,36-144,BRK,AWAY,ATL,W (+8),1,23:07,.718,.700,0.0,13.0,6.9,13.2,6.3,10.4,0.0,19.2,147,93,18.2,18.8
7,2021-12-12,36-146,BRK,AWAY,DET,W (+12),1,24:36,.705,.563,9.8,13.6,11.8,5.9,0.0,3.5,27.3,24.8,109,101,9.1,-4.8
8,2021-12-30,36-164,BRK,HOME,PHI,L (-8),1,27:16,.530,.450,12.9,16.3,14.8,0.0,0.0,5.2,8.1,19.7,114,112,8.6,-3.1
9,2022-01-01,36-166,BRK,HOME,LAC,L (-4),1,20:30,.385,.385,18.7,24.9,21.7,0.0,2.3,0.0,18.8,30.7,77,117,5.2,-12.7
10,2022-01-26,36-191,BRK,HOME,DEN,L (-6),1,32:49,.483,.438,0.0,26.6,13.6,0.0,0.0,2.8,5.1,25.8,91,121,9.7,-9.4
11,2022-03-01,36-225,BRK,AWAY,TOR,L (-1),1,29:30,.601,.542,8.3,24.8,17.2,15.1,0.0,0.0,0.0,20.8,136,113,15.2,5.7
