,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Tue, Oct 19, 2021",2021,10,19,7:30p,False,MIL,L,False,104,127,0,1,L 1
1,"Fri, Oct 22, 2021",2021,10,22,7:30p,False,PHI,W,False,114,109,1,1,W 1
2,"Sun, Oct 24, 2021",2021,10,24,4:00p,True,CHO,L,False,95,111,1,2,L 1
3,"Mon, Oct 25, 2021",2021,10,25,7:30p,True,WAS,W,False,104,90,2,2,W 1
4,"Wed, Oct 27, 2021",2021,10,27,7:30p,True,MIA,L,False,93,106,2,3,L 1
5,"Fri, Oct 29, 2021",2021,10,29,7:30p,True,IND,W,False,105,98,3,3,W 1
6,"Sun, Oct 31, 2021",2021,10,31,7:30p,True,DET,W,False,117,91,4,3,W 2
7,"Wed, Nov 3, 2021",2021,11,3,7:30p,True,ATL,W,False,117,108,5,3,W 3
8,"Fri, Nov 5, 2021",2021,11,5,7:00p,False,DET,W,False,96,90,6,3,W 4
9,"Sun, Nov 7, 2021",2021,11,7,3:30p,False,TOR,W,False,116,103,7,3,W 5
10,"Mon, Nov 8, 2021",2021,11,8,8:00p,False,CHI,L,False,95,118,7,4,L 1
11,"Wed, Nov 10, 2021",2021,11,10,7:00p,False,ORL,W,False,123,90,8,4,W 1
12,"Fri, Nov 12, 2021",2021,11,12,8:00p,False,NOP,W,False,120,112,9,4,W 2
13,"Sun, Nov 14, 2021",2021,11,14,7:00p,False,OKC,W,False,120,96,10,4,W 3
14,"Tue, Nov 16, 2021",2021,11,16,7:30p,True,GSW,L,False,99,117,10,5,L 1
15,"Wed, Nov 17, 2021",2021,11,17,7:30p,True,CLE,W,False,109,99,11,5,W 1
16,"Fri, Nov 19, 2021",2021,11,19,7:30p,True,ORL,W,False,115,113,12,5,W 2
17,"Mon, Nov 22, 2021",2021,11,22,7:00p,False,CLE,W,False,117,112,13,5,W 3
18,"Wed, Nov 24, 2021",2021,11,24,7:30p,False,BOS,W,False,123,104,14,5,W 4
19,"Sat, Nov 27, 2021",2021,11,27,7:30p,True,PHO,L,False,107,113,14,6,L 1
21,"Tue, Nov 30, 2021",2021,11,30,7:30p,True,NYK,W,False,112,110,15,6,W 1
22,"Fri, Dec 3, 2021",2021,12,3,7:30p,True,MIN,W,False,110,105,16,6,W 2
23,"Sat, Dec 4, 2021",2021,12,4,8:00p,True,CHI,L,False,107,111,16,7,L 1
24,"Tue, Dec 7, 2021",2021,12,7,7:30p,False,DAL,W,False,102,99,17,7,W 1
25,"Wed, Dec 8, 2021",2021,12,8,8:00p,False,HOU,L,False,104,114,17,8,L 1
26,"Fri, Dec 10, 2021",2021,12,10,7:30p,False,ATL,W,False,113,105,18,8,W 1
27,"Sun, Dec 12, 2021",2021,12,12,6:00p,False,DET,W,False,116,104,19,8,W 2
28,"Tue, Dec 14, 2021",2021,12,14,7:30p,True,TOR,W,True,131,129,20,8,W 3
29,"Thu, Dec 16, 2021",2021,12,16,7:30p,True,PHI,W,False,114,105,21,8,W 4
30,"Sat, Dec 18, 2021",2021,12,18,7:30p,True,ORL,L,False,93,100,21,9,L 1
31,"Sat, Dec 25, 2021",2021,12,25,8:00p,False,LAL,W,False,122,115,22,9,W 1
32,"Mon, Dec 27, 2021",2021,12,27,10:30p,False,LAC,W,False,124,108,23,9,W 2
33,"Thu, Dec 30, 2021",2021,12,30,7:00p,True,PHI,L,False,102,110,23,10,L 1
34,"Sat, Jan 1, 2022",2022,1,1,7:30p,True,LAC,L,False,116,120,23,11,L 2
35,"Mon, Jan 3, 2022",2022,1,3,7:30p,True,MEM,L,False,104,118,23,12,L 3
36,"Wed, Jan 5, 2022",2022,1,5,7:30p,False,IND,W,False,129,121,24,12,W 1
