,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-12-06,26-069,CHO,HOME,PHI,L (-3),1,42:01,.521,.538,4.7,13.6,8.3,12.5,0.0,0.0,22.9,18.0,91,126,7.5,-8.8
1,2021-12-08,26-071,CHO,HOME,PHI,L (-4),1,43:00,.750,.750,6.2,9.6,7.9,10.0,3.5,0.0,11.1,9.4,144,115,14.0,4.9
2,2021-12-10,26-073,CHO,HOME,SAC,W (+1),1,42:57,.669,.625,11.5,9.3,10.3,13.9,2.3,5.6,17.4,17.3,131,124,20.0,0.7
3,2021-12-13,26-076,CHO,AWAY,DAL,L (-24),1,30:13,.500,.500,0.0,9.3,3.6,20.6,3.8,0.0,28.6,10.6,93,142,5.3,-5.9
4,2021-12-15,26-078,CHO,AWAY,SAS,W (+16),1,40:29,.781,.769,6.6,14.2,11.0,8.6,0.0,2.2,13.0,17.6,141,122,18.7,1.9
5,2022-01-17,26-111,CHO,AWAY,NYK,W (+10),1,45:33,.365,.364,4.7,11.2,8.0,9.6,0.0,2.3,7.5,14.0,85,101,6.4,-4.3
6,2022-01-23,26-117,CHO,HOME,ATL,L (-22),1,28:35,.700,.700,0.0,10.1,5.1,11.6,1.7,3.4,0.0,7.3,143,112,7.5,1.3
7,2022-01-25,26-119,CHO,AWAY,TOR,L (-12),1,36:52,.205,.250,8.9,18.6,13.2,7.0,1.3,0.0,0.0,11.8,74,128,2.8,-10.5
8,2022-01-26,26-120,CHO,AWAY,IND,W (+32),1,26:01,.619,.625,5.8,8.2,7.2,11.9,1.7,6.4,10.1,15.1,130,118,10.2,0.5
9,2022-01-28,26-122,CHO,HOME,LAL,W (+3),1,29:46,.444,.429,3.8,15.8,10.3,8.5,0.0,3.2,11.3,13.5,98,120,3.8,-9.7
10,2022-01-30,26-124,CHO,HOME,LAC,L (-25),1,39:28,.500,.500,1.9,9.4,4.7,4.3,1.2,0.0,11.1,9.3,89,114,5.1,-6.5
