,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-30,27-066,IND,HOME,TOR,L (-3),1,15:33,.638,.650,0.0,7.0,3.5,37.5,6.4,0.0,14.5,39.7,104,95,10.9,11.8
1,2021-11-01,27-068,IND,HOME,SAS,W (+13),1,23:37,.402,.395,0.0,11.0,5.4,35.7,0.0,0.0,13.1,42.2,92,125,6.8,-15.4
2,2021-11-03,27-070,IND,HOME,NYK,W (+13),1,31:04,.509,.472,0.0,5.8,3.3,26.1,1.6,7.4,0.0,29.5,118,104,17.2,7.6
3,2021-11-05,27-072,IND,AWAY,POR,L (-4),1,33:52,.286,.286,3.3,10.9,6.9,24.7,1.5,0.0,0.0,28.8,79,119,5.3,-13.0
4,2021-11-07,27-074,IND,AWAY,SAC,W (+3),1,30:52,.463,.432,12.3,9.5,10.7,6.8,1.7,3.1,11.2,37.9,98,99,11.0,-0.5
5,2021-11-13,27-080,IND,HOME,PHI,W (+5),1,24:46,.551,.550,0.0,8.1,4.7,15.6,0.0,2.9,21.6,26.0,92,125,6.2,-9.8
6,2021-11-15,27-082,IND,AWAY,NYK,L (-8),1,31:09,.498,.357,0.0,10.8,5.1,19.0,3.5,0.0,5.5,27.8,105,102,12.0,3.1
7,2021-11-17,27-084,IND,AWAY,DET,L (-8),1,30:31,.488,.472,0.0,10.7,5.6,7.2,1.7,0.0,5.1,29.0,95,104,9.0,0.9
8,2021-11-19,27-086,IND,AWAY,CHO,L (-3),1,18:10,.375,.375,0.0,36.7,15.9,0.0,0.0,0.0,0.0,18.9,76,122,2.3,-13.1
9,2021-11-20,27-087,IND,HOME,NOP,W (+17),1,16:32,.357,.357,0.0,5.9,3.0,24.1,2.9,0.0,12.5,21.3,79,99,2.9,-7.3
10,2021-11-22,27-089,IND,AWAY,CHI,W (+32),1,20:03,.667,.667,0.0,9.0,4.9,18.7,2.5,4.2,18.2,24.2,106,81,9.8,4.6
11,2021-11-24,27-091,IND,HOME,LAL,L (-8),1,27:26,.385,.385,0.0,12.3,5.6,17.9,0.0,3.3,7.1,21.5,84,117,4.0,-7.7
