,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-21,30-093,DAL,AWAY,ATL,L (-26),1,20:13,.316,.200,8.0,10.3,9.0,8.3,2.3,0.0,13.7,15.3,75,110,2.4,-6.6
1,2021-10-23,30-095,DAL,AWAY,TOR,W (+8),1,24:37,.975,1.000,7.6,0.0,3.9,12.1,2.1,4.1,0.0,10.2,210,104,12.6,8.4
2,2021-10-26,30-098,DAL,HOME,HOU,W (+10),1,24:49,.595,.600,0.0,16.5,7.8,5.2,3.8,4.1,14.5,11.3,105,98,5.9,-3.0
3,2021-10-28,30-100,DAL,HOME,SAS,W (+5),1,24:44,.427,.417,8.4,4.1,6.3,6.2,2.0,0.0,18.9,28.9,80,106,3.4,-10.2
4,2021-10-29,30-101,DAL,AWAY,DEN,L (-31),1,19:13,.694,.625,4.8,7.1,5.7,0.0,0.0,0.0,14.8,16.1,118,112,4.8,-2.8
5,2021-10-31,30-103,DAL,HOME,SAC,W (+6),1,33:02,.888,.900,11.9,11.2,11.5,4.3,1.5,2.4,12.9,10.5,163,105,13.9,2.9
6,2021-11-02,30-105,DAL,HOME,MIA,L (-15),1,25:00,.577,.667,8.2,29.5,17.9,11.6,2.1,3.3,0.0,9.4,143,126,7.8,0.9
7,2021-11-03,30-106,DAL,AWAY,SAS,W (+1),1,22:55,.750,.750,20.9,4.6,13.1,0.0,0.0,3.1,42.9,11.8,99,105,4.7,-5.8
8,2021-11-06,30-109,DAL,HOME,BOS,W (+3),1,22:37,1.000,1.000,0.0,31.1,16.8,0.0,2.3,11.6,33.3,6.4,117,100,6.5,4.3
9,2021-11-08,30-111,DAL,HOME,NOP,W (+16),1,22:00,.429,.429,28.0,14.2,20.5,18.0,2.3,0.0,12.5,17.0,120,99,8.0,-0.7
10,2021-11-10,30-113,DAL,AWAY,CHI,L (-10),1,22:05,1.000,1.000,9.5,10.1,9.8,0.0,0.0,7.5,0.0,12.4,194,121,12.4,8.4
11,2021-11-12,30-115,DAL,AWAY,SAS,W (+14),1,15:33,1.000,1.000,19.3,7.5,13.9,16.8,0.0,11.4,0.0,8.2,216,103,9.1,8.2
12,2021-11-15,30-118,DAL,HOME,DEN,W (+10),1,17:44,.363,.333,23.5,18.5,21.1,6.8,0.0,0.0,12.7,20.8,100,113,3.4,-11.5
13,2021-11-17,30-120,DAL,AWAY,PHO,L (-7),1,21:46,1.500,1.500,9.0,45.0,27.0,18.5,2.3,0.0,0.0,2.1,257,101,9.8,8.1
14,2021-11-19,30-122,DAL,AWAY,PHO,L (-8),1,19:47,.500,.500,13.7,6.1,10.4,14.0,0.0,0.0,0.0,4.4,160,124,4.4,-4.3
15,2021-11-21,30-124,DAL,AWAY,LAC,L (-6),1,18:40,.643,.643,12.2,19.8,15.9,10.8,0.0,5.6,12.5,20.4,117,109,8.0,4.8
