,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,44,Dāvis Bertāns,PF,6-10,225,1992-11-12,LV,5,
1,44,Charlie Brown Jr.,SG,6-6,199,1997-02-02,US,2,Saint Joseph's
2,9,Moses Brown,C,7-2,245,1999-10-13,US,2,UCLA
3,0,Sterling Brown,SG,6-5,219,1995-02-10,US,4,SMU
4,13,Jalen Brunson,SG,6-1,190,1996-08-31,US,3,Villanova
5,25,Reggie Bullock,SF,6-6,205,1991-03-16,US,8,UNC
6,3,Trey Burke,PG,6-0,185,1992-11-12,US,8,Michigan
7,33,Willie Cauley-Stein,C,7-0,240,1993-08-18,US,6,Kentucky
8,32,Marquese Chriss,PF,6-9,240,1997-07-02,US,5,Washington
9,26,Spencer Dinwiddie,PG,6-5,215,1993-04-06,US,7,Colorado
10,77,Luka Dončić,PG,6-7,230,1999-02-28,SI,3,
11,10,Dorian Finney-Smith,PF,6-7,220,1993-05-04,US,5,Florida
12,8,Josh Green,SG,6-5,200,2000-11-16,AU,1,Arizona
13,11,Tim Hardaway Jr.,SG,6-5,205,1992-03-16,US,8,Michigan
14,23,Carlik Jones,PG,6-1,185,1997-12-23,US,R,"Radford, Louisville"
15,94,George King,SF,6-6,225,1994-01-15,US,1,Colorado
16,42,Maxi Kleber,PF,6-10,240,1992-01-29,DE,4,
17,20,Brandon Knight,PG,6-2,182,1991-12-02,US,8,Kentucky
18,51,Boban Marjanović,C,7-3,290,1988-08-15,RS,6,
19,30,JaQuori McLaughlin,PG,6-4,190,1998-01-29,US,R,"Oregon State, UC Santa Barbara"
20,21,Frank Ntilikina,SG,6-4,200,1998-07-28,BE,4,
21,2,Eugene Omoruyi,SF,6-7,244,1997-02-14,NG,R,"Rutgers University, Oregon"
22,1,Theo Pinson,SF,6-5,212,1995-11-05,US,3,UNC
23,6,Kristaps Porziņģis,PF,7-3,240,1995-08-02,LV,5,
24,7,Dwight Powell,C,6-10,240,1991-07-20,CA,7,Stanford
25,2,Isaiah Thomas,PG,5-9,185,1989-02-07,US,10,Washington
26,5,Moses Wright,PF,6-9,233,1998-12-23,US,R,Georgia Tech
