,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,30-287,DEN,AWAY,PHO,W (+12),1,33:30,.714,.714,0.0,16.9,9.4,22.0,1.5,0.0,0.0,19.3,149,100,18.9,10.8
1,2021-10-22,30-289,DEN,HOME,SAS,W (+6),1,31:38,.462,.462,3.8,22.8,13.3,25.0,0.0,0.0,0.0,17.8,115,99,11.2,3.4
2,2021-10-25,30-292,DEN,HOME,CLE,L (-12),1,31:29,.607,.611,3.1,3.2,3.2,5.6,3.2,5.3,16.8,16.1,101,101,10.4,5.6
3,2021-10-26,30-293,DEN,AWAY,UTA,L (-12),1,36:53,.591,.594,0.0,13.7,6.8,12.9,1.3,2.8,18.4,26.6,98,123,12.8,-2.8
4,2021-10-29,30-296,DEN,HOME,DAL,W (+31),1,27:15,.683,.667,0.0,16.9,10.1,34.5,0.0,0.0,13.9,23.6,125,81,14.7,9.8
5,2021-10-30,30-297,DEN,AWAY,MIN,W (+2),1,30:34,.425,.350,3.5,3.2,3.3,5.0,5.0,6.5,25.4,21.9,72,94,5.9,-2.7
6,2021-11-01,30-299,DEN,AWAY,MEM,L (-9),1,29:02,.225,.125,3.3,11.0,7.0,17.7,3.3,0.0,18.4,16.9,61,107,2.8,-8.6
7,2021-11-03,30-301,DEN,AWAY,MEM,L (-2),1,40:14,.619,.619,2.7,6.6,4.5,28.0,2.5,2.5,8.7,25.5,124,113,22.6,10.8
8,2021-11-06,30-304,DEN,HOME,HOU,W (+1),1,36:51,.395,.395,2.6,18.6,9.9,29.1,1.4,2.8,5.0,24.2,91,101,11.9,1.1
9,2021-11-08,30-306,DEN,HOME,MIA,W (+17),1,34:55,.893,.893,0.0,16.0,8.0,27.8,1.5,0.0,0.0,17.4,180,104,24.3,19.3
10,2021-11-10,30-308,DEN,HOME,IND,W (+3),1,33:53,.755,.737,0.0,22.4,9.8,20.8,3.2,0.0,9.1,30.2,135,105,24.2,16.1
11,2021-11-12,30-310,DEN,HOME,ATL,W (+9),1,35:24,.219,.182,0.0,12.8,6.8,3.6,0.0,0.0,0.0,14.7,54,107,-0.1,-13.5
12,2021-11-18,30-316,DEN,HOME,PHI,L (-14),1,34:08,.658,.643,2.9,26.8,13.9,50.8,0.0,0.0,12.2,21.8,126,114,18.3,10.0
13,2021-11-19,30-317,DEN,HOME,CHI,L (-6),1,33:40,.664,.656,0.0,11.9,6.5,16.3,0.0,2.3,10.4,27.1,118,125,16.6,2.4
14,2021-11-21,30-319,DEN,AWAY,PHO,L (-29),1,28:08,.291,.267,3.2,17.1,9.2,13.0,1.8,0.0,5.5,27.6,67,128,2.4,-11.8
15,2021-11-23,30-321,DEN,AWAY,POR,L (-19),1,34:32,.550,.550,7.3,19.9,13.9,30.0,0.0,0.0,28.6,19.5,102,132,8.9,-5.1
16,2021-11-26,30-324,DEN,HOME,MIL,L (-11),1,39:02,.407,.400,2.6,36.4,14.8,15.7,2.6,0.0,4.6,25.3,91,124,11.9,-4.7
17,2021-11-29,30-327,DEN,AWAY,MIA,W (+9),1,32:37,.888,.857,0.0,17.5,9.9,15.9,0.0,0.0,27.6,16.6,126,123,11.6,2.8
18,2021-12-01,30-329,DEN,AWAY,ORL,L (-5),1,31:57,.504,.462,0.0,17.2,8.1,14.3,0.0,0.0,12.6,23.1,90,112,7.4,-4.5
19,2021-12-04,30-332,DEN,AWAY,NYK,W (+14),1,30:42,.500,.500,4.9,15.6,11.4,25.9,0.0,0.0,0.0,20.5,131,117,11.1,-1.3
20,2021-12-06,30-334,DEN,AWAY,CHI,L (-12),1,35:29,.475,.475,5.1,7.8,6.4,5.0,0.0,2.4,9.1,26.7,87,116,9.1,-4.0
21,2021-12-08,30-336,DEN,AWAY,NOP,W (+6),1,41:49,.530,.500,0.0,10.0,4.8,21.0,1.2,2.1,13.7,25.0,98,112,13.2,-1.3
22,2021-12-09,30-337,DEN,AWAY,SAS,L (-12),1,33:42,.594,.594,0.0,10.2,4.9,18.6,2.9,0.0,15.8,25.1,98,125,12.9,-0.7
23,2021-12-15,30-343,DEN,HOME,MIN,L (-17),1,20:06,.450,.375,5.7,18.4,11.8,23.2,0.0,0.0,10.1,21.2,101,129,5.5,-7.1
24,2021-12-17,30-345,DEN,AWAY,ATL,W (+18),1,27:34,.250,.250,0.0,27.7,16.3,15.0,0.0,5.4,9.1,17.7,70,109,3.7,-9.5
25,2021-12-22,30-350,DEN,AWAY,OKC,L (-14),1,21:17,.318,.318,9.2,13.5,11.4,17.2,2.3,0.0,8.3,25.4,73,110,3.4,-7.2
26,2021-12-23,30-351,DEN,HOME,CHO,L (-8),1,33:32,.506,.500,0.0,23.0,12.4,16.7,1.4,0.0,15.5,15.6,97,109,9.7,-0.2
27,2021-12-26,30-354,DEN,AWAY,LAC,W (+3),1,35:48,.461,.444,0.0,11.7,5.7,13.6,2.7,0.0,9.8,24.1,88,100,9.7,-2.5
28,2021-12-28,30-356,DEN,AWAY,GSW,W (+3),1,35:46,.643,.600,5.6,6.9,6.2,21.8,1.5,3.4,15.5,24.3,115,99,16.8,10.4
29,2022-01-01,30-360,DEN,AWAY,HOU,W (+13),1,29:02,.482,.458,0.0,14.4,8.1,26.3,3.4,3.8,7.4,19.2,118,110,11.9,0.6
30,2022-01-03,30-362,DEN,AWAY,DAL,L (-14),1,32:24,.466,.417,4.4,10.8,7.9,35.5,1.6,0.0,35.2,28.1,77,113,3.4,-5.7
31,2022-01-05,30-364,DEN,HOME,UTA,L (-6),1,38:38,.533,.471,3.0,8.5,5.8,18.7,0.0,2.4,0.0,21.9,119,120,15.9,2.4
32,2022-01-07,31-001,DEN,HOME,SAC,W (+10),1,33:43,.506,.444,0.0,5.9,3.2,20.0,1.5,0.0,23.3,17.9,95,117,6.9,-6.0
33,2022-01-09,31-003,DEN,AWAY,OKC,W (+4),1,30:28,.470,.429,3.3,10.3,6.7,21.6,0.0,0.0,6.3,22.5,113,113,9.6,-1.1
34,2022-01-13,31-007,DEN,HOME,POR,W (+32),1,25:27,.717,.750,6.5,12.6,10.2,9.7,1.9,0.0,6.4,27.6,136,109,16.4,2.8
35,2022-01-15,31-009,DEN,HOME,LAL,W (+37),1,22:33,1.020,1.000,0.0,12.8,6.9,5.5,0.0,0.0,14.5,14.0,161,110,10.7,3.1
36,2022-01-16,31-010,DEN,HOME,UTA,L (-23),1,35:57,.447,.412,0.0,6.4,3.0,15.7,1.4,3.0,0.0,22.2,95,128,11.2,-1.4
37,2022-01-19,31-013,DEN,HOME,LAC,W (+2),1,41:21,.438,.438,0.0,11.9,5.6,11.6,0.0,2.2,20.0,10.6,88,129,5.3,-7.8
38,2022-01-21,31-015,DEN,HOME,MEM,L (-4),1,38:00,.683,.667,0.0,15.8,7.4,33.3,0.0,2.2,13.2,25.2,124,124,22.0,6.8
39,2022-01-23,31-017,DEN,HOME,DET,W (+6),1,26:56,.636,.636,4.7,29.7,15.7,26.8,1.8,0.0,8.3,20.2,130,112,13.2,4.3
40,2022-01-26,31-020,DEN,AWAY,BRK,W (+6),1,34:08,.503,.475,9.6,23.4,16.4,18.3,2.8,2.4,12.6,29.5,105,111,15.7,-0.9
41,2022-01-30,31-024,DEN,AWAY,MIL,W (+36),1,27:12,.952,1.000,5.5,8.6,7.3,20.8,0.0,3.7,0.0,13.7,200,109,17.2,11.0
42,2022-02-01,31-026,DEN,AWAY,MIN,L (-15),1,26:33,.547,.500,0.0,11.1,5.5,17.6,1.8,0.0,7.8,20.5,109,131,9.9,-0.6
43,2022-02-02,31-027,DEN,AWAY,UTA,L (-4),1,35:04,.404,.406,3.8,27.4,16.2,16.2,1.5,7.2,22.4,31.1,75,111,7.6,-8.7
44,2022-02-04,31-029,DEN,HOME,NOP,L (-8),1,33:39,.567,.567,3.6,14.8,8.3,12.1,4.7,2.9,16.7,25.6,97,116,11.4,-2.7
45,2022-02-06,31-031,DEN,HOME,BRK,W (+20),1,33:20,.717,.667,0.0,16.6,9.5,14.8,0.0,3.1,12.0,21.2,132,108,17.5,3.2
46,2022-02-08,31-033,DEN,HOME,NYK,W (+17),1,37:13,.833,.833,6.6,11.9,9.7,18.1,1.3,0.0,14.3,16.2,151,118,18.6,6.2
47,2022-02-11,31-036,DEN,AWAY,BOS,L (-6),1,33:18,.597,.600,0.0,14.9,8.2,13.6,0.0,0.0,15.5,15.6,107,109,8.7,-0.2
48,2022-02-12,31-037,DEN,AWAY,TOR,W (+1),1,28:51,.556,.556,0.0,10.9,5.9,10.3,1.8,0.0,18.2,16.6,97,117,6.2,-3.1
49,2022-02-14,31-039,DEN,HOME,ORL,W (+10),1,33:08,.644,.545,0.0,19.9,10.8,0.0,0.0,2.8,7.0,17.1,126,107,13.5,-0.8
