,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-31,23-092,DET,AWAY,BRK,L (-26),1,19:38,.500,.500,5.3,30.6,14.0,0.0,0.0,0.0,14.3,16.5,85,130,2.8,-8.9
1,2021-12-12,23-134,DET,HOME,BRK,L (-12),1,20:26,.619,.625,5.5,11.7,8.5,8.6,2.2,0.0,10.1,19.5,113,112,7.8,-1.6
2,2021-12-16,23-138,DET,AWAY,IND,L (-9),1,24:53,.820,.833,0.0,4.9,2.5,0.0,0.0,0.0,0.0,13.3,163,129,8.5,-2.8
3,2021-12-18,23-140,DET,HOME,HOU,L (-9),1,21:47,.429,.438,0.0,16.5,7.4,0.0,4.3,0.0,9.7,18.9,80,108,3.9,-7.1
4,2021-12-19,23-141,DET,HOME,MIA,W (+10),1,29:32,.663,.700,0.0,23.2,13.2,13.8,0.0,0.0,20.9,23.0,98,98,9.7,-0.4
5,2021-12-21,23-143,DET,AWAY,NYK,L (-14),1,33:43,.385,.385,5.8,11.2,8.5,5.3,7.2,0.0,13.3,18.7,74,97,8.0,-2.3
6,2021-12-23,23-145,DET,AWAY,MIA,L (-3),1,34:24,.466,.500,0.0,19.5,9.7,24.0,2.8,0.0,7.2,18.1,100,113,9.1,-2.9
7,2021-12-26,23-148,DET,AWAY,SAS,L (-35),1,39:23,.660,.711,0.0,9.9,3.9,11.0,3.3,1.9,24.8,27.1,95,126,15.3,-2.9
8,2021-12-29,23-151,DET,HOME,NYK,L (-9),1,38:40,.702,.711,5.5,29.7,17.7,35.8,6.5,0.0,15.3,30.7,119,86,27.8,13.6
9,2022-01-01,23-154,DET,HOME,SAS,W (+1),1,49:46,.473,.406,9.3,17.7,13.4,15.7,4.8,3.4,7.7,30.6,110,97,28.0,5.2
10,2022-01-03,23-156,DET,AWAY,MIL,W (+9),1,32:23,.413,.417,6.6,21.2,14.2,20.3,1.5,0.0,7.0,19.3,102,107,9.6,-2.7
11,2022-01-05,23-158,DET,AWAY,CHO,L (-29),1,23:32,.571,.571,4.1,11.7,7.2,5.9,2.0,0.0,0.0,14.1,123,139,7.1,-6.9
12,2022-01-06,23-159,DET,AWAY,MEM,L (-30),1,25:12,.450,.417,7.2,16.2,11.4,7.8,0.0,0.0,7.0,23.6,91,117,7.1,-5.2
13,2022-01-08,23-161,DET,HOME,ORL,W (+5),1,28:35,.500,.500,3.9,16.8,10.8,0.0,5.2,4.2,0.0,26.9,99,86,12.6,2.9
14,2022-01-10,23-163,DET,HOME,UTA,W (+10),1,23:53,.635,.643,0.0,40.2,20.4,20.1,4.1,0.0,11.3,16.3,129,109,12.1,4.8
15,2022-01-11,23-164,DET,AWAY,CHI,L (-46),1,17:59,.500,.500,0.0,46.7,18.3,12.1,5.2,0.0,12.5,18.0,90,114,5.9,-0.9
16,2022-01-14,23-167,DET,HOME,TOR,W (+16),1,25:35,.563,.563,14.4,11.3,12.6,0.0,4.3,3.8,5.9,32.2,111,95,13.5,3.6
17,2022-01-16,23-169,DET,HOME,PHO,L (-27),1,28:53,.536,.500,3.7,13.1,8.0,0.0,0.0,2.8,17.7,17.8,88,135,4.7,-11.0
18,2022-01-18,23-171,DET,AWAY,GSW,L (-16),1,35:22,.398,.324,5.2,28.7,17.0,0.0,2.8,0.0,9.1,26.9,80,97,8.4,-2.9
19,2022-01-19,23-172,DET,AWAY,SAC,W (+2),1,27:26,.765,.800,0.0,14.6,6.9,13.5,0.0,0.0,0.0,9.2,168,137,8.1,-3.7
20,2022-01-21,23-174,DET,AWAY,UTA,L (-10),1,19:24,.581,.500,0.0,6.5,2.9,16.2,2.6,0.0,0.0,16.4,130,119,7.3,1.6
21,2022-01-23,23-176,DET,AWAY,DEN,L (-6),1,20:25,.541,.429,15.7,0.0,6.9,13.5,0.0,0.0,10.7,20.8,117,126,5.5,-7.0
22,2022-01-25,23-178,DET,HOME,DEN,L (-5),1,26:24,.438,.438,11.1,8.5,9.9,6.4,3.6,0.0,11.1,29.2,86,109,7.0,-8.7
23,2022-01-28,23-181,DET,AWAY,ORL,L (-16),1,21:14,.375,.375,8.5,12.9,10.3,8.2,2.3,0.0,20.0,20.0,74,125,2.1,-11.8
24,2022-01-30,23-183,DET,HOME,CLE,W (+10),1,19:05,.333,.333,16.8,17.1,17.0,0.0,0.0,0.0,0.0,20.4,96,119,2.7,-13.7
25,2022-02-04,23-188,DET,HOME,BOS,L (-9),1,28:16,.535,.500,15.9,28.9,21.4,0.0,1.8,0.0,0.0,26.9,123,101,17.1,9.7
26,2022-02-06,23-190,DET,AWAY,MIN,L (-13),1,22:16,.463,.455,8.0,19.6,13.2,0.0,4.5,0.0,0.0,22.6,102,116,7.9,-4.7
27,2022-02-08,23-192,DET,AWAY,DAL,L (-30),1,26:28,.541,.464,3.4,19.1,9.9,8.2,1.9,0.0,5.7,28.6,109,120,11.6,3.2
28,2022-02-10,23-194,DET,HOME,MEM,L (-25),1,31:21,.594,.577,5.9,25.5,15.3,15.2,0.0,2.5,0.0,19.5,128,127,15.7,3.1
