,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,35,Marvin Bagley III,PF,6-11,235,1999-03-14,US,3,Duke
1,41,Saddiq Bey,SF,6-7,215,1999-04-09,US,1,Villanova
2,2,Cade Cunningham,SG,6-6,220,2001-09-25,US,R,Oklahoma State
3,0,Cheick Diallo,C,6-8,219,1996-09-13,ML,4,Kansas
4,6,Hamidou Diallo,SG,6-5,202,1998-07-31,US,3,Kentucky
5,20,Carsen Edwards,SG,5-11,200,1998-03-12,US,2,Purdue
6,55,Luka Garza,C,6-11,235,1998-12-27,US,R,Iowa
7,9,Jerami Grant,PF,6-8,210,1994-03-12,US,7,Syracuse
8,7,Killian Hayes,PG,6-5,195,2001-07-27,US,1,
9,5,Frank Jackson,PG,6-3,205,1998-05-04,US,3,Duke
10,20,Josh Jackson,SF,6-8,207,1997-02-10,US,4,Kansas
11,18,Cory Joseph,PG,6-3,200,1991-08-20,CA,10,Texas
12,8,Braxton Key,SF,6-8,230,1997-02-14,US,R,"Alabama, Virginia"
13,38,Saben Lee,PG,6-2,183,1999-06-23,US,1,Vanderbilt
14,12,Isaiah Livers,SF,6-7,230,1998-07-28,US,R,Michigan
15,8,Trey Lyles,PF,6-9,234,1995-11-05,CA,6,Kentucky
16,17,Rodney McGruder,SG,6-4,205,1991-07-29,US,5,Kansas State
17,13,Kelly Olynyk,C,6-11,240,1991-04-19,CA,8,Gonzaga
18,42,Jaysean Paige,PG,6-3,205,1994-07-30,US,R,"College of Southern Idaho, Moberly Area Community College, West Virginia"
19,31,Trayvon Palmer,SG,6-6,200,1994-11-13,US,R,"North Dakota State College of Science, Chicago State"
20,24,Jamorko Pickett,PF,6-9,206,1997-12-24,US,R,Georgetown
21,19,Micah Potter,C,6-10,248,1998-04-06,US,R,"Ohio State, Wisconsin"
22,34,Justin Robinson,PG,6-1,195,1997-10-12,US,2,Virginia Tech
23,91,Deividas Sirvydis,SG,6-8,190,2000-06-10,LT,1,
24,14,Cassius Stanley,SG,6-5,190,1999-08-18,US,1,Duke
25,28,Isaiah Stewart,C,6-8,250,2001-05-22,US,1,Washington
26,25,Derrick Walton,PG,6-0,189,1995-04-03,US,2,Michigan
