,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-19,33-219,GSW,AWAY,LAL,W (+7),1,36:11,.421,.286,2.7,26.0,14.0,38.6,3.5,0.0,13.8,31.2,94,97,17.3,1.8
1,2021-10-21,33-221,GSW,HOME,LAC,W (+2),1,37:33,.827,.800,0.0,25.1,13.9,5.7,1.2,2.3,18.1,37.3,124,108,32.5,13.8
2,2021-10-24,33-224,GSW,AWAY,SAC,W (+12),1,35:16,.527,.478,2.7,20.9,10.6,44.3,4.2,0.0,10.5,34.3,114,106,23.2,9.2
3,2021-10-26,33-226,GSW,AWAY,OKC,W (+8),1,32:18,.673,.571,3.7,15.5,10.1,19.8,0.0,2.9,19.0,29.6,114,107,16.9,3.2
4,2021-10-28,33-228,GSW,HOME,MEM,L (-3),1,40:40,.561,.500,2.7,15.3,9.2,42.3,1.2,0.0,13.5,41.2,103,99,23.4,9.9
5,2021-10-30,33-230,GSW,HOME,OKC,W (+21),1,27:11,.625,.625,0.0,18.0,8.7,39.8,1.7,4.0,11.1,28.8,116,81,16.6,13.4
6,2021-11-03,33-234,GSW,HOME,CHO,W (+22),1,35:25,.500,.500,2.9,17.2,10.6,36.0,1.3,2.5,21.1,23.4,99,91,12.5,-0.5
7,2021-11-05,33-236,GSW,HOME,NOP,W (+41),1,29:45,.535,.469,0.0,9.5,5.3,24.9,0.0,7.3,5.3,28.0,119,92,14.9,4.0
8,2021-11-07,33-238,GSW,HOME,HOU,W (+13),1,26:49,.625,.625,9.7,3.9,6.5,12.1,5.3,0.0,0.0,26.3,129,103,16.9,8.2
9,2021-11-08,33-239,GSW,HOME,ATL,W (+14),1,35:02,.741,.661,6.5,21.4,13.0,55.2,5.3,3.5,5.6,42.7,153,101,48.6,32.0
10,2021-11-10,33-241,GSW,HOME,MIN,W (+13),1,34:06,.640,.594,0.0,14.1,7.6,29.4,1.4,0.0,13.3,26.7,133,117,19.1,5.2
11,2021-11-12,33-243,GSW,HOME,CHI,W (+26),1,34:13,.818,.813,0.0,13.4,6.6,29.3,1.4,2.8,19.7,36.8,125,96,29.2,18.3
12,2021-11-14,33-245,GSW,AWAY,CHO,L (-4),1,35:42,.478,.386,2.9,16.0,9.2,47.0,4.0,2.6,10.7,32.5,104,101,20.5,9.8
13,2021-11-16,33-247,GSW,AWAY,BRK,W (+18),1,29:15,.891,.868,0.0,21.7,12.6,38.5,3.3,3.2,8.8,33.3,159,91,33.2,31.1
14,2021-11-18,33-249,GSW,AWAY,CLE,W (+15),1,35:23,.729,.722,0.0,12.9,7.1,39.4,3.0,0.0,9.9,42.3,120,100,29.9,17.8
15,2021-11-21,33-252,GSW,HOME,TOR,W (+15),1,37:04,.459,.250,0.0,4.5,2.8,28.5,1.3,0.0,23.4,21.0,103,114,8.6,-7.2
16,2021-11-24,33-255,GSW,HOME,PHI,W (+20),1,34:55,.741,.750,0.0,12.2,6.7,46.4,1.4,0.0,19.2,26.9,123,99,21.8,11.3
17,2021-11-26,33-257,GSW,HOME,POR,W (+15),1,38:04,.608,.600,0.0,20.1,10.4,31.7,1.3,0.0,10.2,33.9,120,109,23.8,6.6
18,2021-11-28,33-259,GSW,AWAY,LAC,W (+15),1,34:47,.721,.705,0.0,14.7,7.7,38.6,8.5,0.0,11.6,32.0,131,82,29.5,23.0
19,2021-11-30,33-261,GSW,AWAY,PHO,L (-8),1,35:58,.280,.262,3.2,6.1,4.7,8.7,1.4,2.3,8.5,27.4,70,112,1.3,-9.0
20,2021-12-03,33-264,GSW,HOME,PHO,W (+22),1,33:24,.551,.550,7.2,8.8,8.1,21.4,0.0,0.0,12.6,30.0,111,105,13.8,1.8
21,2021-12-04,33-265,GSW,HOME,SAS,L (-5),1,36:52,.422,.339,2.9,20.3,11.6,21.1,4.0,0.0,3.0,38.6,99,109,17.7,4.6
22,2021-12-06,33-267,GSW,HOME,ORL,W (+31),1,30:58,.794,.719,0.0,11.3,5.7,40.5,3.0,0.0,13.3,30.4,146,94,27.7,18.2
23,2021-12-08,33-269,GSW,HOME,POR,W (+10),1,33:21,.579,.579,6.4,0.0,3.2,13.4,1.5,0.0,17.4,29.7,96,100,10.5,1.0
24,2021-12-11,33-272,GSW,AWAY,PHI,L (-9),1,36:14,.414,.375,5.4,25.1,13.9,25.4,0.0,0.0,12.1,31.0,87,114,9.6,-1.8
25,2021-12-13,33-274,GSW,AWAY,IND,W (+2),1,35:21,.586,.525,3.6,13.3,9.2,26.2,1.4,2.4,24.0,37.0,99,105,15.9,4.8
26,2021-12-14,33-275,GSW,AWAY,NYK,W (+9),1,34:43,.553,.553,0.0,9.0,4.9,17.3,1.5,3.4,16.8,32.7,89,102,10.6,-1.4
27,2021-12-17,33-278,GSW,AWAY,BOS,W (+4),1,35:15,.601,.500,3.0,12.4,7.6,19.4,1.4,0.0,19.4,37.9,105,114,15.8,-0.7
28,2021-12-20,33-281,GSW,HOME,SAC,W (+15),1,36:14,.547,.556,0.0,10.5,5.0,18.4,0.0,5.2,12.7,38.6,99,105,16.6,-2.1
29,2021-12-23,33-284,GSW,HOME,MEM,W (+9),1,37:19,.843,.773,0.0,11.4,6.4,22.1,2.7,0.0,9.9,36.1,151,110,38.4,20.6
30,2021-12-25,33-286,GSW,AWAY,PHO,W (+9),1,37:12,.533,.463,0.0,13.2,6.5,26.6,4.3,2.4,3.1,39.9,122,115,24.6,7.6
31,2021-12-28,33-289,GSW,HOME,DEN,L (-3),1,39:05,.603,.531,0.0,10.2,5.6,21.7,0.0,0.0,23.9,30.3,95,103,10.6,0.3
32,2022-01-01,33-293,GSW,AWAY,UTA,W (+7),1,35:31,.664,.611,0.0,16.9,9.5,34.6,0.0,2.8,12.5,29.5,126,119,22.8,6.7
33,2022-01-03,33-295,GSW,HOME,MIA,W (+7),1,32:01,.252,.206,0.0,9.6,4.9,37.0,0.0,3.1,10.1,27.2,75,113,3.7,-12.4
34,2022-01-05,33-297,GSW,AWAY,DAL,L (-17),1,36:04,.272,.229,0.0,25.0,13.0,25.3,0.0,2.8,16.3,39.3,55,105,-0.1,-12.0
35,2022-01-09,33-301,GSW,HOME,CLE,W (+14),1,36:31,.615,.571,7.0,6.6,6.8,25.4,1.4,0.0,18.0,31.6,115,99,18.3,8.3
36,2022-01-11,33-303,GSW,AWAY,MEM,L (-8),1,38:41,.531,.429,3.0,21.5,13.2,49.5,2.4,0.0,10.6,31.8,110,108,23.3,5.9
37,2022-01-13,33-305,GSW,AWAY,MIL,L (-19),1,29:15,.505,.455,0.0,31.3,12.7,24.8,3.1,0.0,25.2,21.6,84,109,9.1,-1.2
38,2022-01-14,33-306,GSW,AWAY,CHI,W (+42),1,27:37,.598,.600,0.0,7.2,4.2,8.5,1.8,0.0,5.9,27.0,115,105,12.9,-2.7
39,2022-01-18,33-310,GSW,HOME,DET,W (+16),1,28:33,.758,.727,0.0,9.7,4.8,56.2,5.3,0.0,7.8,20.1,152,87,20.8,19.7
40,2022-01-20,33-312,GSW,HOME,IND,L (-4),1,43:57,.630,.556,0.0,11.8,6.0,35.0,1.1,0.0,6.1,31.1,133,116,29.8,10.1
41,2022-01-21,33-313,GSW,HOME,HOU,W (+2),1,38:56,.449,.381,0.0,11.7,6.2,46.8,1.3,2.3,7.5,30.4,106,106,17.0,3.9
42,2022-01-23,33-315,GSW,HOME,UTA,W (+2),1,35:02,.311,.275,6.2,5.8,6.0,28.2,0.0,0.0,4.6,31.1,85,123,6.2,-7.7
43,2022-01-25,33-317,GSW,HOME,DAL,W (+38),1,28:58,.520,.500,8.1,20.7,15.4,31.0,1.7,0.0,18.8,31.0,108,92,13.4,0.0
44,2022-01-27,33-319,GSW,HOME,MIN,W (+9),1,38:21,.680,.650,0.0,21.3,11.4,23.9,3.7,0.0,15.8,29.0,121,109,24.2,6.6
45,2022-01-29,33-321,GSW,HOME,BRK,W (+4),1,35:31,.460,.361,5.4,11.9,8.8,32.5,4.2,0.0,19.5,29.9,98,107,12.9,-0.1
46,2022-01-31,33-323,GSW,AWAY,HOU,W (+14),1,37:57,.754,.717,0.0,14.7,8.1,42.9,1.3,3.1,3.6,33.4,158,113,37.2,17.9
47,2022-02-03,33-326,GSW,HOME,SAC,W (+12),1,31:40,.842,.818,0.0,4.2,2.3,29.2,3.2,0.0,25.2,22.7,139,119,16.7,4.5
48,2022-02-07,33-330,GSW,AWAY,OKC,W (+12),1,36:34,.699,.667,0.0,22.7,13.1,39.6,1.4,0.0,23.7,21.2,121,101,17.9,4.2
49,2022-02-09,33-332,GSW,AWAY,UTA,L (-26),1,29:39,.542,.500,3.7,22.6,13.0,16.3,0.0,0.0,21.3,31.5,87,124,7.6,-5.4
50,2022-02-10,33-333,GSW,HOME,NYK,L (-2),1,39:08,.614,.540,0.0,5.0,2.8,43.0,1.2,0.0,9.5,36.7,121,122,25.5,7.6
51,2022-02-12,33-335,GSW,HOME,LAL,W (+2),1,36:36,.573,.441,0.0,12.6,6.7,34.0,1.3,0.0,8.7,26.4,123,116,19.8,4.3
52,2022-02-14,33-337,GSW,AWAY,LAC,L (-15),1,33:49,.854,.833,0.0,7.7,3.5,12.1,0.0,0.0,17.2,31.3,128,128,22.0,9.9
53,2022-02-16,33-339,GSW,HOME,DEN,L (-1),1,39:06,.602,.553,0.0,9.0,4.3,22.5,0.0,0.0,8.8,26.0,119,125,18.0,-2.0
54,2022-02-24,33-347,GSW,AWAY,POR,W (+37),1,27:27,.660,.545,0.0,20.8,11.4,67.5,1.7,4.0,18.0,25.5,141,94,21.1,12.8
55,2022-02-27,33-350,GSW,HOME,DAL,L (-6),1,38:04,.504,.500,2.5,10.0,5.7,50.2,2.6,0.0,3.6,31.9,114,113,22.7,10.0
56,2022-03-01,33-352,GSW,AWAY,MIN,L (-15),1,33:13,.608,.521,3.3,15.2,8.8,21.8,0.0,0.0,12.5,39.6,112,127,21.5,3.3
57,2022-03-03,33-354,GSW,AWAY,DAL,L (-9),1,40:26,.680,.667,0.0,17.0,8.6,31.0,1.3,0.0,16.3,21.5,133,136,18.3,2.6
58,2022-03-05,33-356,GSW,AWAY,LAL,L (-8),1,35:41,.682,.682,0.0,12.5,6.1,4.7,0.0,0.0,15.4,30.1,111,128,17.7,-0.1
59,2022-03-08,33-359,GSW,HOME,LAC,W (+15),1,35:03,.545,.458,0.0,12.9,7.0,18.4,4.1,0.0,22.5,21.4,96,93,11.0,-2.8
60,2022-03-10,33-361,GSW,AWAY,DEN,W (+11),1,37:58,.706,.643,0.0,28.4,13.4,13.5,2.7,0.0,7.7,31.8,131,105,28.1,12.0
61,2022-03-12,33-363,GSW,HOME,MIL,W (+13),1,33:09,.571,.571,3.4,11.4,7.7,28.5,1.5,3.0,36.4,14.5,104,114,9.1,-1.3
62,2022-03-14,34-000,GSW,HOME,WAS,W (+14),1,35:26,.824,.780,0.0,18.9,10.3,34.8,1.4,0.0,6.6,38.8,156,115,40.5,20.9
63,2022-03-16,34-002,GSW,HOME,BOS,L (-22),1,13:40,.375,.375,0.0,9.0,3.9,24.7,0.0,0.0,50.0,27.8,45,128,-2.5,-22.1
