,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Tue, Oct 19, 2021",2021,10,19,10:00p,False,LAL,W,False,121,114,1,0,W 1
1,"Thu, Oct 21, 2021",2021,10,21,10:00p,True,LAC,W,False,115,113,2,0,W 2
2,"Sun, Oct 24, 2021",2021,10,24,9:00p,False,SAC,W,False,119,107,3,0,W 3
3,"Tue, Oct 26, 2021",2021,10,26,8:00p,False,OKC,W,False,106,98,4,0,W 4
4,"Thu, Oct 28, 2021",2021,10,28,10:00p,True,MEM,L,True,101,104,4,1,L 1
5,"Sat, Oct 30, 2021",2021,10,30,8:30p,True,OKC,W,False,103,82,5,1,W 1
6,"Wed, Nov 3, 2021",2021,11,3,10:00p,True,CHO,W,False,114,92,6,1,W 2
7,"Fri, Nov 5, 2021",2021,11,5,10:00p,True,NOP,W,False,126,85,7,1,W 3
8,"Sun, Nov 7, 2021",2021,11,7,8:30p,True,HOU,W,False,120,107,8,1,W 4
9,"Mon, Nov 8, 2021",2021,11,8,10:00p,True,ATL,W,False,127,113,9,1,W 5
10,"Wed, Nov 10, 2021",2021,11,10,10:00p,True,MIN,W,False,123,110,10,1,W 6
11,"Fri, Nov 12, 2021",2021,11,12,10:00p,True,CHI,W,False,119,93,11,1,W 7
12,"Sun, Nov 14, 2021",2021,11,14,7:00p,False,CHO,L,False,102,106,11,2,L 1
13,"Tue, Nov 16, 2021",2021,11,16,7:30p,False,BRK,W,False,117,99,12,2,W 1
14,"Thu, Nov 18, 2021",2021,11,18,7:30p,False,CLE,W,False,104,89,13,2,W 2
15,"Fri, Nov 19, 2021",2021,11,19,7:00p,False,DET,W,False,105,102,14,2,W 3
16,"Sun, Nov 21, 2021",2021,11,21,8:30p,True,TOR,W,False,119,104,15,2,W 4
17,"Wed, Nov 24, 2021",2021,11,24,10:00p,True,PHI,W,False,116,96,16,2,W 5
18,"Fri, Nov 26, 2021",2021,11,26,10:00p,True,POR,W,False,118,103,17,2,W 6
19,"Sun, Nov 28, 2021",2021,11,28,3:30p,False,LAC,W,False,105,90,18,2,W 7
21,"Tue, Nov 30, 2021",2021,11,30,10:00p,False,PHO,L,False,96,104,18,3,L 1
22,"Fri, Dec 3, 2021",2021,12,3,10:00p,True,PHO,W,False,118,96,19,3,W 1
23,"Sat, Dec 4, 2021",2021,12,4,8:30p,True,SAS,L,False,107,112,19,4,L 1
24,"Mon, Dec 6, 2021",2021,12,6,10:00p,True,ORL,W,False,126,95,20,4,W 1
25,"Wed, Dec 8, 2021",2021,12,8,10:00p,True,POR,W,False,104,94,21,4,W 2
26,"Sat, Dec 11, 2021",2021,12,11,8:30p,False,PHI,L,False,93,102,21,5,L 1
27,"Mon, Dec 13, 2021",2021,12,13,7:00p,False,IND,W,False,102,100,22,5,W 1
28,"Tue, Dec 14, 2021",2021,12,14,7:30p,False,NYK,W,False,105,96,23,5,W 2
29,"Fri, Dec 17, 2021",2021,12,17,7:30p,False,BOS,W,False,111,107,24,5,W 3
30,"Sat, Dec 18, 2021",2021,12,18,7:30p,False,TOR,L,False,100,119,24,6,L 1
31,"Mon, Dec 20, 2021",2021,12,20,10:00p,True,SAC,W,False,113,98,25,6,W 1
32,"Thu, Dec 23, 2021",2021,12,23,10:00p,True,MEM,W,False,113,104,26,6,W 2
33,"Sat, Dec 25, 2021",2021,12,25,5:00p,False,PHO,W,False,116,107,27,6,W 3
34,"Tue, Dec 28, 2021",2021,12,28,10:00p,True,DEN,L,False,86,89,27,7,L 1
35,"Sat, Jan 1, 2022",2022,1,1,9:00p,False,UTA,W,False,123,116,28,7,W 1
36,"Mon, Jan 3, 2022",2022,1,3,10:00p,True,MIA,W,False,115,108,29,7,W 2
37,"Wed, Jan 5, 2022",2022,1,5,7:30p,False,DAL,L,False,82,99,29,8,L 1
38,"Thu, Jan 6, 2022",2022,1,6,8:00p,False,NOP,L,False,96,101,29,9,L 2
39,"Sun, Jan 9, 2022",2022,1,9,8:30p,True,CLE,W,False,96,82,30,9,W 1
40,"Tue, Jan 11, 2022",2022,1,11,8:00p,False,MEM,L,False,108,116,30,10,L 1
42,"Thu, Jan 13, 2022",2022,1,13,7:30p,False,MIL,L,False,99,118,30,11,L 2
43,"Fri, Jan 14, 2022",2022,1,14,7:30p,False,CHI,W,False,138,96,31,11,W 1
44,"Sun, Jan 16, 2022",2022,1,16,8:00p,False,MIN,L,False,99,119,31,12,L 1
45,"Tue, Jan 18, 2022",2022,1,18,10:00p,True,DET,W,False,102,86,32,12,W 1
46,"Thu, Jan 20, 2022",2022,1,20,10:00p,True,IND,L,True,117,121,32,13,L 1
47,"Fri, Jan 21, 2022",2022,1,21,10:00p,True,HOU,W,False,105,103,33,13,W 1
48,"Sun, Jan 23, 2022",2022,1,23,8:30p,True,UTA,W,False,94,92,34,13,W 2
49,"Tue, Jan 25, 2022",2022,1,25,10:00p,True,DAL,W,False,130,92,35,13,W 3
50,"Thu, Jan 27, 2022",2022,1,27,10:00p,True,MIN,W,False,124,115,36,13,W 4
51,"Sat, Jan 29, 2022",2022,1,29,8:30p,True,BRK,W,False,110,106,37,13,W 5
52,"Mon, Jan 31, 2022",2022,1,31,8:00p,False,HOU,W,False,122,108,38,13,W 6
53,"Tue, Feb 1, 2022",2022,2,1,8:30p,False,SAS,W,False,124,120,39,13,W 7
54,"Thu, Feb 3, 2022",2022,2,3,10:00p,True,SAC,W,False,126,114,40,13,W 8
55,"Mon, Feb 7, 2022",2022,2,7,8:00p,False,OKC,W,False,110,98,41,13,W 9
56,"Wed, Feb 9, 2022",2022,2,9,10:00p,False,UTA,L,False,85,111,41,14,L 1
57,"Thu, Feb 10, 2022",2022,2,10,10:00p,True,NYK,L,False,114,116,41,15,L 2
58,"Sat, Feb 12, 2022",2022,2,12,8:30p,True,LAL,W,False,117,115,42,15,W 1
59,"Mon, Feb 14, 2022",2022,2,14,10:30p,False,LAC,L,False,104,119,42,16,L 1
60,"Wed, Feb 16, 2022",2022,2,16,10:00p,True,DEN,L,False,116,117,42,17,L 2
61,"Thu, Feb 24, 2022",2022,2,24,10:00p,False,POR,W,False,132,95,43,17,W 1
63,"Sun, Feb 27, 2022",2022,2,27,7:30p,True,DAL,L,False,101,107,43,18,L 1
64,"Tue, Mar 1, 2022",2022,3,1,8:00p,False,MIN,L,False,114,129,43,19,L 2
65,"Thu, Mar 3, 2022",2022,3,3,8:30p,False,DAL,L,False,113,122,43,20,L 3
66,"Sat, Mar 5, 2022",2022,3,5,8:30p,False,LAL,L,False,116,124,43,21,L 4
67,"Mon, Mar 7, 2022",2022,3,7,9:00p,False,DEN,L,False,124,131,43,22,L 5
68,"Tue, Mar 8, 2022",2022,3,8,10:00p,True,LAC,W,False,112,97,44,22,W 1
69,"Thu, Mar 10, 2022",2022,3,10,10:00p,False,DEN,W,False,113,102,45,22,W 2
70,"Sat, Mar 12, 2022",2022,3,12,8:30p,True,MIL,W,False,122,109,46,22,W 3
71,"Mon, Mar 14, 2022",2022,3,14,10:00p,True,WAS,W,False,126,112,47,22,W 4
72,"Wed, Mar 16, 2022",2022,3,16,10:00p,True,BOS,L,False,88,110,47,23,L 1
73,"Sun, Mar 20, 2022",2022,3,20,8:30p,True,SAS,L,False,108,110,47,24,L 2
74,"Tue, Mar 22, 2022",2022,3,22,7:00p,False,ORL,L,False,90,94,47,25,L 3
75,"Wed, Mar 23, 2022",2022,3,23,7:30p,False,MIA,W,False,118,104,48,25,W 1
76,"Fri, Mar 25, 2022",2022,3,25,7:30p,False,ATL,L,False,110,121,48,26,L 1
77,"Sun, Mar 27, 2022",2022,3,27,6:00p,False,WAS,L,False,115,123,48,27,L 2
78,"Mon, Mar 28, 2022",2022,3,28,8:00p,False,MEM,L,False,95,123,48,28,L 3
79,"Wed, Mar 30, 2022",2022,3,30,10:00p,True,PHO,L,False,103,107,48,29,L 4
80,"Sat, Apr 2, 2022",2022,4,2,8:30p,True,UTA,W,False,111,107,49,29,W 1
81,"Sun, Apr 3, 2022",2022,4,3,9:00p,False,SAC,W,False,109,90,50,29,W 2
82,"Thu, Apr 7, 2022",2022,4,7,10:00p,True,LAL,W,False,128,112,51,29,W 3
84,"Sat, Apr 9, 2022",2022,4,9,8:30p,False,SAS,W,False,100,94,52,29,W 4
