,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,30-310,POR,HOME,SAC,L (-3),1,30:55,.444,.444,0.0,13.2,6.8,0.0,0.0,6.1,10.0,13.5,79,118,3.7,-6.8
1,2021-10-23,30-313,POR,HOME,PHO,W (+29),1,25:50,.750,.750,4.8,19.8,13.0,0.0,1.8,3.0,0.0,6.7,158,101,7.1,2.3
2,2021-10-25,30-315,POR,AWAY,LAC,L (-30),1,23:40,.000,.000,0.0,27.0,13.5,6.3,5.4,0.0,57.1,11.5,7,96,-0.6,-7.0
3,2021-10-27,30-317,POR,HOME,MEM,W (+20),1,27:28,.375,.375,0.0,12.5,7.1,0.0,0.0,3.8,0.0,6.3,87,103,1.3,-5.7
4,2021-10-29,30-319,POR,HOME,LAC,W (+19),1,33:09,.750,.750,2.7,19.1,10.9,0.0,2.9,0.0,0.0,7.3,159,91,9.6,3.7
5,2021-10-31,30-321,POR,AWAY,CHO,L (-12),1,29:09,.500,.500,3.4,11.8,7.2,0.0,0.0,7.0,0.0,8.7,114,131,4.8,-5.0
6,2021-11-01,30-322,POR,AWAY,PHI,L (-10),1,19:02,,,0.0,19.4,9.6,6.3,0.0,0.0,100.0,2.4,46,127,0.6,-6.7
7,2021-11-03,30-324,POR,AWAY,CLE,L (-3),1,30:28,1.000,1.000,0.0,32.4,13.4,8.6,5.0,3.6,0.0,4.4,195,106,10.3,5.1
8,2021-11-05,30-326,POR,HOME,IND,W (+4),1,33:34,.792,.792,0.0,16.6,8.7,0.0,1.5,0.0,14.3,19.7,115,113,13.1,1.6
9,2021-11-06,30-327,POR,HOME,LAL,W (+15),1,32:28,.750,.750,2.5,8.7,5.3,9.8,2.8,2.5,0.0,10.1,151,89,12.9,6.6
10,2021-11-09,30-330,POR,AWAY,LAC,L (-8),1,38:57,.355,.313,0.0,15.8,7.2,18.2,1.3,2.2,19.2,12.2,85,123,5.8,-5.6
11,2021-11-10,30-331,POR,AWAY,PHO,L (-10),1,23:15,.875,.875,0.0,15.1,7.3,0.0,2.1,0.0,20.0,9.2,128,121,5.5,0.2
12,2021-11-12,30-333,POR,AWAY,HOU,W (+12),1,22:17,.375,.375,4.2,12.9,8.5,0.0,2.2,4.1,0.0,15.2,84,91,3.3,-3.1
13,2021-11-14,30-335,POR,AWAY,DEN,L (-29),1,18:59,.300,.300,0.0,24.1,11.9,7.8,2.8,0.0,16.7,15.5,59,134,1.0,-12.8
14,2021-11-15,30-336,POR,HOME,TOR,W (+5),1,23:06,.786,.786,0.0,14.2,8.0,11.0,0.0,11.1,12.5,16.6,138,120,10.7,8.3
15,2021-11-17,30-338,POR,HOME,CHI,W (+5),1,24:02,.714,.714,5.3,9.5,7.5,20.7,6.3,7.4,30.0,17.8,105,101,10.7,10.1
16,2021-11-20,30-341,POR,HOME,PHI,W (+7),1,28:59,.750,.750,0.0,27.6,14.2,13.5,0.0,9.4,0.0,6.5,162,111,8.4,4.9
