,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-12-01,32-074,LAC,HOME,SAC,L (-9),1,18:38,.313,.313,16.1,13.2,14.8,24.6,2.6,0.0,0.0,17.5,112,126,6.3,-2.6
1,2021-12-03,32-076,LAC,AWAY,LAL,W (+4),1,28:57,1.125,1.125,13.8,12.1,12.9,13.8,0.0,0.0,0.0,6.6,218,127,11.3,6.5
2,2021-12-04,32-077,LAC,AWAY,SAC,L (-5),1,12:40,.250,.250,7.7,0.0,3.9,12.5,0.0,0.0,0.0,12.9,76,111,1.0,-6.5
3,2021-12-31,32-104,LAC,AWAY,TOR,L (-8),1,17:49,.509,.417,6.9,31.1,20.7,16.5,0.0,8.8,22.5,24.3,93,113,6.1,-3.0
4,2022-01-01,32-105,LAC,AWAY,BRK,W (+4),1,22:14,.286,.286,0.0,17.3,8.9,17.2,0.0,3.4,12.5,15.8,70,116,2.9,-6.6
5,2022-01-03,32-107,LAC,HOME,MIN,L (-18),1,19:54,1.142,1.143,7.3,19.0,13.6,10.9,0.0,5.0,21.2,21.6,162,125,15.9,12.9
6,2022-01-06,32-110,LAC,AWAY,PHO,L (-17),1,19:44,.500,.500,9.7,15.7,13.0,11.4,0.0,3.2,0.0,17.9,109,109,8.0,2.2
7,2022-01-19,32-123,LAC,AWAY,DEN,L (-2),1,14:16,.583,.583,25.9,23.2,24.5,27.3,0.0,6.2,14.3,22.8,133,122,7.6,4.6
8,2022-01-31,32-135,LAC,AWAY,IND,L (-6),1,22:25,.888,.857,8.7,45.9,25.9,0.0,2.2,6.5,11.3,17.2,158,111,16.2,6.6
9,2022-02-03,32-138,LAC,HOME,LAL,W (+1),1,33:37,.613,.600,3.6,21.3,13.1,8.6,0.0,4.8,5.8,24.5,119,114,15.3,-2.4
10,2022-02-14,32-149,MIL,HOME,POR,L (-15),1,31:04,.500,.500,0.0,21.2,10.7,0.0,1.5,2.8,0.0,8.2,97,114,5.2,-5.8
11,2022-04-01,32-195,MIL,HOME,LAC,L (-34),1,27:47,.563,.563,12.6,36.6,23.3,12.0,0.0,0.0,20.0,14.8,113,152,7.3,-7.4
