,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-19,32-110,LAL,HOME,GSW,L (-7),1,30:37,.444,.444,0.0,6.4,3.3,0.0,0.0,2.9,10.0,13.0,77,112,1.6,-5.8
1,2021-10-22,32-113,LAL,HOME,PHO,L (-10),1,23:28,.340,.300,0.0,10.0,4.4,6.4,0.0,0.0,0.0,10.5,82,120,0.6,-8.1
2,2021-10-24,32-115,LAL,HOME,MEM,W (+3),1,28:22,1.155,1.333,0.0,3.8,2.0,0.0,1.7,0.0,17.4,8.8,169,124,8.4,0.3
3,2021-10-26,32-117,LAL,AWAY,SAS,W (+4),1,31:01,.417,.417,0.0,8.1,4.5,3.7,2.9,2.4,14.3,9.4,78,103,3.7,-2.9
4,2021-10-27,32-118,LAL,AWAY,OKC,L (-8),1,27:41,.917,.917,0.0,8.7,4.2,17.8,1.7,0.0,14.3,10.5,156,122,10.2,4.6
5,2021-10-29,32-120,LAL,HOME,CLE,W (+12),1,28:09,.286,.286,0.0,7.3,4.4,8.0,7.3,0.0,0.0,11.0,89,101,5.1,-0.3
6,2021-10-31,32-122,LAL,HOME,HOU,W (+10),1,27:03,.571,.571,0.0,8.3,3.6,5.3,5.2,0.0,11.3,13.9,101,82,7.0,1.1
7,2021-11-02,32-124,LAL,HOME,HOU,W (+2),1,26:43,.500,.500,4.7,12.5,8.9,4.1,3.4,0.0,0.0,10.6,119,107,5.6,-2.9
8,2021-11-04,32-126,LAL,HOME,OKC,L (-3),1,22:28,.205,.000,0.0,9.5,4.3,11.0,0.0,4.6,0.0,9.1,74,114,1.5,-8.0
9,2021-11-06,32-128,LAL,AWAY,POR,L (-15),1,19:07,.515,.333,4.9,8.4,6.8,8.8,0.0,0.0,20.5,10.2,99,109,2.1,-7.9
10,2021-11-08,32-130,LAL,HOME,CHO,W (+3),1,14:20,.000,.000,0.0,13.0,7.0,0.0,0.0,0.0,0.0,12.2,0,116,-2.2,-18.6
11,2021-11-10,32-132,LAL,HOME,MIA,W (+3),1,21:51,.250,.250,0.0,9.3,5.0,0.0,2.2,0.0,20.0,10.0,41,106,-1.0,-9.9
12,2021-11-12,32-134,LAL,HOME,MIN,L (-24),1,15:32,.000,.000,6.1,6.6,6.3,0.0,0.0,5.4,0.0,11.3,15,116,-1.9,-15.1
13,2021-12-17,32-169,LAL,AWAY,MIN,L (-18),1,24:04,.688,.688,0.0,27.9,14.4,27.2,3.8,0.0,0.0,14.7,124,94,11.2,9.0
