,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-19,36-293,LAL,HOME,GSW,L (-7),1,36:44,.663,.674,2.8,26.7,15.1,23.3,1.2,2.4,13.5,32.2,117,105,24.8,10.4
1,2021-10-22,36-296,LAL,HOME,PHO,L (-10),1,36:32,.633,.583,0.0,6.4,2.8,28.0,2.6,0.0,20.2,28.3,104,115,15.1,4.3
2,2021-10-24,36-298,LAL,HOME,MEM,W (+3),1,40:18,.478,.474,0.0,15.9,8.4,19.5,2.4,3.7,13.1,24.6,97,116,14.1,-1.8
3,2021-10-29,36-303,LAL,HOME,CLE,W (+12),1,37:57,.537,.477,4.1,5.4,4.9,30.3,4.1,2.4,22.4,36.4,105,108,17.8,1.2
4,2021-10-31,36-305,LAL,HOME,HOU,W (+10),1,34:32,.361,.316,2.5,19.4,9.9,36.3,5.5,2.9,8.8,27.8,85,79,14.5,5.5
5,2021-11-02,36-307,LAL,HOME,HOU,W (+2),1,36:16,.686,.667,0.0,12.3,6.5,41.6,2.5,0.0,15.5,28.8,128,110,25.5,9.7
6,2021-11-19,36-324,LAL,AWAY,BOS,L (-22),1,32:04,.700,.719,3.3,19.7,10.7,12.5,3.0,0.0,15.4,27.3,114,126,16.8,4.4
7,2021-11-21,36-326,LAL,AWAY,DET,W (+5),1,21:26,.672,.643,0.0,4.8,2.5,31.1,0.0,0.0,21.2,18.1,120,119,8.1,-0.9
8,2021-11-24,36-329,LAL,AWAY,IND,W (+8),1,43:28,.592,.534,0.0,10.7,5.9,28.0,1.1,4.2,5.7,35.9,121,108,28.8,11.0
9,2021-11-26,36-331,LAL,HOME,SAC,L (-4),1,49:45,.503,.440,2.6,13.1,8.3,36.3,1.0,0.0,19.0,35.0,98,117,17.9,-3.7
10,2021-11-28,36-333,LAL,HOME,DET,W (+4),1,37:24,.702,.700,0.0,13.4,6.8,41.9,2.5,2.3,7.8,30.0,131,105,30.7,15.2
11,2021-12-03,36-338,LAL,HOME,LAC,L (-4),1,36:15,.456,.435,9.7,29.4,18.9,24.0,2.8,0.0,10.6,33.9,103,125,16.6,-1.1
12,2021-12-07,36-342,LAL,HOME,BOS,W (+15),1,36:16,.755,.737,6.6,5.9,6.2,21.5,0.0,0.0,13.1,26.5,139,110,23.6,10.0
13,2021-12-09,36-344,LAL,AWAY,MEM,L (-13),1,37:24,.581,.500,0.0,24.7,14.0,52.3,5.2,4.9,22.5,26.5,109,97,23.0,12.4
14,2021-12-10,36-345,LAL,AWAY,OKC,W (+21),1,34:41,.758,.750,0.0,12.8,7.1,36.1,4.3,5.3,8.4,29.4,147,94,31.1,20.4
15,2021-12-12,36-347,LAL,HOME,ORL,W (+12),1,37:11,.689,.675,3.3,24.8,15.6,50.6,0.0,7.7,21.6,34.3,118,96,26.4,10.7
16,2021-12-15,36-350,LAL,AWAY,DAL,W (+3),1,42:58,.591,.579,0.0,7.4,3.8,22.1,1.2,0.0,9.0,24.6,109,102,16.9,4.2
17,2021-12-17,36-352,LAL,AWAY,MIN,L (-18),1,35:30,.545,.462,2.9,24.3,13.9,29.1,1.3,5.0,19.5,25.5,94,99,13.4,1.2
18,2021-12-19,36-354,LAL,AWAY,CHI,L (-5),1,39:24,.600,.548,3.4,29.9,19.2,25.6,1.2,3.9,13.4,32.8,117,109,24.7,3.8
19,2021-12-21,36-356,LAL,HOME,PHO,L (-18),1,34:00,.786,.737,0.0,20.2,9.9,18.0,2.7,0.0,8.5,30.0,142,101,29.0,18.4
20,2021-12-23,36-358,LAL,HOME,SAS,L (-28),1,34:40,.628,.615,5.3,21.1,12.7,35.8,1.3,4.9,9.5,36.1,123,130,29.3,14.4
21,2021-12-25,36-360,LAL,HOME,BRK,L (-7),1,39:53,.673,.620,2.6,23.5,12.3,36.4,3.5,2.1,9.4,31.7,129,112,34.6,15.4
22,2021-12-28,36-363,LAL,AWAY,HOU,W (+9),1,39:27,.697,.658,12.2,19.2,15.6,38.7,1.2,5.1,11.6,27.1,148,120,32.8,12.3
23,2021-12-29,36-364,LAL,AWAY,MEM,L (-5),1,37:57,.703,.680,6.8,30.9,20.1,39.3,2.7,4.6,16.0,36.8,123,98,32.3,23.1
24,2021-12-31,37-001,LAL,HOME,POR,W (+33),1,29:18,.718,.712,8.6,31.2,22.7,31.5,3.3,5.5,0.0,46.7,146,89,40.8,23.0
25,2022-01-02,37-003,LAL,HOME,MIN,W (+5),1,39:13,.641,.567,0.0,19.5,10.2,22.3,3.8,2.3,4.7,25.3,130,100,24.6,8.8
26,2022-01-04,37-005,LAL,HOME,SAC,W (+8),1,36:29,.550,.519,5.3,10.1,7.4,19.8,0.0,2.7,6.6,35.2,118,120,20.5,2.2
27,2022-01-07,37-008,LAL,HOME,ATL,W (+16),1,36:30,.611,.563,2.7,17.7,10.4,36.0,4.9,6.6,13.2,33.8,116,100,30.0,9.7
28,2022-01-09,37-010,LAL,HOME,MEM,L (-8),1,33:22,.843,.816,16.9,11.7,14.7,40.5,0.0,0.0,12.6,29.1,157,132,32.7,17.3
29,2022-01-12,37-013,LAL,AWAY,SAC,L (-9),1,38:56,.509,.500,2.4,19.5,9.6,28.5,0.0,2.1,2.9,36.1,114,127,22.5,3.5
30,2022-01-15,37-016,LAL,AWAY,DEN,L (-37),1,30:42,.479,.435,3.1,29.8,15.3,14.3,0.0,6.1,3.7,42.2,97,138,16.6,1.7
31,2022-01-17,37-018,LAL,HOME,UTA,W (+6),1,37:17,.531,.525,0.0,21.0,10.1,34.1,1.3,3.5,4.1,29.2,117,98,20.3,11.7
