,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,7,Carmelo Anthony,PF,6-7,238,1984-05-29,US,18,Syracuse
1,1,Trevor Ariza,SF,6-8,215,1985-06-30,US,17,UCLA
2,4,D.J. Augustin,PG,5-11,183,1987-11-10,US,13,Texas
3,9,Kent Bazemore,SF,6-4,195,1989-07-01,US,9,Old Dominion
4,20,Avery Bradley,SG,6-3,180,1990-11-26,US,11,Texas
5,38,Chaundee Brown Jr.,SF,6-5,215,1998-12-04,US,R,"Wake Forest, Michigan"
6,21,Darren Collison,PG,6-0,175,1987-08-23,US,10,UCLA
7,3,Anthony Davis,C,6-10,253,1993-03-11,US,9,Kentucky
8,45,Sekou Doumbouya,PF,6-8,230,2000-12-23,GN,2,
9,2,Wayne Ellington,SG,6-4,207,1987-11-29,US,12,UNC
10,35,Wenyen Gabriel,PF,6-9,205,1997-03-26,SD,2,Kentucky
11,5,Talen Horton-Tucker,SG,6-4,234,2000-11-25,US,2,Iowa State
12,39,Dwight Howard,C,6-10,265,1985-12-08,US,17,
13,30,Jay Huff,C,7-1,240,1998-08-25,US,R,Virginia
14,6,LeBron James,C,6-9,250,1984-12-30,US,18,
15,14,Stanley Johnson,PF,6-6,242,1996-05-29,US,6,Arizona
16,50,Jemerrio Jones,SF,6-5,174,1995-04-09,US,1,"Hill College, New Mexico State"
17,40,Mason Jones,SG,6-4,200,1998-07-21,US,1,"Connors State College, Arkansas"
18,10,DeAndre Jordan,C,6-11,265,1988-07-21,US,13,Texas A&M
19,37,Mac McClung,SG,6-2,185,1999-01-06,US,R,"Georgetown, Texas Tech"
20,11,Malik Monk,SG,6-3,200,1998-02-04,US,4,Kentucky
21,15,Austin Reaves,SG,6-5,206,1998-05-29,US,R,"Wichita State, Oklahoma"
22,4,Rajon Rondo,PG,6-1,180,1986-02-22,US,15,Kentucky
23,31,Isaiah Thomas,PG,5-9,185,1989-02-07,US,10,Washington
24,0,Russell Westbrook,PG,6-3,200,1988-11-12,US,13,UCLA
