,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,23-117,MEM,HOME,CLE,W (+11),1,29:39,.619,.563,3.9,6.9,5.5,12.1,3.2,0.0,14.5,29.2,118,120,15.6,-0.4
1,2021-10-23,23-120,MEM,AWAY,LAC,W (+6),1,30:48,.598,.600,0.0,19.1,10.2,10.0,0.0,2.6,5.9,23.5,119,119,12.2,1.3
2,2021-10-24,23-121,MEM,AWAY,LAL,L (-3),1,30:48,.551,.533,0.0,19.5,9.2,18.3,3.1,0.0,6.1,20.5,127,120,13.8,3.1
3,2021-10-27,23-124,MEM,AWAY,POR,L (-20),1,23:11,.764,.750,0.0,14.8,6.3,10.1,2.1,4.3,13.9,23.8,125,118,14.7,14.3
4,2021-10-28,23-125,MEM,AWAY,GSW,W (+3),1,38:06,.594,.594,2.7,14.5,8.4,9.5,1.3,0.0,15.8,22.0,98,101,11.8,0.9
5,2021-10-30,23-127,MEM,HOME,MIA,L (-26),1,25:36,.654,.654,4.0,5.4,4.6,16.5,1.9,0.0,13.3,25.3,105,136,10.5,0.7
6,2021-11-01,23-129,MEM,HOME,DEN,W (+9),1,32:15,.500,.500,3.3,14.9,9.4,8.1,0.0,0.0,15.4,17.3,96,103,5.7,-5.0
7,2021-11-03,23-131,MEM,HOME,DEN,W (+2),1,29:00,.554,.536,0.0,7.5,4.1,15.5,1.8,0.0,6.5,26.0,105,117,10.5,-2.1
8,2021-11-05,23-133,MEM,AWAY,WAS,L (-28),1,21:45,.592,.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,117,123,5.6,-4.6
9,2021-11-08,23-136,MEM,HOME,MIN,W (+7),1,40:50,.454,.385,2.9,5.1,4.1,16.4,1.3,0.0,6.5,17.1,113,124,9.9,-4.3
10,2021-11-10,23-138,MEM,HOME,CHO,L (-10),1,20:48,.100,.100,0.0,5.0,2.2,0.0,0.0,0.0,9.1,19.6,23,122,-7.7,-28.2
11,2021-11-12,23-140,MEM,HOME,PHO,L (-25),1,23:32,.346,.346,3.5,31.0,15.5,7.1,0.0,7.2,0.0,21.5,84,110,5.6,-0.8
12,2021-11-13,23-141,MEM,AWAY,NOP,L (-11),1,31:27,.636,.636,3.6,9.0,6.0,5.3,0.0,0.0,0.0,15.8,138,130,9.1,-2.0
