,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,28-092,MEM,HOME,CLE,W (+11),1,31:45,.571,.571,21.6,25.7,23.8,9.7,1.5,2.7,22.2,11.8,129,118,13.1,0.2
1,2021-10-23,28-095,MEM,AWAY,LAC,W (+6),1,26:48,.759,.667,20.8,14.6,17.5,28.7,3.7,0.0,8.2,19.5,166,114,22.3,17.1
2,2021-10-24,28-096,MEM,AWAY,LAL,L (-3),1,33:40,.636,.636,25.3,28.5,26.8,24.4,0.0,0.0,26.7,17.1,122,125,15.3,1.0
3,2021-10-27,28-099,MEM,AWAY,POR,L (-20),1,17:47,.250,.250,24.1,12.9,19.3,0.0,0.0,0.0,0.0,17.2,84,125,1.7,-14.6
4,2021-10-28,28-100,MEM,AWAY,GSW,W (+3),1,21:20,.773,.667,14.6,20.7,17.6,17.1,4.6,5.0,27.9,22.2,122,89,13.8,10.4
5,2021-10-30,28-102,MEM,HOME,MIA,L (-26),1,18:56,1.087,1.000,5.4,29.0,15.5,16.1,0.0,0.0,0.0,6.3,238,134,8.6,1.8
6,2021-11-01,28-104,MEM,HOME,DEN,W (+9),1,30:51,.375,.375,3.5,18.7,11.5,4.0,1.6,6.2,11.1,12.5,81,94,5.8,-1.9
7,2021-11-03,28-106,MEM,HOME,DEN,W (+2),1,30:16,.680,.600,4.4,25.2,15.9,17.0,1.7,0.0,14.5,11.1,139,112,10.5,1.7
8,2021-11-05,28-108,MEM,AWAY,WAS,L (-28),1,19:36,.425,.400,12.2,23.0,16.0,16.8,0.0,0.0,0.0,12.8,113,121,5.9,-3.2
9,2021-11-08,28-111,MEM,HOME,MIN,W (+7),1,19:28,.338,.250,12.1,5.3,8.5,6.3,0.0,5.2,31.1,15.1,76,124,0.9,-11.3
10,2021-11-10,28-113,MEM,HOME,CHO,L (-10),1,28:21,.625,.800,22.6,22.1,22.4,13.3,0.0,6.3,21.7,12.0,119,113,14.0,2.1
11,2021-11-12,28-115,MEM,HOME,PHO,L (-25),1,21:46,.322,.333,22.4,19.2,21.0,6.8,2.1,0.0,11.4,15.7,87,114,5.7,-4.2
12,2021-11-13,28-116,MEM,AWAY,NOP,L (-11),1,36:39,.677,.625,12.5,19.3,15.5,16.7,2.9,7.9,8.3,14.9,146,116,19.6,9.2
13,2021-11-15,28-118,MEM,HOME,HOU,W (+34),1,21:09,.362,.000,11.6,12.2,11.9,17.5,4.3,0.0,26.6,7.4,123,95,5.8,0.6
14,2021-11-18,28-121,MEM,HOME,LAC,W (+12),1,26:48,.250,.250,23.0,21.3,22.1,17.8,0.0,3.5,50.0,13.1,87,115,3.6,-6.4
15,2021-11-20,28-123,MEM,AWAY,MIN,L (-43),1,17:51,.824,1.000,0.0,13.1,6.5,10.2,0.0,5.4,35.5,13.5,107,145,4.1,-5.6
16,2021-11-22,28-125,MEM,AWAY,UTA,W (+1),1,24:29,.258,.000,15.1,17.8,16.3,18.7,6.0,4.5,0.0,6.7,138,109,9.6,5.7
17,2021-11-24,28-127,MEM,HOME,TOR,L (-13),1,19:55,.333,.333,14.2,24.1,19.5,12.2,0.0,0.0,40.0,11.2,80,135,1.9,-8.3
18,2021-11-26,28-129,MEM,HOME,ATL,L (-32),1,17:44,1.000,1.000,5.4,7.7,6.4,15.8,0.0,0.0,50.0,4.8,124,139,3.1,-6.4
19,2021-11-28,28-131,MEM,HOME,SAC,W (+27),1,20:43,.307,.250,18.2,28.1,23.8,19.4,2.2,12.6,29.1,13.1,98,81,8.1,3.1
20,2021-11-30,28-133,MEM,AWAY,TOR,W (+7),1,26:25,.667,.667,10.7,19.3,14.8,11.2,3.7,0.0,40.0,7.7,103,92,7.7,1.0
21,2021-12-02,28-135,MEM,HOME,OKC,W (+73),1,21:13,.970,1.000,14.1,28.9,22.9,8.2,0.0,6.0,0.0,9.2,212,86,12.5,6.2
22,2021-12-04,28-137,MEM,AWAY,DAL,W (+7),1,27:22,.546,.571,36.9,15.7,24.3,17.5,1.8,0.0,16.6,19.5,121,95,13.5,4.6
23,2021-12-06,28-139,MEM,AWAY,MIA,W (+15),1,31:03,.711,.750,24.0,36.6,29.8,10.8,1.6,2.9,14.3,18.4,136,90,19.7,8.9
24,2021-12-08,28-141,MEM,HOME,DAL,L (-8),1,30:04,.452,.500,9.8,25.2,16.5,14.6,3.3,0.0,47.5,17.7,64,106,3.6,-7.3
25,2021-12-09,28-142,MEM,HOME,LAL,W (+13),1,30:15,.355,.333,24.4,19.8,22.4,8.1,0.0,0.0,34.7,12.1,95,106,6.2,-9.1
26,2021-12-11,28-144,MEM,HOME,HOU,W (+7),1,21:01,.750,.750,12.3,39.0,26.4,20.7,0.0,0.0,33.3,12.8,122,112,7.6,1.5
27,2021-12-13,28-146,MEM,HOME,PHI,W (+35),1,20:08,.600,.600,10.8,10.8,10.8,6.0,2.4,0.0,16.7,13.2,119,95,6.0,-3.1
28,2021-12-15,28-148,MEM,AWAY,POR,W (+10),1,30:03,.727,.667,25.4,23.8,24.6,9.8,4.8,0.0,30.4,14.3,129,98,15.0,4.8
29,2021-12-17,28-150,MEM,AWAY,SAC,W (+19),1,30:31,.353,.250,16.7,22.9,19.9,14.5,1.5,0.0,12.4,10.6,113,101,8.6,-1.5
30,2021-12-19,28-152,MEM,HOME,POR,L (-5),1,35:46,.697,.625,10.3,21.0,14.4,23.7,4.2,0.0,0.0,11.4,162,107,20.2,10.0
31,2021-12-20,28-153,MEM,HOME,OKC,L (-3),1,20:04,.276,.200,21.7,50.1,34.2,19.6,0.0,0.0,26.9,15.0,85,100,5.8,-3.4
32,2021-12-23,28-156,MEM,AWAY,GSW,L (-9),1,22:55,.000,.000,9.3,17.5,12.9,11.0,0.0,0.0,0.0,3.7,92,124,1.9,-5.4
33,2021-12-26,28-159,MEM,AWAY,SAC,W (+25),1,26:48,.625,.625,22.4,12.5,17.7,28.2,3.6,0.0,11.1,13.0,148,102,15.5,8.9
34,2021-12-27,28-160,MEM,AWAY,PHO,W (+1),1,31:28,.804,.800,34.3,23.7,28.7,27.5,0.0,2.6,27.1,14.9,150,118,19.7,10.3
35,2021-12-29,28-162,MEM,HOME,LAL,W (+5),1,26:26,1.000,1.000,12.1,14.7,13.3,5.8,0.0,0.0,0.0,3.3,211,112,7.1,-1.2
36,2021-12-31,28-164,MEM,HOME,SAS,W (+13),1,26:29,.492,.500,27.9,17.1,22.4,13.6,0.0,6.6,7.6,20.3,124,106,14.2,1.3
37,2022-01-03,28-167,MEM,AWAY,BRK,W (+14),1,26:55,.600,.600,26.0,19.4,22.8,20.9,1.9,0.0,37.5,11.6,117,111,10.8,2.8
38,2022-01-04,28-168,MEM,AWAY,CLE,W (+4),1,32:49,.595,.600,15.6,18.7,17.1,11.7,0.0,2.5,14.5,9.3,137,114,11.0,1.5
39,2022-01-06,28-170,MEM,HOME,DET,W (+30),1,22:01,.216,.000,23.2,37.0,30.5,18.2,0.0,4.0,17.7,9.9,100,83,7.3,1.1
40,2022-01-17,28-181,MEM,HOME,CHI,W (+13),1,22:37,.291,.333,19.3,27.1,23.3,28.4,4.0,3.5,22.5,8.0,123,94,10.0,8.1
41,2022-01-19,28-183,MEM,AWAY,MIL,L (-12),1,26:08,.205,.250,24.9,12.5,19.6,9.1,3.5,0.0,9.3,15.7,82,118,5.7,-7.9
42,2022-01-21,28-185,MEM,AWAY,DEN,W (+4),1,34:25,.410,.500,10.5,9.3,9.8,10.4,5.5,0.0,29.1,8.4,97,114,7.5,-0.6
43,2022-01-23,28-187,MEM,AWAY,DAL,L (-13),1,32:24,.434,.250,2.7,39.0,17.7,8.3,1.6,0.0,0.0,7.0,121,108,7.9,-0.4
44,2022-01-26,28-190,MEM,AWAY,SAS,W (+8),1,28:15,1.000,1.000,8.9,22.7,16.4,12.0,1.7,3.0,50.0,5.9,121,109,7.2,1.0
45,2022-01-28,28-192,MEM,HOME,UTA,W (+10),1,23:50,.250,.250,17.8,17.9,17.8,13.7,0.0,0.0,42.9,13.1,77,118,0.8,-10.5
46,2022-01-29,28-193,MEM,HOME,WAS,W (+20),1,28:32,.635,.571,33.0,18.3,26.0,17.1,1.8,9.2,11.3,13.1,159,96,19.3,10.9
47,2022-01-31,28-195,MEM,AWAY,PHI,L (-3),1,37:55,.554,.600,14.0,20.8,17.3,6.5,2.5,6.1,32.2,10.2,100,106,11.6,0.5
48,2022-02-02,28-197,MEM,AWAY,NYK,W (+12),1,30:04,.250,.250,25.5,16.3,21.0,15.1,0.0,0.0,33.3,7.9,113,113,6.3,-6.5
49,2022-02-05,28-200,MEM,AWAY,ORL,W (+20),1,23:14,1.000,1.000,17.6,27.3,22.7,40.7,0.0,0.0,25.0,13.5,167,113,17.5,15.2
50,2022-02-08,28-203,MEM,HOME,LAC,W (+26),1,20:27,.846,.750,14.1,26.1,19.8,15.3,0.0,0.0,27.3,13.5,143,110,10.7,5.8
51,2022-02-10,28-205,MEM,AWAY,DET,W (+25),1,26:27,.617,.667,26.5,24.4,25.4,27.4,0.0,3.1,7.2,20.7,144,105,19.9,10.4
52,2022-02-12,28-207,MEM,AWAY,CHO,W (+7),1,15:50,.677,.750,47.6,15.4,30.3,42.1,0.0,17.5,0.0,26.3,160,105,19.2,21.7
53,2022-02-15,28-210,MEM,AWAY,NOP,W (+12),1,31:43,.751,.875,22.1,25.2,23.7,20.8,1.6,0.0,9.7,13.2,152,112,18.6,9.6
54,2022-02-16,28-211,MEM,HOME,POR,L (-4),1,35:46,.250,.250,10.1,9.6,9.8,15.1,0.0,2.5,42.9,8.4,78,133,1.1,-9.9
55,2022-02-24,28-219,MEM,AWAY,MIN,L (-5),1,27:25,.387,.333,18.8,23.3,20.8,25.4,0.0,3.4,20.5,13.1,105,120,8.4,-1.6
56,2022-02-26,28-221,MEM,AWAY,CHI,W (+6),1,34:59,.558,.556,20.3,37.2,28.2,18.5,0.0,3.8,21.8,15.2,117,103,18.3,6.0
57,2022-02-28,28-223,MEM,HOME,SAS,W (+13),1,31:02,.667,.667,19.8,25.8,23.3,17.2,1.5,6.9,40.0,6.8,135,97,13.1,8.9
58,2022-03-03,28-226,MEM,AWAY,BOS,L (-13),1,26:25,.500,.500,24.0,4.3,15.3,18.9,0.0,0.0,20.0,8.1,142,139,8.2,-2.1
59,2022-03-05,28-228,MEM,HOME,ORL,W (+28),1,22:38,1.000,1.000,4.6,21.2,13.3,20.3,0.0,0.0,33.3,5.7,161,97,6.6,3.7
60,2022-03-06,28-229,MEM,AWAY,HOU,L (-11),1,36:53,.769,.818,18.6,18.1,18.4,20.2,1.2,8.1,0.0,16.2,167,117,29.5,13.6
61,2022-03-08,28-231,MEM,HOME,NOP,W (+21),1,28:48,.515,.667,6.9,10.2,8.6,11.2,1.6,0.0,20.5,6.6,116,112,5.9,-1.8
62,2022-03-11,28-234,MEM,HOME,NYK,W (+4),1,24:51,.342,.286,20.0,11.6,16.1,0.0,1.8,3.0,10.2,14.9,96,110,5.3,-8.9
63,2022-03-13,28-236,MEM,AWAY,OKC,W (+7),1,24:58,.605,.571,26.9,33.9,30.5,9.5,0.0,3.4,21.2,14.7,128,112,13.0,1.1
64,2022-03-15,28-238,MEM,AWAY,IND,W (+33),1,22:56,.825,.857,28.7,25.6,27.2,10.1,0.0,3.1,20.2,16.7,147,98,16.5,5.8
65,2022-03-18,28-241,MEM,AWAY,ATL,L (-15),1,30:13,.347,.333,13.2,27.8,19.9,4.1,1.6,2.5,0.0,6.1,118,121,7.4,-2.5
66,2022-03-20,28-243,MEM,AWAY,HOU,W (+24),1,24:02,.363,.333,12.7,24.5,18.7,14.3,1.9,0.0,22.5,15.2,91,93,4.2,-6.6
67,2022-03-23,28-246,MEM,HOME,BRK,W (+12),1,27:42,.735,.667,19.3,26.0,22.4,19.9,1.7,2.8,0.0,6.7,194,116,15.4,10.4
68,2022-03-24,28-247,MEM,HOME,IND,W (+30),1,22:57,.429,.429,49.5,30.5,38.9,28.7,6.4,10.6,0.0,12.8,171,85,18.8,16.8
69,2022-03-26,28-249,MEM,HOME,MIL,W (+25),1,24:12,.286,.286,24.8,19.1,21.8,22.0,2.0,6.5,12.5,13.2,115,98,9.7,2.7
70,2022-03-28,28-251,MEM,HOME,GSW,W (+28),1,20:18,.633,.600,15.4,30.8,23.1,13.2,4.7,4.5,0.0,12.4,155,83,11.7,10.0
71,2022-03-30,28-253,MEM,AWAY,SAS,W (+1),1,30:57,.820,.750,11.1,22.2,16.1,7.9,1.7,0.0,29.1,9.9,135,119,8.8,-2.6
72,2022-04-05,28-259,MEM,AWAY,UTA,L (-6),1,28:08,.260,.250,9.7,34.9,21.9,40.6,3.3,3.2,34.2,13.1,84,97,9.0,4.7
73,2022-04-07,28-261,MEM,AWAY,DEN,L (-13),1,23:13,.532,1.000,9.2,38.8,21.5,25.9,0.0,0.0,34.7,5.4,128,126,5.4,-0.2
74,2022-04-09,28-263,MEM,HOME,NOP,W (+27),1,22:00,.667,.667,26.4,34.7,31.2,17.9,0.0,3.6,40.0,9.2,135,105,7.5,1.6
