,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,4,Steven Adams,C,6-11,265,1993-07-20,NZ,8,Pitt
1,7,Santi Aldama,PF,6-11,224,2001-01-10,ES,R,Loyola (MD)
2,1,Kyle Anderson,PF,6-9,230,1993-09-20,US,7,UCLA
3,22,Desmond Bane,SG,6-5,215,1998-06-25,US,1,TCU
4,24,Dillon Brooks,SF,6-7,225,1996-01-22,CA,4,Oregon
5,6,Shaq Buchanan,SG,6-3,190,1997-01-30,US,R,"Northeast Mississippi Community College, Murray State"
6,15,Brandon Clarke,PF,6-8,215,1996-09-19,CA,2,"San Jose State, Gonzaga"
7,23,Jarrett Culver,SG,6-6,195,1999-02-20,US,2,Texas Tech
8,13,Jaren Jackson Jr.,PF,6-11,242,1999-09-15,US,3,Michigan State
9,55,DaQuan Jeffries,SG,6-5,230,1997-08-30,US,2,"Oral Roberts, Tulsa"
10,21,Tyus Jones,PG,6-0,196,1996-05-10,US,6,Duke
11,46,John Konchar,SG,6-5,210,1996-03-22,US,2,Purdue-Fort Wayne
12,31,Dakota Mathias,SG,6-4,200,1995-07-11,US,1,Purdue
13,0,De'Anthony Melton,SG,6-2,200,1998-05-28,US,3,USC
14,25,Sam Merrill,SG,6-4,205,1996-05-15,US,1,Utah State University
15,12,Ja Morant,PG,6-3,174,1999-08-10,US,2,Murray State
16,5,Yves Pons,SF,6-6,215,1999-05-07,HT,R,Tennessee
17,20,Xavier Sneed,SF,6-5,215,1997-12-21,US,R,Kansas State
18,3,Tyrell Terry,PG,6-2,160,2000-09-28,US,1,Stanford
19,10,Jon Teske,C,7-1,265,1997-05-04,US,R,Michigan
20,35,Killian Tillie,C,6-9,220,1998-03-05,FR,1,Gonzaga
21,2,Xavier Tillman Sr.,PF,6-8,245,1999-01-12,US,1,Michigan State
22,8,Ziaire Williams,SF,6-8,215,2001-09-12,US,R,Stanford
