,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,7,Grayson Allen,SG,6-4,198,1995-10-08,US,3,Duke
1,34,Giannis Antetokounmpo,PF,7-0,242,1994-12-06,GR,8,
2,43,Thanasis Antetokounmpo,SF,6-6,219,1992-07-18,GR,3,
3,95,DeAndre' Bembry,SF,6-5,210,1994-07-04,US,5,Saint Joseph's
4,5,Jevon Carter,PG,6-1,200,1995-09-14,US,3,West Virginia
5,24,Pat Connaughton,SF,6-5,209,1993-01-06,US,6,Notre Dame
6,15,DeMarcus Cousins,C,6-10,270,1990-08-13,US,10,Kentucky
7,12,Javin DeLaurier,C,6-10,237,1998-04-07,US,R,Duke
8,0,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,3,Villanova
9,15,Jeff Dowtin,PG,6-3,185,1997-05-10,US,R,Rhode Island
10,12,Langston Galloway,SG,6-1,200,1991-12-09,US,7,Saint Joseph's
11,3,George Hill,PG,6-4,188,1986-05-04,US,13,IUPUI
12,21,Jrue Holiday,PG,6-3,205,1990-06-12,US,12,UCLA
13,5,Rodney Hood,PF,6-8,208,1992-10-20,US,7,"Mississippi State, Duke"
14,25,Serge Ibaka,C,6-10,235,1989-09-18,CG,12,
15,18,Georgios Kalaitzakis,SF,6-8,192,1999-01-02,GR,R,
16,35,Luke Kornet,C,7-2,250,1995-07-15,US,4,Vanderbilt
17,11,Brook Lopez,C,7-0,282,1988-04-01,US,13,Stanford
18,54,Sandro Mamukelashvili,PF,6-11,240,1999-05-23,US,R,Seton Hall
19,23,Wesley Matthews,SG,6-4,220,1986-10-14,US,12,Marquette
20,22,Khris Middleton,SF,6-7,222,1991-08-12,US,9,Texas A&M
21,15,Greg Monroe,C,6-11,265,1990-06-04,US,9,Georgetown
22,13,Jordan Nwora,SF,6-8,225,1998-09-09,US,1,Louisville
23,37,Semi Ojeleye,PF,6-6,240,1994-12-05,US,4,"Duke, SMU"
24,9,Bobby Portis,C,6-10,250,1995-02-10,US,6,Arkansas
25,55,Justin Robinson,PG,6-1,195,1997-10-12,US,2,Virginia Tech
26,6,Javonte Smart,PG,6-4,205,1999-06-03,US,R,LSU
27,59,Rayjon Tucker,SG,6-3,209,1997-09-24,US,2,"Florida Gulf Coast, Little Rock"
28,6,Luca Vildoza,PG,6-3,190,1995-08-11,AR,R,
29,28,Lindell Wigginton,PG,6-2,189,1998-03-28,CA,R,Iowa State
