,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-27,22-207,MIN,AWAY,MIL,W (+5),1,30:19,.727,.667,23.7,21.3,22.4,13.0,1.6,0.0,12.7,10.8,156,107,14.6,6.0
1,2021-10-30,22-210,MIN,HOME,DEN,L (-2),1,16:10,.551,.600,12.1,26.4,19.0,0.0,0.0,5.8,15.5,16.9,98,95,4.0,-3.4
2,2021-11-01,22-212,MIN,HOME,ORL,L (-18),1,29:23,.512,.375,3.0,26.6,13.3,0.0,0.0,0.0,0.0,13.6,119,119,7.6,-5.3
3,2021-11-12,22-223,MIN,AWAY,LAL,W (+24),1,18:01,.500,.500,5.7,26.1,16.3,14.1,8.2,6.5,0.0,9.2,132,65,8.5,12.6
4,2021-11-13,22-224,MIN,AWAY,LAC,L (-27),1,14:21,.600,.600,11.5,16.7,13.7,11.2,3.2,5.7,28.6,19.7,93,118,4.9,-3.6
5,2021-11-15,22-226,MIN,HOME,PHO,L (-3),1,23:30,.500,.500,12.0,14.9,13.5,0.0,2.1,0.0,33.3,10.7,82,98,2.3,-5.7
6,2021-11-17,22-228,MIN,HOME,SAC,W (+10),1,24:55,1.064,1.000,15.6,17.1,16.4,0.0,4.2,3.5,34.7,5.2,158,97,7.1,2.4
7,2021-11-18,22-229,MIN,HOME,SAS,W (+25),1,28:22,.750,.750,15.7,29.4,22.8,9.4,0.0,6.5,0.0,6.5,188,95,11.6,4.9
8,2021-11-20,22-231,MIN,HOME,MEM,W (+43),1,24:52,.512,.500,23.5,23.0,23.3,12.8,6.0,7.6,29.1,11.4,125,86,10.9,7.3
9,2021-11-22,22-233,MIN,AWAY,NOP,W (+14),1,25:07,.656,.600,24.8,17.8,21.7,6.7,3.9,0.0,7.6,20.5,144,97,17.2,6.4
10,2021-11-24,22-235,MIN,HOME,MIA,W (+12),1,24:48,.769,.667,26.6,37.8,31.6,17.0,7.6,0.0,16.1,10.1,169,86,16.7,13.6
11,2021-11-26,22-237,MIN,AWAY,CHO,L (-18),1,24:04,.425,.400,3.8,37.7,17.9,0.0,3.9,4.2,14.5,11.4,83,121,5.6,-5.7
12,2021-11-27,22-238,MIN,AWAY,PHI,W (+1),1,36:30,.460,.400,14.8,28.9,22.7,7.1,1.4,2.7,26.9,9.5,104,103,6.8,-1.5
13,2021-12-01,22-242,MIN,AWAY,WAS,L (-8),1,33:28,.667,.667,11.5,28.0,18.9,0.0,0.0,4.9,0.0,3.9,167,115,8.9,0.5
14,2021-12-03,22-244,MIN,AWAY,BRK,L (-5),1,29:51,.625,.625,19.3,41.3,28.4,17.3,1.6,3.0,11.1,12.2,139,104,14.5,6.3
15,2021-12-06,22-247,MIN,HOME,ATL,L (-11),1,31:33,.600,.600,11.3,30.4,20.0,4.4,1.6,0.0,0.0,6.7,154,125,10.9,-2.0
16,2021-12-08,22-249,MIN,HOME,UTA,L (-32),1,26:34,.500,.500,7.1,10.6,8.5,5.3,5.3,0.0,20.0,7.7,102,126,5.9,-2.9
17,2021-12-10,22-251,MIN,HOME,CLE,L (-17),1,30:18,.615,.583,3.1,30.8,14.6,10.1,4.6,3.0,12.0,11.1,117,110,11.7,3.8
18,2021-12-12,22-253,MIN,AWAY,POR,W (+5),1,30:56,.751,.813,10.8,17.6,14.3,0.0,4.6,4.7,9.7,13.8,137,102,15.9,7.6
19,2021-12-15,22-256,MIN,AWAY,DEN,W (+17),1,32:43,1.000,1.000,11.3,17.5,14.5,7.2,1.5,0.0,25.0,5.5,177,110,8.5,0.9
20,2021-12-17,22-258,MIN,HOME,LAL,W (+18),1,31:04,.500,.500,24.7,26.3,25.5,0.0,4.4,8.8,33.3,7.5,109,79,11.2,1.2
21,2021-12-19,22-260,MIN,HOME,DAL,W (+6),1,38:12,.615,.750,3.1,29.8,16.1,7.8,1.4,3.1,17.0,7.4,113,111,7.9,-1.5
22,2021-12-31,22-272,MIN,AWAY,UTA,L (-12),1,22:16,.425,.400,8.6,26.9,16.8,6.0,2.2,8.8,14.5,13.2,94,112,5.7,-3.1
23,2022-01-02,22-274,MIN,AWAY,LAL,L (-5),1,31:58,.521,.500,10.2,33.8,21.5,7.6,3.1,0.0,41.0,6.0,93,107,6.6,-0.2
24,2022-01-03,22-275,MIN,AWAY,LAC,W (+18),1,28:15,.571,.571,13.4,30.9,21.5,0.0,1.7,0.0,0.0,10.4,135,105,9.6,-2.5
25,2022-01-05,22-277,MIN,HOME,OKC,W (+8),1,30:05,.512,.500,9.0,29.5,19.4,14.6,1.6,2.9,17.0,8.2,118,86,9.7,2.7
26,2022-01-07,22-279,MIN,AWAY,OKC,W (+30),1,28:30,.533,.556,21.1,37.1,29.9,12.2,4.8,0.0,8.8,16.4,127,88,16.0,2.5
27,2022-01-09,22-281,MIN,AWAY,HOU,W (+18),1,31:20,.685,.714,17.3,41.5,28.8,15.4,2.8,5.7,11.5,20.7,137,105,26.3,8.4
28,2022-01-11,22-283,MIN,AWAY,NOP,L (-3),1,25:57,.515,.500,9.7,17.3,13.2,10.1,5.5,0.0,11.4,14.4,115,120,7.5,-3.6
29,2022-01-13,22-285,MIN,AWAY,MEM,L (-8),1,29:42,.800,.800,12.4,29.1,20.6,0.0,0.0,0.0,28.6,9.7,122,110,7.6,-3.0
30,2022-01-16,22-288,MIN,HOME,GSW,W (+20),1,24:08,1.000,1.000,4.3,20.7,12.7,5.7,0.0,5.0,16.7,10.4,161,98,10.3,4.8
31,2022-01-18,22-290,MIN,AWAY,NYK,W (+2),1,33:44,.420,.333,10.4,13.9,12.1,0.0,0.0,0.0,0.0,6.2,119,118,3.2,-7.4
32,2022-01-19,22-291,MIN,AWAY,ATL,L (-12),1,20:41,.635,.571,24.7,18.8,22.1,21.3,6.9,0.0,11.3,16.8,147,122,12.8,6.4
33,2022-01-23,22-295,MIN,HOME,BRK,W (+11),1,31:32,.945,1.000,7.2,24.8,16.1,7.0,7.6,0.0,0.0,6.3,204,109,17.2,9.8
34,2022-01-25,22-297,MIN,AWAY,POR,W (+2),1,35:45,.707,.714,17.5,17.7,17.6,27.5,2.7,2.5,17.9,13.6,146,106,20.5,9.6
35,2022-01-27,22-299,MIN,AWAY,GSW,L (-9),1,30:08,.781,.750,3.4,27.2,14.5,4.3,4.7,0.0,0.0,7.9,168,115,12.3,3.2
36,2022-01-28,22-300,MIN,AWAY,PHO,L (-10),1,28:44,.810,.667,7.1,16.7,11.5,0.0,0.0,3.7,0.0,6.6,181,137,8.2,-2.7
37,2022-01-30,22-302,MIN,HOME,UTA,W (+20),1,25:04,.282,.250,19.6,24.5,22.1,4.2,3.9,9.3,10.1,16.8,87,97,7.2,-4.6
38,2022-02-01,22-304,MIN,HOME,DEN,W (+15),1,18:55,.654,.667,25.9,20.7,23.3,19.7,5.1,0.0,6.8,32.9,137,107,18.3,7.8
39,2022-02-03,22-306,MIN,AWAY,DET,W (+11),1,23:34,.838,.833,5.0,22.1,14.0,0.0,4.0,4.5,20.5,17.5,128,107,12.1,1.6
40,2022-02-06,22-309,MIN,HOME,DET,W (+13),1,25:49,.333,.333,8.5,10.3,9.5,4.6,0.0,3.0,25.0,6.7,91,112,2.2,-7.3
41,2022-02-08,22-311,MIN,AWAY,SAC,W (+20),1,20:46,.571,.571,33.0,24.3,29.2,0.0,0.0,4.0,11.3,16.6,133,109,10.3,-3.9
42,2022-02-09,22-312,MIN,AWAY,SAC,L (-13),1,34:15,.820,.750,0.0,39.5,18.1,7.0,1.3,2.2,0.0,5.9,173,119,12.8,2.0
43,2022-02-11,22-314,MIN,AWAY,CHI,L (-12),1,24:59,.750,.750,4.4,12.4,7.7,4.5,1.9,0.0,0.0,6.9,159,134,7.0,-2.7
44,2022-02-13,22-316,MIN,AWAY,IND,W (+9),1,23:29,1.000,1.000,10.2,19.7,15.6,5.3,0.0,3.6,0.0,3.7,218,121,7.3,2.2
45,2022-02-15,22-318,MIN,HOME,CHO,W (+6),1,37:53,.512,.500,8.9,24.5,16.3,0.0,1.2,0.0,17.0,11.7,98,103,9.2,-4.2
46,2022-02-16,22-319,MIN,HOME,TOR,L (-12),1,17:42,.667,.667,12.1,6.0,9.0,44.1,0.0,4.3,0.0,7.8,168,109,7.9,11.2
47,2022-02-24,22-327,MIN,HOME,MEM,W (+5),1,27:53,.595,.600,15.3,24.6,20.5,0.0,3.4,0.0,0.0,8.7,145,100,9.1,-0.9
48,2022-02-25,22-328,MIN,HOME,PHI,L (-31),1,16:45,.170,.200,19.1,37.7,27.6,8.6,0.0,0.0,14.5,17.4,62,131,0.6,-12.3
49,2022-02-28,22-331,MIN,AWAY,CLE,W (+5),1,27:06,.694,.750,4.9,42.9,23.1,8.5,0.0,4.8,0.0,9.5,157,125,9.2,-0.4
50,2022-03-01,22-332,MIN,HOME,GSW,W (+15),1,24:13,1.000,1.000,10.4,27.0,19.3,8.8,0.0,0.0,75.0,6.9,91,110,3.3,-1.8
51,2022-03-04,22-335,MIN,AWAY,OKC,W (+37),1,24:07,.500,.500,15.7,23.7,19.9,13.3,3.7,7.8,0.0,6.7,157,88,10.7,5.9
52,2022-03-05,22-336,MIN,HOME,POR,W (+14),1,37:20,.686,.625,6.6,14.6,10.8,6.2,1.3,0.0,8.9,13.2,140,125,13.1,-5.4
53,2022-03-07,22-338,MIN,HOME,POR,W (+43),1,18:34,.515,.333,9.8,23.1,16.6,7.3,2.4,0.0,0.0,7.6,146,75,6.5,3.5
54,2022-03-11,22-342,MIN,AWAY,ORL,L (-8),1,20:22,.333,.333,5.4,28.1,16.4,0.0,2.4,0.0,0.0,6.8,88,118,2.7,-7.4
55,2022-03-16,22-347,MIN,HOME,LAL,W (+20),1,24:57,.500,.500,19.2,19.6,19.5,5.3,3.9,0.0,42.9,11.3,88,99,4.8,-3.0
56,2022-03-19,22-350,MIN,HOME,MIL,W (+19),1,32:08,.781,.750,0.0,23.9,12.6,3.5,1.4,0.0,0.0,7.5,164,115,9.5,-1.4
57,2022-03-21,22-352,MIN,AWAY,DAL,L (-2),1,14:31,.667,.667,24.0,31.5,27.3,0.0,3.5,0.0,25.0,11.7,127,110,5.1,-2.6
58,2022-03-23,22-354,MIN,HOME,PHO,L (-9),1,26:22,.505,.455,23.2,26.6,24.8,5.5,1.9,0.0,20.2,23.2,103,125,11.0,-3.3
59,2022-03-25,22-356,MIN,HOME,DAL,W (+21),1,22:42,.785,.800,10.3,17.3,14.1,0.0,2.2,0.0,0.0,15.6,166,97,12.1,7.9
60,2022-03-27,22-358,MIN,AWAY,BOS,L (-22),1,18:16,.698,.714,13.5,14.6,14.0,0.0,0.0,0.0,0.0,20.0,143,141,8.9,-1.6
61,2022-03-30,22-361,MIN,AWAY,TOR,L (-23),1,21:04,.563,.500,17.2,16.3,16.8,16.3,2.2,3.8,18.4,20.1,111,119,10.8,2.7
62,2022-04-01,22-363,MIN,AWAY,DEN,W (+6),1,22:39,.368,.400,4.8,16.7,10.3,5.5,2.1,4.2,0.0,10.2,99,126,4.1,-5.5
63,2022-04-03,23-000,MIN,AWAY,HOU,W (+7),1,29:38,1.000,1.000,5.1,22.5,14.3,3.3,1.5,7.2,75.0,5.6,69,121,2.8,-5.4
64,2022-04-05,23-002,MIN,HOME,WAS,L (-18),1,20:05,.840,1.000,4.9,29.1,15.9,0.0,2.3,0.0,17.4,12.4,134,121,7.3,-2.2
65,2022-04-07,23-004,MIN,HOME,SAS,W (+6),1,32:37,.773,.667,14.7,14.0,14.4,3.9,4.2,0.0,0.0,4.8,193,111,11.5,1.6
66,2022-04-10,23-007,MIN,HOME,CHI,L (-4),1,14:13,.000,.000,0.0,26.0,12.7,7.3,0.0,0.0,50.0,11.9,16,123,-2.2,-18.4
