,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,5,Malik Beasley,SG,6-4,187,1996-11-26,US,5,Florida State
1,22,Patrick Beverley,PG,6-1,180,1988-07-12,US,9,Arkansas
2,9,Leandro Bolmaro,SF,6-6,200,2000-09-11,AR,R,
3,1,Anthony Edwards,SG,6-4,225,2001-08-05,US,1,Georgia
4,13,Nathan Knight,PF,6-10,253,1997-09-20,US,1,William & Mary
5,10,Jake Layman,SF,6-8,209,1994-03-07,US,5,Maryland
6,3,Jaden McDaniels,PF,6-9,185,2000-09-29,US,1,Washington
7,6,Jordan McLaughlin,PG,5-11,185,1996-04-09,US,2,USC
8,55,Greg Monroe,C,6-11,265,1990-06-04,US,9,Georgetown
9,4,Jaylen Nowell,SG,6-4,201,1999-07-09,US,2,Washington
10,20,Josh Okogie,SG,6-4,213,1998-09-01,NG,3,Georgia Tech
11,12,Taurean Prince,PF,6-7,218,1994-03-22,US,5,Baylor
12,11,Naz Reid,C,6-9,264,1999-08-26,US,2,LSU
13,0,D'Angelo Russell,PG,6-4,193,1996-02-23,US,6,Ohio State
14,30,Chris Silva,PF,6-8,234,1996-09-19,GA,2,South Carolina
15,32,Karl-Anthony Towns,C,6-11,248,1995-11-15,US,6,Kentucky
16,8,Jarred Vanderbilt,PF,6-9,214,1999-04-03,US,3,Kentucky
17,25,McKinley Wright IV,PG,6-0,196,1998-10-25,US,R,Colorado
