,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 20, 2021",2021,10,20,8:00p,True,HOU,W,False,124,106,1,0,W 1
1,"Sat, Oct 23, 2021",2021,10,23,8:00p,True,NOP,W,False,96,89,2,0,W 2
2,"Mon, Oct 25, 2021",2021,10,25,8:00p,True,NOP,L,False,98,107,2,1,L 1
3,"Wed, Oct 27, 2021",2021,10,27,8:00p,False,MIL,W,False,113,108,3,1,W 1
4,"Sat, Oct 30, 2021",2021,10,30,9:00p,True,DEN,L,False,91,93,3,2,L 1
5,"Mon, Nov 1, 2021",2021,11,1,8:00p,True,ORL,L,False,97,115,3,3,L 2
6,"Wed, Nov 3, 2021",2021,11,3,8:00p,True,LAC,L,False,115,126,3,4,L 3
7,"Fri, Nov 5, 2021",2021,11,5,8:00p,True,LAC,L,False,84,104,3,5,L 4
8,"Mon, Nov 8, 2021",2021,11,8,8:00p,False,MEM,L,True,118,125,3,6,L 5
9,"Wed, Nov 10, 2021",2021,11,10,10:00p,False,GSW,L,False,110,123,3,7,L 6
10,"Fri, Nov 12, 2021",2021,11,12,10:30p,False,LAL,W,False,107,83,4,7,W 1
11,"Sat, Nov 13, 2021",2021,11,13,10:30p,False,LAC,L,False,102,129,4,8,L 1
12,"Mon, Nov 15, 2021",2021,11,15,8:00p,True,PHO,L,False,96,99,4,9,L 2
13,"Wed, Nov 17, 2021",2021,11,17,8:00p,True,SAC,W,False,107,97,5,9,W 1
14,"Thu, Nov 18, 2021",2021,11,18,8:00p,True,SAS,W,False,115,90,6,9,W 2
15,"Sat, Nov 20, 2021",2021,11,20,8:00p,True,MEM,W,False,138,95,7,9,W 3
16,"Mon, Nov 22, 2021",2021,11,22,8:00p,False,NOP,W,False,110,96,8,9,W 4
17,"Wed, Nov 24, 2021",2021,11,24,8:00p,True,MIA,W,False,113,101,9,9,W 5
18,"Fri, Nov 26, 2021",2021,11,26,7:00p,False,CHO,L,False,115,133,9,10,L 1
19,"Sat, Nov 27, 2021",2021,11,27,6:00p,False,PHI,W,True,121,120,10,10,W 1
21,"Mon, Nov 29, 2021",2021,11,29,8:00p,True,IND,W,False,100,98,11,10,W 2
22,"Wed, Dec 1, 2021",2021,12,1,7:00p,False,WAS,L,False,107,115,11,11,L 1
23,"Fri, Dec 3, 2021",2021,12,3,7:30p,False,BRK,L,False,105,110,11,12,L 2
24,"Mon, Dec 6, 2021",2021,12,6,8:00p,True,ATL,L,False,110,121,11,13,L 3
25,"Wed, Dec 8, 2021",2021,12,8,8:00p,True,UTA,L,False,104,136,11,14,L 4
26,"Fri, Dec 10, 2021",2021,12,10,8:00p,True,CLE,L,False,106,123,11,15,L 5
27,"Sun, Dec 12, 2021",2021,12,12,9:00p,False,POR,W,False,116,111,12,15,W 1
28,"Wed, Dec 15, 2021",2021,12,15,9:00p,False,DEN,W,False,124,107,13,15,W 2
29,"Fri, Dec 17, 2021",2021,12,17,10:00p,True,LAL,W,False,110,92,14,15,W 3
30,"Sun, Dec 19, 2021",2021,12,19,8:00p,True,DAL,W,False,111,105,15,15,W 4
31,"Tue, Dec 21, 2021",2021,12,21,8:30p,False,DAL,L,False,102,114,15,16,L 1
32,"Thu, Dec 23, 2021",2021,12,23,9:00p,False,UTA,L,False,116,128,15,17,L 2
33,"Mon, Dec 27, 2021",2021,12,27,8:00p,True,BOS,W,False,108,103,16,17,W 1
34,"Tue, Dec 28, 2021",2021,12,28,8:00p,True,NYK,L,False,88,96,16,18,L 1
35,"Fri, Dec 31, 2021",2021,12,31,9:00p,False,UTA,L,False,108,120,16,19,L 2
36,"Sun, Jan 2, 2022",2022,1,2,9:30p,False,LAL,L,False,103,108,16,20,L 3
37,"Mon, Jan 3, 2022",2022,1,3,10:30p,False,LAC,W,False,122,104,17,20,W 1
38,"Wed, Jan 5, 2022",2022,1,5,8:00p,True,OKC,W,False,98,90,18,20,W 2
39,"Fri, Jan 7, 2022",2022,1,7,8:00p,False,OKC,W,False,135,105,19,20,W 3
40,"Sun, Jan 9, 2022",2022,1,9,7:00p,False,HOU,W,False,141,123,20,20,W 4
42,"Tue, Jan 11, 2022",2022,1,11,8:00p,False,NOP,L,False,125,128,20,21,L 1
43,"Thu, Jan 13, 2022",2022,1,13,8:00p,False,MEM,L,False,108,116,20,22,L 2
44,"Sun, Jan 16, 2022",2022,1,16,8:00p,True,GSW,W,False,119,99,21,22,W 1
45,"Tue, Jan 18, 2022",2022,1,18,7:30p,False,NYK,W,False,112,110,22,22,W 2
46,"Wed, Jan 19, 2022",2022,1,19,7:30p,False,ATL,L,False,122,134,22,23,L 1
47,"Sun, Jan 23, 2022",2022,1,23,8:00p,True,BRK,W,False,136,125,23,23,W 1
48,"Tue, Jan 25, 2022",2022,1,25,10:00p,False,POR,W,False,109,107,24,23,W 2
49,"Thu, Jan 27, 2022",2022,1,27,10:00p,False,GSW,L,False,115,124,24,24,L 1
50,"Fri, Jan 28, 2022",2022,1,28,9:00p,False,PHO,L,False,124,134,24,25,L 2
51,"Sun, Jan 30, 2022",2022,1,30,8:00p,True,UTA,W,False,126,106,25,25,W 1
52,"Tue, Feb 1, 2022",2022,2,1,8:00p,True,DEN,W,False,130,115,26,25,W 2
53,"Thu, Feb 3, 2022",2022,2,3,7:00p,False,DET,W,False,128,117,27,25,W 3
54,"Sun, Feb 6, 2022",2022,2,6,3:30p,True,DET,W,False,118,105,28,25,W 4
55,"Tue, Feb 8, 2022",2022,2,8,10:00p,False,SAC,W,False,134,114,29,25,W 5
56,"Wed, Feb 9, 2022",2022,2,9,10:00p,False,SAC,L,False,119,132,29,26,L 1
57,"Fri, Feb 11, 2022",2022,2,11,8:00p,False,CHI,L,False,122,134,29,27,L 2
58,"Sun, Feb 13, 2022",2022,2,13,3:00p,False,IND,W,False,129,120,30,27,W 1
59,"Tue, Feb 15, 2022",2022,2,15,8:00p,True,CHO,W,True,126,120,31,27,W 2
60,"Wed, Feb 16, 2022",2022,2,16,8:00p,True,TOR,L,False,91,103,31,28,L 1
61,"Thu, Feb 24, 2022",2022,2,24,8:00p,True,MEM,W,False,119,114,32,28,W 1
63,"Fri, Feb 25, 2022",2022,2,25,8:00p,True,PHI,L,False,102,133,32,29,L 1
64,"Mon, Feb 28, 2022",2022,2,28,7:00p,False,CLE,W,False,127,122,33,29,W 1
65,"Tue, Mar 1, 2022",2022,3,1,8:00p,True,GSW,W,False,129,114,34,29,W 2
66,"Fri, Mar 4, 2022",2022,3,4,8:00p,False,OKC,W,False,138,101,35,29,W 3
67,"Sat, Mar 5, 2022",2022,3,5,8:00p,True,POR,W,False,135,121,36,29,W 4
68,"Mon, Mar 7, 2022",2022,3,7,8:00p,True,POR,W,False,124,81,37,29,W 5
69,"Wed, Mar 9, 2022",2022,3,9,8:00p,True,OKC,W,False,132,102,38,29,W 6
70,"Fri, Mar 11, 2022",2022,3,11,7:00p,False,ORL,L,False,110,118,38,30,L 1
71,"Sat, Mar 12, 2022",2022,3,12,8:00p,False,MIA,W,False,113,104,39,30,W 1
72,"Mon, Mar 14, 2022",2022,3,14,8:30p,False,SAS,W,False,149,139,40,30,W 2
73,"Wed, Mar 16, 2022",2022,3,16,8:00p,True,LAL,W,False,124,104,41,30,W 3
74,"Sat, Mar 19, 2022",2022,3,19,5:00p,True,MIL,W,False,138,119,42,30,W 4
75,"Mon, Mar 21, 2022",2022,3,21,8:30p,False,DAL,L,False,108,110,42,31,L 1
76,"Wed, Mar 23, 2022",2022,3,23,8:00p,True,PHO,L,False,116,125,42,32,L 2
77,"Fri, Mar 25, 2022",2022,3,25,8:00p,True,DAL,W,False,116,95,43,32,W 1
78,"Sun, Mar 27, 2022",2022,3,27,6:00p,False,BOS,L,False,112,134,43,33,L 1
79,"Wed, Mar 30, 2022",2022,3,30,7:30p,False,TOR,L,False,102,125,43,34,L 2
80,"Fri, Apr 1, 2022",2022,4,1,9:00p,False,DEN,W,False,136,130,44,34,W 1
81,"Sun, Apr 3, 2022",2022,4,3,7:00p,False,HOU,W,False,139,132,45,34,W 2
82,"Tue, Apr 5, 2022",2022,4,5,8:00p,True,WAS,L,False,114,132,45,35,L 1
84,"Thu, Apr 7, 2022",2022,4,7,8:00p,True,SAS,W,False,127,121,46,35,W 1
85,"Sun, Apr 10, 2022",2022,4,10,8:30p,True,CHI,L,False,120,124,46,36,L 1
86,"Tue, Apr 12, 2022",2022,4,12,9:30p,True,LAC,W,False,109,104,47,36,W 1
