,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-12-15,23-119,ORL,HOME,ATL,L (-12),1,32:03,.368,.300,6.5,7.5,7.0,9.4,1.5,2.8,26.9,19.3,68,111,2.5,-7.3
1,2021-12-17,23-121,ORL,HOME,MIA,L (-10),1,38:34,.750,.750,3.0,27.3,15.2,14.5,8.2,2.6,7.7,15.5,144,106,23.9,14.1
2,2021-12-18,23-122,ORL,AWAY,BRK,W (+7),1,35:21,.682,.682,0.0,15.1,8.1,4.4,2.7,4.8,15.4,15.3,113,88,12.4,3.6
3,2021-12-22,23-126,ORL,AWAY,ATL,W (+6),1,30:06,.429,.429,0.0,17.7,9.0,5.3,10.3,0.0,0.0,21.2,87,87,11.6,2.8
4,2021-12-23,23-127,ORL,HOME,NOP,L (-6),1,16:46,.333,.333,0.0,6.2,3.2,0.0,3.1,0.0,10.0,27.2,62,121,-0.4,-19.6
5,2022-01-09,23-144,ORL,HOME,WAS,L (-2),1,34:08,.350,.318,8.3,9.4,8.8,20.8,4.4,2.4,0.0,14.8,101,103,10.9,2.5
6,2022-01-12,23-147,ORL,AWAY,WAS,L (-6),1,28:26,.506,.444,6.3,9.1,7.4,0.0,3.6,3.3,0.0,14.5,121,115,9.2,-1.9
7,2022-01-14,23-149,ORL,AWAY,CHO,W (+7),1,22:11,.500,.500,0.0,43.3,24.9,0.0,4.0,3.9,14.3,13.5,76,87,7.3,1.8
8,2022-01-15,23-150,ORL,AWAY,DAL,L (-16),1,25:14,.375,.375,0.0,25.9,13.6,0.0,6.3,0.0,0.0,15.4,75,104,5.2,0.2
9,2022-01-17,23-152,ORL,HOME,POR,L (-10),1,29:06,.336,.357,3.1,9.7,6.3,10.7,3.2,2.9,0.0,10.7,83,94,5.8,-1.4
10,2022-03-04,23-198,ORL,AWAY,TOR,W (+6),1,30:06,.500,.500,11.8,20.3,16.1,10.8,1.6,0.0,9.1,15.6,110,97,10.5,1.8
11,2022-03-05,23-199,ORL,AWAY,MEM,L (-28),1,34:06,.200,.200,0.0,21.4,10.3,20.6,5.4,0.0,16.7,16.1,52,112,3.8,-6.6
12,2022-03-23,23-217,ORL,AWAY,OKC,L (-16),1,34:38,.563,.531,0.0,16.9,7.8,0.0,0.0,3.6,5.6,22.5,102,122,10.2,-3.2
13,2022-03-26,23-220,ORL,HOME,SAC,L (-4),1,34:11,.429,.429,0.0,10.3,5.3,3.7,0.0,5.0,12.5,10.2,83,113,3.8,-6.4
14,2022-03-30,23-224,ORL,AWAY,WAS,L (-17),1,30:29,.333,.333,6.3,22.0,13.5,4.3,0.0,0.0,10.0,13.5,78,129,2.2,-11.1
15,2022-04-01,23-226,ORL,HOME,TOR,L (-13),1,24:19,.500,.500,0.0,8.6,4.6,6.6,4.3,0.0,25.0,15.2,75,107,3.9,-1.5
16,2022-04-03,23-228,ORL,HOME,NYK,L (-30),1,19:57,.254,.214,0.0,26.7,12.5,8.7,2.5,0.0,0.0,17.6,60,117,2.3,-6.9
17,2022-04-05,23-230,ORL,HOME,CLE,W (+5),1,32:50,.557,.500,3.2,26.6,14.6,6.9,3.0,2.9,0.0,13.5,124,114,12.3,0.2
18,2022-04-07,23-232,ORL,AWAY,CHO,L (-27),1,34:17,.667,.667,2.6,18.7,9.9,20.9,4.0,4.8,0.0,18.0,133,112,21.6,12.6
19,2022-04-10,23-235,ORL,HOME,MIA,W (+14),1,29:16,.654,.654,0.0,18.9,10.4,0.0,1.7,3.7,7.1,21.8,105,108,12.0,-0.3
