,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,22-187,ORL,AWAY,SAS,L (-26),1,18:45,.597,.550,6.0,40.7,23.5,11.5,2.7,0.0,0.0,24.8,135,118,12.1,8.6
1,2021-10-22,22-189,ORL,HOME,NYK,L (-25),1,30:08,.571,.500,7.8,33.3,20.9,22.6,1.6,4.7,10.2,14.4,127,118,12.3,2.3
2,2021-10-24,22-191,ORL,AWAY,NYK,W (+6),1,30:54,.688,.688,6.8,17.3,12.8,5.5,1.5,11.9,20.0,13.4,112,93,12.2,3.2
3,2021-10-25,22-192,ORL,AWAY,MIA,L (-17),1,27:46,.571,.500,13.3,24.7,19.2,6.2,0.0,2.9,20.2,16.2,104,113,7.8,-3.3
4,2021-10-27,22-194,ORL,HOME,CHO,L (-9),1,32:49,.630,.600,7.7,33.4,20.0,9.3,1.5,0.0,5.9,22.1,129,118,16.3,2.6
5,2021-10-29,22-196,ORL,AWAY,TOR,L (-1),1,33:24,.683,.708,13.4,26.7,20.1,14.6,0.0,0.0,13.9,18.7,130,117,15.1,2.6
6,2021-10-30,22-197,ORL,AWAY,DET,L (-7),1,16:47,.405,.389,13.3,22.4,18.3,19.4,0.0,6.2,23.3,33.3,80,111,3.0,-11.0
7,2021-11-01,22-199,ORL,AWAY,MIN,W (+18),1,35:36,.735,.750,12.5,24.5,19.3,13.4,0.0,0.0,16.4,14.8,140,98,14.1,2.1
8,2021-11-03,22-201,ORL,HOME,BOS,L (-13),1,35:03,.505,.500,8.4,29.1,18.5,27.2,2.9,0.0,23.7,21.6,88,93,12.1,5.9
9,2021-11-05,22-203,ORL,HOME,SAS,L (-13),1,29:00,.406,.406,9.9,28.3,18.2,6.6,0.0,2.3,0.0,23.8,89,103,9.4,-3.8
10,2021-11-07,22-205,ORL,HOME,UTA,W (+7),1,31:39,.786,.786,3.7,44.2,25.6,31.0,0.0,3.2,6.7,21.7,152,92,23.0,16.7
11,2021-11-10,22-208,ORL,HOME,BRK,L (-33),1,18:08,.514,.500,10.0,17.6,13.5,9.8,0.0,0.0,0.0,19.4,116,123,7.1,0.6
12,2021-11-13,22-211,ORL,HOME,WAS,L (-12),1,32:06,.715,.727,8.2,16.2,11.4,13.6,4.7,0.0,14.4,18.2,123,104,15.8,7.5
13,2021-11-15,22-213,ORL,AWAY,ATL,L (-18),1,33:42,.938,.938,5.8,26.2,14.7,8.3,1.4,2.6,27.3,13.4,125,126,14.2,1.6
14,2021-11-17,22-215,ORL,AWAY,NYK,W (+6),1,24:56,.463,.500,8.0,24.1,16.0,13.1,2.0,0.0,7.8,21.4,100,97,7.5,-0.7
15,2021-11-19,22-217,ORL,AWAY,BRK,L (-2),1,26:41,.085,.000,9.0,26.2,18.4,13.5,0.0,3.1,33.8,14.1,48,117,-0.8,-15.4
16,2021-11-20,22-218,ORL,AWAY,MIL,L (-9),1,14:13,.621,.667,0.0,15.3,6.8,23.4,0.0,0.0,0.0,19.0,123,116,5.0,3.3
17,2021-11-22,22-220,ORL,AWAY,MIL,L (-31),1,27:36,.581,.500,0.0,38.6,17.1,18.1,0.0,3.5,22.5,13.3,103,118,8.8,-1.3
18,2021-11-24,22-222,ORL,HOME,CHO,L (-7),1,32:05,.742,.722,3.2,28.2,16.5,10.3,3.0,0.0,0.0,12.7,155,99,16.0,7.0
19,2021-11-26,22-224,ORL,HOME,CHI,L (-35),1,29:53,.670,.600,7.0,34.7,19.4,18.7,0.0,6.2,0.0,29.3,138,122,24.1,13.9
20,2021-11-27,22-225,ORL,AWAY,CLE,L (-13),1,31:32,.684,.654,9.3,27.1,17.8,6.7,3.2,0.0,0.0,19.9,141,106,20.3,8.2
21,2021-11-29,22-227,ORL,AWAY,PHI,L (-5),1,33:40,.364,.364,5.6,24.2,15.6,9.1,1.4,0.0,0.0,14.3,89,98,7.1,-4.4
22,2021-12-01,22-229,ORL,HOME,DEN,W (+5),1,32:50,.787,.773,4.2,26.2,15.8,0.0,0.0,0.0,8.0,17.9,135,108,14.1,-0.3
23,2021-12-03,22-231,ORL,AWAY,HOU,L (-2),1,33:01,.506,.444,19.1,38.1,29.1,8.0,0.0,6.5,16.8,15.3,113,114,12.1,-3.5
24,2021-12-06,22-234,ORL,AWAY,GSW,L (-31),1,29:32,.686,.625,4.0,44.7,24.1,18.4,1.6,0.0,8.9,16.9,134,119,14.9,5.5
25,2021-12-08,22-236,ORL,AWAY,SAC,L (-12),1,36:16,.571,.536,5.5,27.9,15.4,20.5,0.0,2.1,19.4,22.9,112,140,13.9,-4.9
26,2021-12-11,22-239,ORL,AWAY,LAC,L (-2),1,33:19,.200,.200,6.7,36.8,22.4,30.1,0.0,0.0,37.5,11.3,79,116,5.4,-4.2
27,2021-12-12,22-240,ORL,AWAY,LAL,L (-12),1,32:34,.621,.583,5.7,22.7,13.0,18.3,0.0,2.6,13.4,19.2,120,110,13.2,3.5
28,2021-12-15,22-243,ORL,HOME,ATL,L (-12),1,29:54,.450,.450,14.0,44.1,28.0,16.9,1.6,0.0,9.1,15.3,106,108,10.6,0.4
29,2021-12-17,22-245,ORL,HOME,MIA,L (-10),1,10:50,.333,.333,0.0,43.2,21.6,13.0,0.0,9.4,0.0,25.5,80,116,2.8,-8.5
30,2021-12-23,22-251,ORL,HOME,NOP,L (-6),1,29:30,.581,.458,18.5,24.8,21.7,16.3,3.5,8.7,0.0,22.6,142,107,21.2,10.6
31,2021-12-26,22-254,ORL,AWAY,MIA,L (-10),1,25:25,.508,.500,14.5,37.8,28.1,14.9,0.0,0.0,43.2,26.9,70,92,2.7,-11.9
32,2021-12-28,22-256,ORL,HOME,MIL,L (-17),1,33:19,.571,.500,0.0,38.9,18.7,4.9,4.4,0.0,10.7,25.0,103,121,14.7,-1.0
33,2021-12-30,22-258,ORL,HOME,MIL,L (-18),1,33:04,.530,.500,6.9,28.3,17.5,20.9,1.4,2.5,7.0,18.9,118,128,13.9,0.5
34,2022-01-02,22-261,ORL,AWAY,BOS,L (-5),1,40:51,.412,.344,8.3,38.3,22.8,27.1,1.2,2.6,9.9,21.7,99,104,14.0,1.0
35,2022-01-03,22-262,ORL,AWAY,CHI,L (-4),1,35:24,.610,.567,0.0,27.7,14.6,21.6,1.4,0.0,14.9,25.9,105,100,17.1,4.7
36,2022-01-05,22-264,ORL,HOME,PHI,L (-10),1,23:28,.714,.750,17.8,28.5,23.0,18.1,0.0,0.0,26.3,19.8,122,118,10.1,-0.8
37,2022-01-23,22-282,ORL,HOME,CHI,W (+19),1,28:11,.690,.750,0.0,27.7,15.1,6.0,0.0,9.3,17.9,28.0,97,92,13.3,0.2
38,2022-01-26,22-285,ORL,HOME,LAC,L (-9),1,31:16,.451,.400,3.1,31.5,15.7,9.6,0.0,0.0,19.7,21.9,79,116,3.9,-12.3
39,2022-01-28,22-287,ORL,HOME,DET,W (+16),1,28:50,.369,.200,9.5,28.3,20.8,13.3,1.7,0.0,0.0,18.6,106,100,9.2,-4.7
40,2022-01-30,22-289,ORL,HOME,DAL,W (+2),1,33:09,.595,.600,10.3,41.9,25.3,4.0,1.5,0.0,7.8,17.3,121,107,13.5,0.5
41,2022-02-01,22-291,ORL,AWAY,CHI,L (-11),1,34:13,.777,.767,3.4,22.3,13.2,27.5,0.0,0.0,16.3,24.2,130,128,20.3,3.7
42,2022-02-02,22-292,ORL,AWAY,IND,W (+1),1,33:43,.625,.538,8.9,42.7,26.1,8.9,1.3,2.2,16.5,21.9,113,104,18.2,0.2
43,2022-02-05,22-295,ORL,HOME,MEM,L (-20),1,23:26,.475,.400,7.7,34.9,20.5,13.3,0.0,0.0,13.7,26.8,95,125,7.4,-8.5
44,2022-02-06,22-296,ORL,HOME,BOS,L (-33),1,28:01,.751,.750,10.9,17.8,14.4,18.3,0.0,3.2,24.4,19.7,116,120,13.1,3.3
45,2022-02-08,22-298,ORL,AWAY,POR,W (+18),1,29:48,.827,.800,3.7,19.8,12.9,24.6,0.0,9.1,8.4,17.8,160,97,20.4,12.0
46,2022-02-11,22-301,ORL,AWAY,UTA,L (-15),1,34:17,.560,.559,5.8,23.3,14.0,11.5,0.0,2.9,16.9,30.4,96,118,13.7,-3.6
