,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,50,Cole Anthony,PG,6-2,185,2000-05-15,US,1,UNC
1,5,Mo Bamba,C,7-0,231,1998-05-12,US,3,Texas
2,17,Ignas Brazdeikis,SF,6-6,221,1999-01-08,LT,2,Michigan
3,30,Devin Cannady,PG,6-2,183,1996-05-21,US,1,Princeton
4,34,Wendell Carter Jr.,PF,6-10,270,1999-04-16,US,3,Duke
5,11,Jeff Dowtin,PG,6-3,185,1997-05-10,US,R,Rhode Island
6,11,Aleem Ford,SF,6-8,220,1997-12-22,US,R,Wisconsin
7,8,Tim Frazier,PG,6-0,170,1990-11-01,US,7,Penn State
8,20,Markelle Fultz,PG,6-3,209,1998-05-29,US,4,Washington
9,44,Freddie Gillespie,PF,6-9,245,1997-06-14,US,1,"Carleton College, Baylor"
10,12,Hassani Gravett,PG,6-2,188,1996-07-16,US,R,"Pensacola State, South Carolina"
11,13,R.J. Hampton,SG,6-4,175,2001-02-07,US,1,
12,14,Gary Harris,SG,6-4,210,1994-09-14,US,7,Michigan State
13,24,B.J. Johnson,SF,6-7,200,1995-12-21,US,2,"Syracuse, La Salle"
14,33,Robin Lopez,C,7-0,281,1988-04-01,US,13,Stanford
15,2,Mychal Mulder,PG,6-3,184,1994-06-12,CA,2,"Vincennes University, Kentucky"
16,3,Chuma Okeke,PF,6-6,229,1998-08-18,US,1,Auburn
17,31,Terrence Ross,SG,6-6,206,1991-02-05,US,9,Washington
18,25,Admiral Schofield,SF,6-5,241,1997-03-30,GB,1,Tennessee
19,4,Jalen Suggs,PG,6-4,205,2001-06-03,US,R,Gonzaga
20,22,Franz Wagner,SF,6-9,225,2001-08-27,DE,R,Michigan
21,21,Moritz Wagner,C,6-11,245,1997-04-26,DE,3,Michigan
