,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,31-106,PHO,HOME,DEN,L (-12),1,24:06,.170,.000,0.0,39.8,17.5,11.1,2.0,0.0,14.5,12.2,50,109,1.9,-6.8
1,2021-10-22,31-108,PHO,AWAY,LAL,W (+10),1,34:52,.574,.550,3.4,13.2,8.9,0.0,0.0,0.0,0.0,14.3,116,109,8.2,-3.4
2,2021-10-23,31-109,PHO,AWAY,POR,L (-29),1,23:43,.444,.357,4.3,15.6,9.4,5.2,2.0,0.0,27.6,20.1,72,132,2.8,-9.7
3,2021-10-27,31-113,PHO,HOME,SAC,L (-3),1,31:57,.417,.417,0.0,6.0,3.1,8.3,3.0,2.6,0.0,15.7,100,107,6.7,-1.1
4,2021-10-30,31-116,PHO,HOME,CLE,W (+9),1,33:06,.429,.429,3.2,16.1,10.3,8.0,2.9,3.1,12.5,10.7,87,89,7.1,2.0
5,2021-11-02,31-119,PHO,HOME,NOP,W (+12),1,32:18,.929,.929,0.0,24.3,14.0,20.9,1.5,0.0,12.5,10.9,157,99,15.6,12.4
6,2021-11-04,31-121,PHO,HOME,HOU,W (+12),1,26:50,.500,.500,0.0,13.4,6.0,4.2,0.0,3.2,0.0,4.7,117,112,2.8,-4.3
7,2021-11-06,31-123,PHO,HOME,ATL,W (+4),1,31:01,.582,.542,0.0,24.3,13.5,0.0,1.5,2.4,0.0,18.2,112,111,11.9,1.4
8,2021-11-08,31-125,PHO,AWAY,SAC,W (+5),1,27:39,.278,.278,4.0,8.5,6.2,12.9,3.3,3.0,0.0,14.0,78,98,4.4,-3.9
9,2021-11-10,31-127,PHO,HOME,POR,W (+10),1,30:56,.667,.667,7.6,10.6,9.1,7.5,4.8,0.0,10.0,14.2,131,107,12.6,6.0
10,2021-11-12,31-129,PHO,AWAY,MEM,W (+25),1,25:05,.850,.850,0.0,16.2,9.1,0.0,0.0,5.9,9.1,19.1,131,92,13.5,10.9
11,2021-11-14,31-131,PHO,AWAY,HOU,W (+26),1,23:51,.357,.357,3.9,20.5,12.1,0.0,1.9,7.6,22.2,15.6,64,84,2.3,-6.4
12,2021-11-15,31-132,PHO,AWAY,MIN,W (+3),1,28:40,.089,.000,3.0,16.4,9.5,5.2,1.7,0.0,21.1,20.5,24,96,-6.2,-16.3
13,2021-11-17,31-134,PHO,HOME,DAL,W (+7),1,27:48,.589,.545,0.0,3.5,1.8,0.0,3.6,2.9,7.8,20.9,103,101,9.9,4.6
14,2021-11-19,31-136,PHO,HOME,DAL,W (+8),1,26:55,.417,.417,0.0,13.5,7.7,4.4,1.8,0.0,0.0,9.9,97,107,3.3,-3.9
15,2021-11-21,31-138,PHO,HOME,DEN,W (+29),1,24:03,.805,.750,0.0,15.1,8.6,5.5,0.0,0.0,9.7,18.8,142,104,11.5,3.9
16,2021-11-22,31-139,PHO,AWAY,SAS,W (+4),1,25:10,.600,.600,0.0,13.0,6.5,4.6,3.8,0.0,0.0,8.7,130,107,5.7,2.8
