,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 20, 2021",2021,10,20,10:00p,True,DEN,L,False,98,110,0,1,L 1
1,"Fri, Oct 22, 2021",2021,10,22,10:00p,False,LAL,W,False,115,105,1,1,W 1
2,"Sat, Oct 23, 2021",2021,10,23,10:00p,False,POR,L,False,105,134,1,2,L 1
3,"Wed, Oct 27, 2021",2021,10,27,10:00p,True,SAC,L,False,107,110,1,3,L 2
4,"Sat, Oct 30, 2021",2021,10,30,10:00p,True,CLE,W,False,101,92,2,3,W 1
5,"Tue, Nov 2, 2021",2021,11,2,10:00p,True,NOP,W,False,112,100,3,3,W 2
6,"Thu, Nov 4, 2021",2021,11,4,10:00p,True,HOU,W,False,123,111,4,3,W 3
7,"Sat, Nov 6, 2021",2021,11,6,10:00p,True,ATL,W,False,121,117,5,3,W 4
8,"Mon, Nov 8, 2021",2021,11,8,10:00p,False,SAC,W,False,109,104,6,3,W 5
9,"Wed, Nov 10, 2021",2021,11,10,9:00p,True,POR,W,False,119,109,7,3,W 6
10,"Fri, Nov 12, 2021",2021,11,12,8:00p,False,MEM,W,False,119,94,8,3,W 7
11,"Sun, Nov 14, 2021",2021,11,14,7:00p,False,HOU,W,False,115,89,9,3,W 8
12,"Mon, Nov 15, 2021",2021,11,15,8:00p,False,MIN,W,False,99,96,10,3,W 9
13,"Wed, Nov 17, 2021",2021,11,17,10:00p,True,DAL,W,False,105,98,11,3,W 10
14,"Fri, Nov 19, 2021",2021,11,19,10:00p,True,DAL,W,False,112,104,12,3,W 11
15,"Sun, Nov 21, 2021",2021,11,21,8:00p,True,DEN,W,False,126,97,13,3,W 12
16,"Mon, Nov 22, 2021",2021,11,22,8:30p,False,SAS,W,False,115,111,14,3,W 13
17,"Wed, Nov 24, 2021",2021,11,24,7:00p,False,CLE,W,False,120,115,15,3,W 14
18,"Fri, Nov 26, 2021",2021,11,26,7:00p,False,NYK,W,False,118,97,16,3,W 15
19,"Sat, Nov 27, 2021",2021,11,27,7:30p,False,BRK,W,False,113,107,17,3,W 16
21,"Tue, Nov 30, 2021",2021,11,30,10:00p,True,GSW,W,False,104,96,18,3,W 17
22,"Thu, Dec 2, 2021",2021,12,2,9:00p,True,DET,W,False,114,103,19,3,W 18
23,"Fri, Dec 3, 2021",2021,12,3,10:00p,False,GSW,L,False,96,118,19,4,L 1
24,"Mon, Dec 6, 2021",2021,12,6,9:00p,True,SAS,W,False,108,104,20,4,W 1
25,"Fri, Dec 10, 2021",2021,12,10,10:00p,True,BOS,W,False,111,90,21,4,W 2
26,"Mon, Dec 13, 2021",2021,12,13,10:30p,False,LAC,L,False,95,111,21,5,L 1
27,"Tue, Dec 14, 2021",2021,12,14,10:00p,False,POR,W,True,111,107,22,5,W 1
28,"Thu, Dec 16, 2021",2021,12,16,9:00p,True,WAS,W,False,118,98,23,5,W 2
29,"Sun, Dec 19, 2021",2021,12,19,8:00p,True,CHO,W,False,137,106,24,5,W 3
30,"Tue, Dec 21, 2021",2021,12,21,10:00p,False,LAL,W,False,108,90,25,5,W 4
31,"Thu, Dec 23, 2021",2021,12,23,9:00p,True,OKC,W,False,113,101,26,5,W 5
32,"Sat, Dec 25, 2021",2021,12,25,5:00p,True,GSW,L,False,107,116,26,6,L 1
33,"Mon, Dec 27, 2021",2021,12,27,9:00p,True,MEM,L,False,113,114,26,7,L 2
34,"Wed, Dec 29, 2021",2021,12,29,9:00p,True,OKC,W,False,115,97,27,7,W 1
35,"Fri, Dec 31, 2021",2021,12,31,1:00p,False,BOS,L,False,108,123,27,8,L 1
36,"Sun, Jan 2, 2022",2022,1,2,7:00p,False,CHO,W,False,133,99,28,8,W 1
37,"Tue, Jan 4, 2022",2022,1,4,8:00p,False,NOP,W,False,123,110,29,8,W 2
38,"Thu, Jan 6, 2022",2022,1,6,10:00p,True,LAC,W,False,106,89,30,8,W 3
39,"Sat, Jan 8, 2022",2022,1,8,9:00p,True,MIA,L,False,100,123,30,9,L 1
40,"Tue, Jan 11, 2022",2022,1,11,7:30p,False,TOR,W,False,99,95,31,9,W 1
42,"Fri, Jan 14, 2022",2022,1,14,7:00p,False,IND,W,False,112,94,32,9,W 2
43,"Sun, Jan 16, 2022",2022,1,16,1:00p,False,DET,W,False,135,108,33,9,W 3
44,"Mon, Jan 17, 2022",2022,1,17,8:30p,False,SAS,W,False,121,107,34,9,W 4
45,"Thu, Jan 20, 2022",2022,1,20,7:30p,False,DAL,W,False,109,101,35,9,W 5
46,"Sat, Jan 22, 2022",2022,1,22,9:00p,True,IND,W,False,113,103,36,9,W 6
47,"Mon, Jan 24, 2022",2022,1,24,9:00p,True,UTA,W,False,115,109,37,9,W 7
48,"Wed, Jan 26, 2022",2022,1,26,10:00p,False,UTA,W,False,105,97,38,9,W 8
49,"Fri, Jan 28, 2022",2022,1,28,9:00p,True,MIN,W,False,134,124,39,9,W 9
50,"Sun, Jan 30, 2022",2022,1,30,8:00p,True,SAS,W,False,115,110,40,9,W 10
51,"Tue, Feb 1, 2022",2022,2,1,10:00p,True,BRK,W,False,121,111,41,9,W 11
52,"Thu, Feb 3, 2022",2022,2,3,7:30p,False,ATL,L,False,115,124,41,10,L 1
53,"Sat, Feb 5, 2022",2022,2,5,7:00p,False,WAS,W,False,95,80,42,10,W 1
54,"Mon, Feb 7, 2022",2022,2,7,8:00p,False,CHI,W,False,127,124,43,10,W 2
55,"Tue, Feb 8, 2022",2022,2,8,7:00p,False,PHI,W,False,114,109,44,10,W 3
56,"Thu, Feb 10, 2022",2022,2,10,10:00p,True,MIL,W,False,131,107,45,10,W 4
57,"Sat, Feb 12, 2022",2022,2,12,9:00p,True,ORL,W,False,132,105,46,10,W 5
58,"Tue, Feb 15, 2022",2022,2,15,10:00p,True,LAC,W,False,103,96,47,10,W 6
59,"Wed, Feb 16, 2022",2022,2,16,9:00p,True,HOU,W,False,124,121,48,10,W 7
60,"Thu, Feb 24, 2022",2022,2,24,8:00p,False,OKC,W,False,124,104,49,10,W 8
61,"Fri, Feb 25, 2022",2022,2,25,9:00p,True,NOP,L,False,102,117,49,11,L 1
63,"Sun, Feb 27, 2022",2022,2,27,3:30p,True,UTA,L,False,114,118,49,12,L 2
64,"Wed, Mar 2, 2022",2022,3,2,10:00p,True,POR,W,False,120,90,50,12,W 1
65,"Fri, Mar 4, 2022",2022,3,4,10:00p,True,NYK,W,False,115,114,51,12,W 2
66,"Sun, Mar 6, 2022",2022,3,6,3:30p,False,MIL,L,False,122,132,51,13,L 1
67,"Tue, Mar 8, 2022",2022,3,8,7:00p,False,ORL,W,False,102,99,52,13,W 1
68,"Wed, Mar 9, 2022",2022,3,9,7:30p,False,MIA,W,False,111,90,53,13,W 2
69,"Fri, Mar 11, 2022",2022,3,11,9:00p,True,TOR,L,False,112,117,53,14,L 1
70,"Sun, Mar 13, 2022",2022,3,13,9:00p,True,LAL,W,False,140,111,54,14,W 1
71,"Tue, Mar 15, 2022",2022,3,15,8:00p,False,NOP,W,False,131,115,55,14,W 2
72,"Wed, Mar 16, 2022",2022,3,16,8:00p,False,HOU,W,False,129,112,56,14,W 3
73,"Fri, Mar 18, 2022",2022,3,18,10:00p,True,CHI,W,False,129,102,57,14,W 4
74,"Sun, Mar 20, 2022",2022,3,20,6:00p,False,SAC,W,True,127,124,58,14,W 5
75,"Wed, Mar 23, 2022",2022,3,23,8:00p,False,MIN,W,False,125,116,59,14,W 6
76,"Thu, Mar 24, 2022",2022,3,24,9:00p,False,DEN,W,False,140,130,60,14,W 7
77,"Sun, Mar 27, 2022",2022,3,27,6:00p,True,PHI,W,False,114,104,61,14,W 8
78,"Wed, Mar 30, 2022",2022,3,30,10:00p,False,GSW,W,False,107,103,62,14,W 9
79,"Fri, Apr 1, 2022",2022,4,1,8:00p,False,MEM,L,False,114,122,62,15,L 1
80,"Sun, Apr 3, 2022",2022,4,3,7:00p,False,OKC,L,False,96,117,62,16,L 2
81,"Tue, Apr 5, 2022",2022,4,5,10:30p,True,LAL,W,False,121,110,63,16,W 1
82,"Wed, Apr 6, 2022",2022,4,6,10:00p,False,LAC,L,False,109,113,63,17,L 1
84,"Fri, Apr 8, 2022",2022,4,8,9:30p,False,UTA,W,False,111,105,64,17,W 1
85,"Sun, Apr 10, 2022",2022,4,10,9:30p,True,SAC,L,False,109,116,64,18,L 1
