,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,31-097,POR,HOME,SAC,L (-3),1,40:15,.382,.333,0.0,15.2,7.8,37.0,1.1,0.0,3.7,28.3,99,120,14.3,-6.2
1,2021-10-23,31-100,POR,HOME,PHO,W (+29),1,24:29,.720,.636,0.0,4.2,2.3,40.0,0.0,0.0,13.2,27.0,147,111,17.2,6.8
2,2021-10-25,31-102,POR,AWAY,LAC,L (-30),1,27:50,.358,.267,3.8,7.7,5.7,20.6,0.0,0.0,19.3,29.1,68,110,1.7,-10.9
3,2021-10-27,31-104,POR,HOME,MEM,W (+20),1,32:14,.421,.364,0.0,8.0,4.6,49.5,1.5,0.0,7.8,34.7,109,105,13.9,1.3
4,2021-10-29,31-106,POR,HOME,LAC,W (+19),1,34:09,.699,.676,2.7,8.0,5.3,29.7,1.4,0.0,25.1,28.2,114,97,16.3,5.3
5,2021-10-31,31-108,POR,AWAY,CHO,L (-12),1,37:48,.335,.300,0.0,12.1,5.6,41.6,0.0,0.0,8.7,25.5,98,136,8.4,-9.3
6,2021-11-01,31-109,POR,AWAY,PHI,L (-10),1,35:55,.450,.400,3.3,20.6,11.8,43.6,0.0,0.0,11.9,31.8,109,127,14.1,-2.3
7,2021-11-03,31-111,POR,AWAY,CLE,L (-3),1,39:46,.445,.426,0.0,10.7,4.4,34.6,2.6,0.0,3.3,34.2,101,117,17.0,-0.3
8,2021-11-05,31-113,POR,HOME,IND,W (+4),1,37:56,.154,.154,0.0,11.8,6.2,37.1,1.3,2.8,13.3,18.7,74,113,3.9,-11.1
9,2021-11-06,31-114,POR,HOME,LAL,W (+15),1,30:48,.629,.632,0.0,9.2,4.2,42.6,3.0,0.0,13.1,30.6,112,90,17.8,9.2
10,2021-11-09,31-117,POR,AWAY,LAC,L (-8),1,38:57,.576,.565,2.6,12.6,7.2,25.1,0.0,0.0,7.9,29.8,113,129,19.4,-0.3
11,2021-11-10,31-118,POR,AWAY,PHO,L (-10),1,38:03,.565,.543,0.0,21.5,10.4,30.6,0.0,0.0,7.5,30.1,120,125,21.3,3.8
12,2021-11-12,31-120,POR,AWAY,HOU,W (+12),1,38:09,.549,.500,0.0,15.1,7.5,33.3,0.0,2.4,9.9,22.4,112,97,15.8,3.9
13,2021-11-15,31-123,POR,HOME,TOR,W (+5),1,40:04,.560,.548,7.0,5.4,6.1,28.2,2.6,2.1,12.3,29.2,119,123,20.6,1.6
14,2021-11-17,31-125,POR,HOME,CHI,W (+5),1,40:18,.522,.417,0.0,11.3,6.0,39.9,1.3,2.2,15.9,26.6,112,116,17.3,1.3
15,2021-11-20,31-128,POR,HOME,PHI,W (+7),1,37:01,.718,.595,0.0,0.0,0.0,33.6,0.0,7.3,12.8,39.6,134,115,30.9,11.0
16,2021-11-23,31-131,POR,HOME,DEN,W (+19),1,31:18,.901,.885,0.0,12.1,5.8,24.6,1.7,0.0,6.7,21.6,173,115,23.5,12.9
17,2021-11-24,31-132,POR,AWAY,SAC,L (-4),1,39:49,.639,.472,5.7,11.0,8.4,33.9,0.0,0.0,7.4,27.6,145,130,28.2,6.0
18,2021-11-26,31-134,POR,AWAY,GSW,L (-15),1,38:00,.477,.400,0.0,0.0,0.0,25.5,1.3,0.0,19.3,24.7,89,126,8.3,-7.1
19,2021-11-29,31-137,POR,AWAY,UTA,L (-22),1,31:09,.427,.375,0.0,24.3,10.9,21.5,0.0,3.6,13.4,21.5,94,137,8.2,-5.4
20,2021-12-12,31-150,POR,HOME,MIN,L (-5),1,36:59,.508,.382,8.8,24.1,16.4,25.5,0.0,0.0,17.5,33.0,105,119,16.2,-4.4
21,2021-12-14,31-152,POR,HOME,PHO,L (-4),1,47:06,.467,.435,0.0,5.1,2.3,40.7,0.0,1.8,10.8,35.3,98,112,17.6,2.6
22,2021-12-15,31-153,POR,HOME,MEM,L (-10),1,38:02,.461,.405,2.7,11.5,6.9,21.5,1.3,2.5,11.6,30.3,89,117,11.3,-2.8
23,2021-12-17,31-155,POR,HOME,CHO,W (+9),1,37:14,.855,.789,3.7,8.8,6.5,36.1,1.3,0.0,10.7,33.6,163,120,38.9,16.2
24,2021-12-19,31-157,POR,AWAY,MEM,W (+5),1,37:58,.659,.553,0.0,12.2,7.5,26.8,0.0,0.0,17.1,34.8,122,110,20.7,2.1
25,2021-12-21,31-159,POR,AWAY,NOP,L (-14),1,39:56,.709,.667,0.0,7.5,3.2,43.4,1.3,0.0,3.5,35.6,144,129,32.5,14.6
26,2021-12-27,31-165,POR,HOME,DAL,L (-15),1,36:19,.614,.433,0.0,7.6,3.6,23.3,0.0,2.6,19.1,31.0,111,136,16.5,-2.2
27,2021-12-29,31-167,POR,HOME,UTA,L (-15),1,36:36,.584,.543,0.0,16.7,8.6,22.0,1.4,0.0,6.8,35.5,117,124,22.3,6.4
28,2021-12-31,31-169,POR,AWAY,LAL,L (-33),1,32:06,.475,.367,0.0,15.7,5.9,36.7,0.0,0.0,13.7,26.7,103,144,11.0,-5.6
