,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,27-058,POR,HOME,SAC,L (-3),1,28:45,.765,.650,11.1,39.1,25.4,9.5,0.0,3.3,7.1,20.5,155,116,20.3,6.0
1,2021-10-23,27-061,POR,HOME,PHO,W (+29),1,25:16,.571,.571,4.9,44.5,26.5,13.1,3.8,0.0,20.2,17.0,111,96,11.0,2.0
2,2021-10-25,27-063,POR,AWAY,LAC,L (-30),1,23:26,.333,.333,9.1,36.4,22.8,7.3,0.0,0.0,50.0,20.0,43,107,-2.1,-16.1
3,2021-10-27,27-065,POR,HOME,MEM,W (+20),1,23:28,.738,.750,9.7,21.9,16.7,0.0,6.3,4.4,0.0,21.3,157,82,18.7,12.6
4,2021-10-29,27-067,POR,HOME,LAC,W (+19),1,22:46,.444,.429,23.9,43.8,33.8,22.3,4.2,4.7,16.0,33.2,100,79,13.5,3.4
5,2021-10-31,27-069,POR,AWAY,CHO,L (-12),1,25:43,.630,.556,19.0,40.0,28.7,5.5,3.9,4.0,27.9,23.5,105,117,13.5,-2.2
6,2021-11-01,27-070,POR,AWAY,PHI,L (-10),1,28:03,.518,.600,12.8,26.3,19.5,14.7,1.9,7.3,0.0,10.9,136,116,11.9,4.6
7,2021-11-03,27-072,POR,AWAY,CLE,L (-3),1,27:42,.403,.429,18.1,20.4,19.0,10.0,1.8,0.0,21.2,15.4,96,118,6.6,-8.8
8,2021-11-05,27-074,POR,HOME,IND,W (+4),1,23:04,.563,.500,10.7,33.9,22.8,19.7,4.4,0.0,10.1,20.2,123,103,11.0,1.5
9,2021-11-06,27-075,POR,HOME,LAL,W (+15),1,21:39,.915,1.000,7.4,65.2,34.0,9.8,6.4,3.8,19.6,19.4,142,60,20.3,16.5
10,2021-11-09,27-078,POR,AWAY,LAC,L (-8),1,26:49,.759,.722,3.8,55.1,27.1,33.3,1.9,0.0,16.8,20.2,138,119,17.4,10.0
11,2021-11-10,27-079,POR,AWAY,PHO,L (-10),1,19:22,.571,.571,5.6,30.2,17.5,21.8,0.0,0.0,30.0,22.1,93,123,4.0,-5.9
12,2021-11-12,27-081,POR,AWAY,HOU,W (+12),1,29:12,.811,.333,9.7,19.7,14.6,10.2,5.0,3.1,28.8,15.0,134,84,15.1,5.4
13,2021-11-14,27-083,POR,AWAY,DEN,L (-29),1,21:21,.400,.400,0.0,32.1,15.9,7.4,0.0,0.0,28.6,16.1,61,138,1.0,-16.8
14,2021-11-15,27-084,POR,HOME,TOR,W (+5),1,18:08,.563,.500,7.8,78.2,47.5,0.0,0.0,0.0,0.0,11.7,129,106,6.8,-4.6
15,2021-11-17,27-086,POR,HOME,CHI,W (+5),1,22:35,.648,.615,33.6,30.4,31.9,10.6,2.2,3.9,12.6,30.1,128,107,16.5,3.6
16,2021-11-20,27-089,POR,HOME,PHI,W (+7),1,23:01,.917,.917,6.1,57.9,32.8,21.2,4.4,3.9,14.3,14.3,162,105,14.7,11.7
17,2021-11-23,27-092,POR,HOME,DEN,W (+19),1,24:10,.436,.333,9.5,26.1,17.4,14.5,2.2,4.4,22.5,16.7,101,107,6.9,-5.4
18,2021-11-24,27-093,POR,AWAY,SAC,L (-4),1,31:54,.729,.706,10.7,47.9,29.7,29.0,1.5,0.0,9.4,27.0,144,115,26.9,10.5
19,2021-11-26,27-095,POR,AWAY,GSW,L (-15),1,23:53,.629,.600,4.6,19.6,11.8,25.2,2.1,0.0,6.9,27.5,126,119,13.6,4.9
20,2021-11-29,27-098,POR,AWAY,UTA,L (-22),1,26:53,.746,.731,19.0,23.5,21.0,6.9,0.0,0.0,0.0,27.0,162,138,22.2,10.6
21,2021-11-30,27-099,POR,HOME,DET,W (+18),1,27:01,.637,.625,14.8,17.8,16.2,27.7,1.8,4.3,16.4,19.0,130,92,14.2,5.8
22,2021-12-02,27-101,POR,HOME,SAS,L (-31),1,23:28,.512,.375,4.1,31.5,16.1,8.9,0.0,0.0,17.0,22.4,92,118,6.0,-6.9
23,2021-12-04,27-103,POR,HOME,BOS,L (-28),1,19:45,.745,.667,11.3,20.8,15.6,8.9,2.5,4.9,7.6,28.4,146,142,16.6,7.7
24,2021-12-06,27-105,POR,HOME,LAC,L (-12),1,30:03,.662,.658,0.0,17.7,9.7,10.1,0.0,2.9,11.4,39.9,115,104,18.8,6.4
25,2021-12-08,27-107,POR,AWAY,GSW,L (-10),1,27:47,.419,.385,7.9,38.4,23.3,42.6,0.0,0.0,25.9,30.8,78,101,5.7,-4.8
26,2021-12-12,27-111,POR,HOME,MIN,L (-5),1,21:15,.581,.500,10.3,26.3,18.2,7.5,2.2,4.6,36.8,21.9,84,110,4.3,-10.9
27,2021-12-14,27-113,POR,HOME,PHO,L (-4),1,38:58,.644,.636,10.3,27.8,18.2,22.3,1.3,0.0,7.0,16.3,139,106,19.5,7.1
28,2021-12-15,27-114,POR,HOME,MEM,L (-10),1,31:27,.551,.455,3.2,38.2,20.1,13.1,3.1,0.0,17.1,24.9,98,107,12.3,-2.5
29,2021-12-17,27-116,POR,HOME,CHO,W (+9),1,14:44,.625,.625,9.3,22.2,16.5,23.5,0.0,0.0,0.0,24.2,140,119,7.0,-4.1
30,2021-12-19,27-118,POR,AWAY,MEM,W (+5),1,33:37,.414,.400,8.9,24.7,18.7,4.9,0.0,0.0,39.1,24.0,60,106,-0.2,-15.8
31,2021-12-21,27-120,POR,AWAY,NOP,L (-14),1,32:33,.629,.600,0.0,23.0,9.8,22.6,3.3,3.1,18.2,25.3,111,119,13.2,-0.7
32,2022-01-03,27-133,POR,HOME,ATL,W (+5),1,26:15,.498,.444,21.8,33.7,27.4,28.2,1.9,0.0,8.7,38.3,120,131,17.3,-5.9
33,2022-01-05,27-135,POR,HOME,MIA,L (-6),1,33:12,.726,.714,6.6,37.9,21.9,5.6,3.3,3.5,9.4,15.6,141,115,15.8,1.3
34,2022-01-07,27-137,POR,HOME,CLE,L (-13),1,31:09,.373,.353,12.1,28.7,19.7,21.0,3.4,3.8,9.6,28.7,93,117,10.8,-1.9
35,2022-01-09,27-139,POR,HOME,SAC,W (+15),1,38:28,.526,.542,7.8,35.3,21.2,38.1,2.6,2.3,27.3,20.7,101,83,16.0,5.7
36,2022-01-10,27-140,POR,HOME,BRK,W (+6),1,32:52,.424,.308,7.1,18.3,13.1,12.8,1.5,0.0,10.8,24.5,97,112,8.8,-8.7
37,2022-01-13,27-143,POR,AWAY,DEN,L (-32),1,24:58,.484,.444,8.5,39.8,20.8,36.8,1.9,4.7,22.5,22.6,101,138,9.4,-3.9
38,2022-01-15,27-145,POR,AWAY,WAS,W (+5),1,30:55,.593,.600,11.4,41.7,26.5,12.4,3.0,0.0,17.1,32.3,106,99,16.5,-1.6
