,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,21-233,SAC,AWAY,POR,W (+3),1,28:36,.200,.200,0.0,7.5,3.6,16.6,1.6,0.0,16.7,8.8,70,118,1.5,-11.2
1,2021-10-22,21-235,SAC,HOME,UTA,L (-9),1,35:01,.603,.583,0.0,8.4,4.0,28.0,4.0,2.9,13.9,16.1,118,108,16.2,5.4
2,2021-10-24,21-237,SAC,HOME,GSW,L (-12),1,29:52,.444,.444,4.1,18.9,12.5,38.9,0.0,5.4,18.2,16.0,114,118,10.7,3.4
3,2021-10-27,21-240,SAC,AWAY,PHO,W (+3),1,34:59,.656,.636,0.0,6.0,2.9,12.2,2.7,1.9,8.0,15.2,122,108,13.3,2.4
4,2021-10-29,21-242,SAC,AWAY,NOP,W (+4),1,31:22,.638,.625,0.0,5.6,3.3,41.8,0.0,2.4,13.1,22.3,124,111,15.9,4.3
5,2021-10-31,21-244,SAC,AWAY,DAL,L (-6),1,33:21,.457,.393,8.3,8.8,8.6,18.7,0.0,5.4,6.1,20.1,111,111,12.0,2.8
6,2021-11-02,21-246,SAC,AWAY,UTA,L (-6),1,31:40,.415,.406,0.0,9.7,4.7,13.8,1.4,6.1,5.6,23.7,84,113,8.8,-3.8
7,2021-11-03,21-247,SAC,HOME,NOP,W (+13),1,36:36,.689,.591,0.0,12.8,6.8,26.9,5.5,5.0,0.0,19.5,152,95,25.4,12.7
8,2021-11-05,21-249,SAC,HOME,CHO,W (+30),1,30:37,.875,.875,4.6,6.3,5.6,20.3,1.5,0.0,11.1,12.1,174,109,15.2,6.4
9,2021-11-07,21-251,SAC,HOME,IND,L (-3),1,33:40,.607,.607,5.8,3.8,4.9,6.8,4.6,0.0,17.6,22.9,96,102,12.0,1.7
10,2021-11-12,21-256,SAC,AWAY,OKC,L (-2),1,35:05,.308,.308,5.8,15.2,10.8,28.3,0.0,2.0,7.1,16.6,91,109,7.5,-3.9
11,2021-11-15,21-259,SAC,AWAY,DET,W (+22),1,34:49,.773,.773,3.3,2.7,2.9,32.6,2.7,2.8,31.3,19.0,123,109,17.0,3.9
12,2021-11-17,21-261,SAC,AWAY,MIN,L (-10),1,34:13,.350,.350,6.2,11.4,8.6,14.1,3.0,0.0,28.6,16.4,72,114,2.4,-8.3
13,2021-11-19,21-263,SAC,HOME,TOR,L (-19),1,24:47,.800,.800,3.8,13.8,8.3,0.0,6.2,3.7,16.7,10.8,128,104,9.2,6.7
14,2021-11-20,21-264,SAC,HOME,UTA,L (-18),1,37:00,.612,.615,2.8,3.2,3.0,8.1,5.4,0.0,12.6,19.0,110,126,13.1,0.0
15,2021-11-22,21-266,SAC,HOME,PHI,L (-8),1,33:07,.000,.000,9.7,5.9,7.7,39.5,1.6,0.0,16.7,8.2,84,113,4.7,-4.1
16,2021-11-24,21-268,SAC,HOME,POR,W (+4),1,32:46,.304,.278,3.3,10.5,6.8,20.9,4.4,2.6,16.8,15.1,89,114,7.6,-2.0
17,2021-11-26,21-270,SAC,AWAY,LAL,W (+4),1,47:04,.633,.633,2.3,13.7,7.5,27.0,5.4,0.0,16.7,16.5,122,105,21.8,8.2
18,2021-11-28,21-272,SAC,AWAY,MEM,L (-27),1,20:04,.434,.250,3.6,0.0,2.0,15.6,0.0,0.0,14.8,13.3,93,129,3.3,-10.3
19,2021-11-30,21-274,SAC,HOME,LAL,L (-25),1,32:17,.276,.250,3.2,14.5,8.5,27.9,3.0,0.0,21.6,19.2,67,117,4.5,-8.2
20,2021-12-01,21-275,SAC,AWAY,LAC,W (+9),1,40:06,.462,.462,0.0,2.5,1.4,32.9,0.0,0.0,0.0,14.4,128,126,12.9,-3.2
21,2021-12-04,21-278,SAC,HOME,LAC,W (+5),1,37:29,.643,.643,5.2,10.5,7.8,23.7,2.5,2.3,26.3,21.7,103,96,13.2,2.4
22,2021-12-08,21-282,SAC,HOME,ORL,W (+12),1,38:11,.953,.944,3.3,5.2,4.4,30.4,3.8,4.0,17.5,12.4,176,127,25.1,13.9
23,2021-12-10,21-284,SAC,AWAY,CHO,L (-1),1,35:45,.833,.833,5.6,17.2,10.8,22.8,2.7,0.0,25.0,13.2,146,126,16.7,4.6
24,2021-12-11,21-285,SAC,AWAY,CLE,L (-14),1,26:12,.500,.500,3.6,16.7,9.6,16.3,0.0,0.0,11.1,13.8,105,116,6.2,-5.5
25,2021-12-13,21-287,SAC,AWAY,TOR,L (-23),1,21:42,.750,.750,0.0,10.5,4.5,24.7,2.2,6.6,33.3,5.5,129,117,6.4,2.4
26,2021-12-15,21-289,SAC,HOME,WAS,W (+14),1,36:11,.333,.333,3.5,23.2,13.6,30.1,4.0,6.1,20.0,18.8,86,97,11.6,0.5
27,2021-12-17,21-291,SAC,HOME,MEM,L (-19),1,37:46,.656,.656,0.0,16.2,8.0,51.7,0.0,1.7,15.8,20.6,124,121,19.5,4.7
28,2021-12-19,21-293,SAC,HOME,SAS,W (+7),1,37:10,.711,.711,3.1,9.2,6.1,46.6,2.7,0.0,13.6,25.8,140,121,24.8,8.1
29,2021-12-20,21-294,SAC,AWAY,GSW,L (-15),1,41:12,.569,.500,0.0,11.4,5.9,46.3,3.5,0.0,19.2,27.9,109,113,20.7,3.7
