,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,31,Keita Bates-Diop,SF,6-8,229,1996-01-23,US,3,Ohio State
1,18,Devontae Cacok,PF,6-7,240,1996-10-08,US,2,UNC Wilmington
2,23,Zach Collins,C,6-11,250,1997-11-19,US,3,Gonzaga
3,14,Drew Eubanks,C,6-9,245,1997-02-01,US,3,Oregon State
4,7,Bryn Forbes,SG,6-2,205,1993-07-23,US,5,Michigan State
5,41,Juancho Hernangómez,PF,6-9,214,1995-09-28,ES,5,
6,3,Keldon Johnson,SF,6-5,220,1999-10-11,US,2,Kentucky
7,28,Tyler Johnson,PG,6-3,186,1992-05-07,US,7,Fresno State
8,33,Tre Jones,PG,6-1,185,2000-01-08,US,1,Duke
9,35,Anthony Lamb,SF,6-6,227,1998-01-20,US,1,University of Vermont
10,34,Jock Landale,C,6-11,256,1995-10-25,AU,R,Saint Mary's
11,35,Romeo Langford,SG,6-4,216,1999-10-25,US,2,Indiana
12,17,Doug McDermott,PF,6-7,225,1992-01-03,US,7,Creighton
13,16,Jaylen Morris,SG,6-5,185,1995-09-19,US,2,Molloy
14,5,Dejounte Murray,PG,6-4,180,1996-09-19,US,4,Washington
15,25,Jakob Poeltl,C,7-1,245,1995-10-15,AT,5,Utah
16,11,Joshua Primo,SF,6-6,190,2002-12-24,CA,R,Alabama
17,7,Josh Richardson,SG,6-5,200,1993-09-15,US,6,Tennessee
18,45,Tomáš Satoranský,SF,6-7,210,1991-10-30,CZ,5,
19,24,Devin Vassell,SF,6-5,200,2000-08-23,US,1,Florida State
20,1,Lonnie Walker IV,SG,6-4,204,1998-12-14,US,3,Miami (FL)
21,4,Derrick White,SG,6-4,190,1994-07-02,US,4,"Colorado-Colorado Springs, Colorado"
22,15,Joe Wieskamp,SG,6-6,212,1999-08-23,US,R,Iowa
23,30,Thaddeus Young,PF,6-8,235,1988-06-21,US,14,Georgia Tech
