,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-11-18,29-051,TOR,AWAY,UTA,L (-16),1,24:25,.751,.750,7.9,6.3,7.3,7.2,4.1,0.0,9.7,17.9,139,122,12.2,3.6
1,2021-11-19,29-052,TOR,AWAY,SAC,W (+19),1,22:57,.571,.571,19.9,20.5,20.2,7.1,8.9,8.9,0.0,16.9,140,75,15.5,14.6
2,2021-11-21,29-054,TOR,AWAY,GSW,L (-15),1,21:46,.470,.429,7.7,17.9,11.7,6.8,2.3,13.0,0.0,13.9,118,116,8.3,1.8
3,2021-12-31,29-094,TOR,HOME,LAC,W (+8),1,19:26,.750,.750,4.7,25.3,13.6,7.6,0.0,0.0,0.0,8.4,166,119,6.6,0.4
4,2022-01-09,29-103,TOR,HOME,NOP,W (+4),1,20:57,.564,.500,10.7,12.1,11.3,7.3,2.6,0.0,15.8,13.7,119,114,4.3,-4.8
5,2022-01-11,29-105,TOR,HOME,PHO,L (-4),1,26:09,.615,.500,14.4,10.5,12.8,11.4,2.0,0.0,17.0,9.5,136,113,8.8,4.4
6,2022-01-14,29-108,TOR,AWAY,DET,L (-16),1,3:40,.000,.000,26.2,0.0,14.7,0.0,0.0,0.0,0.0,12.0,51,125,0.0,-14.7
7,2022-02-16,29-141,TOR,AWAY,MIN,W (+12),1,20:00,1.031,1.000,10.7,10.7,10.7,0.0,0.0,13.7,0.0,8.5,215,93,9.7,9.5
8,2022-02-25,29-150,TOR,AWAY,CHO,L (-32),1,18:13,.129,.000,10.8,13.5,12.0,14.2,0.0,4.9,20.5,11.7,61,127,0.8,-8.2
9,2022-02-26,29-151,TOR,AWAY,ATL,L (-27),1,12:49,.000,.000,7.3,10.4,8.6,9.9,0.0,0.0,25.0,13.1,29,131,-2.6,-19.3
10,2022-02-28,29-153,TOR,AWAY,BRK,W (+36),1,9:32,.000,.000,10.7,0.0,5.5,0.0,0.0,0.0,0.0,4.2,76,111,-1.2,-18.0
11,2022-03-01,29-154,TOR,HOME,BRK,W (+1),1,17:47,.698,.714,17.6,13.8,15.9,0.0,0.0,4.6,0.0,18.8,150,113,10.3,5.3
12,2022-03-03,29-156,TOR,HOME,DET,L (-2),1,20:22,.200,.200,10.5,6.2,8.5,14.0,0.0,5.0,0.0,10.8,88,123,1.5,-5.8
13,2022-03-04,29-157,TOR,HOME,ORL,L (-6),1,9:08,.266,.000,0.0,29.2,14.5,0.0,0.0,0.0,0.0,8.8,61,103,0.4,-10.5
14,2022-03-06,29-159,TOR,AWAY,CLE,L (-8),1,26:24,.388,.333,9.6,19.8,14.1,16.3,3.8,3.7,13.4,12.0,99,102,7.8,1.3
15,2022-03-09,29-162,TOR,AWAY,SAS,W (+15),1,17:01,.694,.500,0.0,27.5,13.6,0.0,0.0,0.0,25.8,10.2,108,112,2.4,-3.9
16,2022-03-11,29-164,TOR,AWAY,PHO,W (+5),1,26:28,.500,.500,7.7,17.7,12.4,4.7,0.0,0.0,20.0,7.7,106,113,3.5,-4.1
17,2022-03-16,29-169,TOR,AWAY,LAC,W (+3),1,21:02,.970,1.000,25.9,11.4,19.0,6.8,0.0,0.0,0.0,10.3,211,118,11.6,9.0
18,2022-03-18,29-171,TOR,HOME,LAL,L (-5),1,16:50,1.000,1.000,20.5,0.0,10.6,6.9,3.1,0.0,0.0,2.7,213,129,4.7,1.6
19,2022-03-20,29-173,TOR,AWAY,PHI,W (+5),1,21:43,.291,.167,20.1,5.4,13.8,0.0,0.0,4.8,0.0,13.7,102,102,4.3,-3.9
20,2022-03-21,29-174,TOR,AWAY,CHI,L (-14),1,29:54,.583,.556,15.3,9.8,12.3,20.1,0.0,2.6,0.0,13.8,146,128,12.7,3.9
21,2022-03-24,29-177,TOR,HOME,CLE,W (+13),1,13:01,.667,.667,0.0,20.5,9.7,10.7,0.0,0.0,25.0,14.0,104,122,1.8,-8.4
22,2022-03-26,29-179,TOR,HOME,IND,W (+40),1,14:54,.750,.750,0.0,15.3,8.4,7.8,0.0,0.0,0.0,13.1,156,108,4.9,-2.3
23,2022-04-03,29-187,TOR,HOME,MIA,L (-5),1,13:11,.000,.000,18.2,0.0,9.6,0.0,0.0,0.0,0.0,6.5,66,126,-1.2,-14.4
24,2022-04-05,29-189,TOR,HOME,ATL,W (+10),1,24:27,.727,.667,7.4,23.6,15.2,0.0,0.0,6.9,36.8,8.8,101,109,5.5,-3.0
25,2022-04-07,29-191,TOR,HOME,PHI,W (+5),1,12:32,.333,.333,26.7,10.9,19.6,0.0,0.0,0.0,25.0,14.1,94,127,1.3,-12.1
26,2022-04-08,29-192,TOR,HOME,HOU,W (+2),1,27:25,.571,.571,11.2,5.0,8.5,9.5,3.5,3.4,12.5,12.2,123,114,9.4,-0.1
27,2022-04-10,29-194,TOR,AWAY,NYK,L (-11),1,19:06,.667,.667,10.7,17.1,13.8,16.2,2.6,0.0,0.0,6.9,160,108,7.4,3.7
