,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,24-095,TOR,HOME,WAS,L (-15),1,33:59,.293,.235,9.0,20.2,13.5,5.5,2.7,2.6,13.8,24.5,66,91,4.5,-2.3
1,2021-10-22,24-097,TOR,AWAY,BOS,W (+32),1,33:54,.356,.235,8.0,2.9,5.6,11.7,0.0,0.0,4.8,24.3,100,97,6.4,-7.4
2,2021-10-23,24-098,TOR,HOME,DAL,L (-8),1,31:53,.767,.767,0.0,11.8,6.1,0.0,3.2,6.1,11.8,23.9,125,106,16.7,12.1
3,2021-10-25,24-100,TOR,HOME,CHI,L (-3),1,38:26,.615,.588,10.1,16.0,13.1,20.8,2.6,0.0,10.1,22.4,131,114,18.8,6.4
4,2021-10-27,24-102,TOR,HOME,IND,W (+18),1,34:18,.549,.524,3.0,8.2,5.2,12.6,7.2,2.8,4.2,28.1,124,97,20.8,9.7
5,2021-10-29,24-104,TOR,HOME,ORL,W (+1),1,40:33,.421,.421,0.0,13.8,6.9,10.2,0.0,0.0,9.5,24.2,85,121,5.1,-11.7
6,2021-10-30,24-105,TOR,AWAY,IND,W (+3),1,37:36,.577,.577,5.8,8.7,7.3,20.4,1.3,3.4,7.1,15.9,128,99,14.4,7.3
7,2021-11-01,24-107,TOR,AWAY,NYK,W (+9),1,41:01,.598,.556,7.5,8.4,7.9,8.4,1.2,0.0,3.2,32.1,128,115,25.1,5.0
8,2021-11-03,24-109,TOR,AWAY,WAS,W (+9),1,39:59,.525,.525,2.7,11.4,7.0,4.0,3.9,2.6,9.1,24.7,101,104,13.3,0.5
9,2021-11-05,24-111,TOR,HOME,CLE,L (-1),1,36:48,.548,.548,5.6,14.1,9.3,22.5,1.4,2.5,0.0,24.5,139,115,18.5,6.9
10,2021-11-07,24-113,TOR,HOME,BRK,L (-13),1,38:13,.474,.469,2.9,22.5,12.1,11.7,0.0,0.0,10.6,23.0,92,131,9.3,-7.7
11,2021-11-10,24-116,TOR,AWAY,BOS,L (-16),1,36:01,.457,.429,3.5,11.3,7.8,21.3,1.4,2.1,16.4,23.6,86,108,9.6,-1.6
12,2021-11-11,24-117,TOR,AWAY,PHI,W (+6),1,38:54,.597,.533,2.7,9.3,5.7,14.8,1.3,0.0,5.6,19.1,134,121,15.5,-0.2
13,2021-11-13,24-119,TOR,HOME,DET,L (-6),1,37:33,.571,.571,0.0,7.7,3.5,0.0,1.4,2.9,21.2,21.2,93,136,6.3,-10.0
14,2021-11-15,24-121,TOR,AWAY,POR,L (-5),1,40:44,.670,.632,5.4,13.9,9.1,7.8,3.8,0.0,0.0,23.6,148,124,25.5,10.8
15,2021-12-18,24-154,TOR,HOME,GSW,W (+19),1,27:59,.394,.375,0.0,12.9,5.8,8.6,1.8,0.0,10.1,15.4,84,107,2.9,-10.5
16,2021-12-31,24-167,TOR,HOME,LAC,W (+8),1,35:55,.666,.594,7.7,10.3,8.8,0.0,5.6,0.0,4.9,23.3,142,107,22.4,9.2
17,2022-01-02,24-169,TOR,HOME,NYK,W (+15),1,30:17,.530,.409,0.0,11.9,6.4,4.6,4.8,0.0,0.0,18.2,127,103,10.9,1.2
18,2022-01-04,24-171,TOR,HOME,SAS,W (+25),1,30:43,.470,.429,3.2,17.7,10.7,12.6,3.0,0.0,6.3,20.5,110,99,11.4,-2.3
19,2022-01-05,24-172,TOR,AWAY,MIL,W (+6),1,35:05,.814,.800,0.0,19.1,9.2,8.1,0.0,0.0,18.2,19.8,131,113,15.2,1.8
20,2022-01-07,24-174,TOR,HOME,UTA,W (+14),1,33:46,.793,.769,2.7,11.8,6.5,8.5,4.4,0.0,6.7,17.9,156,108,21.1,10.5
21,2022-01-09,24-176,TOR,HOME,NOP,W (+4),1,34:37,.500,.500,6.4,10.9,8.6,9.5,0.0,0.0,14.3,18.3,105,120,5.3,-7.3
22,2022-01-11,24-178,TOR,HOME,PHO,L (-4),1,39:29,.552,.550,2.4,3.5,2.8,4.9,1.4,0.0,8.1,26.3,119,117,12.9,3.3
23,2022-01-14,24-181,TOR,AWAY,DET,L (-16),1,36:51,.508,.464,2.6,6.7,4.4,12.1,0.0,0.0,24.1,24.7,84,123,5.1,-6.6
24,2022-01-15,24-182,TOR,AWAY,MIL,W (+7),1,39:08,.476,.457,5.1,17.1,10.8,16.9,0.0,3.2,3.8,28.2,111,107,14.0,0.5
25,2022-01-17,24-184,TOR,AWAY,MIA,L (-5),1,33:48,.457,.464,0.0,6.6,3.0,9.5,1.6,2.4,16.4,24.0,82,119,4.1,-6.9
26,2022-01-19,24-186,TOR,AWAY,DAL,L (-4),1,43:14,.563,.531,8.7,11.7,10.0,8.5,3.6,0.0,5.6,17.4,124,110,17.6,6.7
27,2022-01-21,24-188,TOR,AWAY,WAS,W (+4),1,41:28,.446,.462,5.1,20.3,12.3,3.3,5.0,2.2,18.2,18.0,82,105,9.6,-4.4
28,2022-01-23,24-190,TOR,HOME,POR,L (-9),1,41:34,.337,.300,6.7,15.2,10.3,16.8,3.4,4.4,5.8,16.8,93,111,9.8,-5.4
29,2022-01-25,24-192,TOR,HOME,CHO,W (+12),1,35:43,.721,.679,7.7,15.3,11.9,8.3,2.7,2.6,10.7,23.0,135,112,21.2,5.3
30,2022-01-26,24-193,TOR,AWAY,CHI,L (-6),1,33:58,.745,.767,6.6,11.8,8.9,23.7,1.5,4.9,0.0,21.1,153,118,22.4,12.9
31,2022-01-29,24-196,TOR,AWAY,MIA,W (+4),1,55:49,.457,.476,8.4,18.8,13.9,18.4,2.9,1.9,12.1,21.4,99,100,18.0,2.0
32,2022-01-31,24-198,TOR,AWAY,ATL,W (+6),1,35:46,.577,.577,0.0,16.0,7.5,9.0,1.4,2.7,0.0,16.7,116,104,12.1,1.7
33,2022-02-01,24-199,TOR,HOME,MIA,W (+4),1,35:32,.623,.600,3.1,7.1,5.0,13.1,1.5,0.0,22.3,16.7,109,119,8.2,-2.6
34,2022-02-03,24-201,TOR,HOME,CHI,W (+7),1,42:08,.700,.700,0.0,2.7,1.2,19.9,1.2,2.1,16.7,17.0,124,117,16.1,4.8
