,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,22-031,TOR,HOME,WAS,L (-15),1,18:30,.338,.375,12.4,24.7,17.3,23.4,2.5,0.0,10.1,20.4,80,93,3.9,-1.4
1,2021-10-22,22-033,TOR,AWAY,BOS,W (+32),1,24:50,.540,.500,10.9,47.3,28.4,0.0,2.0,0.0,0.0,22.3,132,78,15.0,6.8
2,2021-10-23,22-034,TOR,HOME,DAL,L (-8),1,33:21,.484,.444,9.0,25.4,17.4,15.3,0.0,0.0,8.8,15.2,111,111,9.6,-0.8
3,2021-10-25,22-036,TOR,HOME,CHI,L (-3),1,28:39,.400,.375,9.1,38.7,24.2,10.1,0.0,0.0,12.7,23.8,90,118,6.1,-7.7
4,2021-10-27,22-038,TOR,HOME,IND,W (+18),1,27:30,.465,.444,7.4,20.5,12.9,0.0,1.8,3.5,0.0,15.9,112,106,8.0,-5.6
5,2021-10-29,22-040,TOR,HOME,ORL,W (+1),1,21:26,.424,.444,5.2,26.0,15.6,6.6,0.0,0.0,17.5,25.0,79,117,3.0,-12.6
6,2021-10-30,22-041,TOR,AWAY,IND,W (+3),1,16:42,.222,.222,0.0,19.6,9.8,8.6,0.0,7.6,18.2,28.2,46,97,-2.4,-17.7
7,2021-11-01,22-043,TOR,AWAY,NYK,W (+9),1,16:48,.111,.111,12.2,47.6,28.9,7.1,3.0,0.0,18.2,27.8,40,103,-1.1,-21.1
8,2021-11-03,22-045,TOR,AWAY,WAS,W (+9),1,26:07,.304,.222,12.5,30.6,21.4,19.7,0.0,4.0,16.8,20.4,85,106,5.0,-5.6
9,2021-11-05,22-047,TOR,HOME,CLE,L (-1),1,18:13,.644,.667,11.2,42.7,25.1,0.0,0.0,0.0,20.5,11.5,114,111,4.3,-7.9
10,2021-11-11,22-053,TOR,AWAY,PHI,W (+6),1,29:43,.184,.100,10.5,24.2,16.9,8.0,3.4,9.0,8.4,16.8,69,106,5.4,-7.1
11,2021-11-24,22-066,TOR,AWAY,MEM,W (+13),1,27:36,.773,.773,8.7,10.2,9.4,10.0,1.9,0.0,0.0,17.7,166,122,14.5,7.5
12,2021-11-26,22-068,TOR,AWAY,IND,L (-17),1,33:27,.571,.571,5.9,15.9,10.7,9.2,0.0,0.0,11.3,11.7,117,126,7.8,-3.3
13,2021-11-28,22-070,TOR,HOME,BOS,L (-12),1,36:28,.273,.273,7.2,18.8,12.2,4.2,0.0,0.0,15.4,15.6,65,117,0.9,-12.3
14,2021-11-30,22-072,TOR,HOME,MEM,L (-7),1,29:06,.256,.125,7.0,9.7,8.4,0.0,0.0,0.0,9.3,15.5,62,107,-1.7,-13.3
15,2021-12-02,22-074,TOR,HOME,MIL,W (+4),1,34:30,.338,.375,15.1,8.7,11.8,8.5,1.6,5.2,10.1,12.8,95,108,6.8,-4.3
16,2021-12-05,22-077,TOR,HOME,WAS,W (+12),1,30:31,.500,.500,13.4,36.6,24.5,10.4,1.7,0.0,16.7,18.2,102,94,10.4,1.5
17,2022-01-15,22-118,TOR,AWAY,MIL,W (+7),1,39:25,.538,.538,10.1,17.0,13.4,7.7,1.3,9.6,13.3,16.1,110,101,12.8,0.6
18,2022-01-17,22-120,TOR,AWAY,MIA,L (-5),1,36:56,.375,.375,15.3,27.2,20.7,3.9,1.4,2.2,0.0,9.6,116,112,10.1,-2.5
19,2022-01-19,22-122,TOR,AWAY,DAL,L (-4),1,33:08,.530,.500,5.7,11.4,8.1,0.0,0.0,0.0,15.0,16.9,99,119,6.1,-4.8
20,2022-01-25,22-128,TOR,HOME,CHO,W (+12),1,24:41,.549,.583,11.1,22.1,17.2,15.7,0.0,0.0,19.6,18.2,110,118,7.4,-3.1
21,2022-01-26,22-129,TOR,AWAY,CHI,L (-6),1,22:45,.307,.250,9.8,23.4,16.0,0.0,2.3,0.0,17.0,12.0,74,118,2.4,-10.2
22,2022-02-10,22-144,TOR,AWAY,HOU,W (+19),1,13:32,.773,.667,8.4,29.6,18.2,15.5,0.0,8.1,34.0,17.7,121,118,5.6,0.7
23,2022-03-12,22-174,TOR,AWAY,DEN,W (+12),1,20:30,.718,.700,4.4,19.5,10.5,0.0,0.0,0.0,16.1,24.3,125,126,8.4,-1.7
24,2022-03-14,22-176,TOR,AWAY,LAL,W (+11),1,33:09,.385,.385,8.2,21.5,14.9,9.1,2.9,6.4,7.1,16.4,95,96,10.4,-0.9
25,2022-03-20,22-182,TOR,AWAY,PHI,W (+5),1,33:49,.661,.667,12.9,13.8,13.3,6.4,0.0,0.0,0.0,20.3,149,104,17.5,9.5
26,2022-03-21,22-183,TOR,AWAY,CHI,L (-14),1,27:36,.333,.333,4.1,28.4,17.2,5.0,0.0,0.0,10.0,15.9,76,124,3.3,-10.0
27,2022-04-07,22-200,TOR,HOME,PHI,W (+5),1,40:01,.842,.864,2.8,10.3,6.2,6.6,1.3,3.1,29.6,18.6,114,122,14.0,3.0
