,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-10-20,28-244,WAS,AWAY,TOR,W (+15),1,27:08,.357,.357,0.0,5.6,3.4,5.4,1.7,0.0,12.5,12.5,67,89,2.2,-4.7
1,2021-10-22,28-246,WAS,HOME,IND,W (+1),1,34:58,.788,.750,0.0,7.8,3.8,6.6,0.0,0.0,18.4,7.4,134,131,4.0,-6.7
2,2021-10-25,28-249,WAS,AWAY,BRK,L (-14),1,24:40,.500,.500,0.0,11.7,5.5,0.0,1.9,0.0,0.0,18.5,99,102,6.8,0.3
3,2021-10-27,28-251,WAS,AWAY,BOS,W (+9),1,31:06,.917,.917,0.0,6.7,3.7,8.4,0.0,0.0,0.0,8.3,191,117,9.6,4.2
4,2021-10-28,28-252,WAS,HOME,ATL,W (+11),1,29:57,.928,.950,6.3,22.4,13.6,9.2,0.0,2.4,15.0,18.7,153,112,18.9,10.8
5,2021-10-30,28-254,WAS,HOME,BOS,W (+3),1,41:24,.200,.200,0.0,4.8,2.4,15.3,2.4,1.7,37.5,8.4,46,95,1.2,-4.8
6,2021-11-01,28-256,WAS,AWAY,ATL,L (-7),1,30:08,.527,.500,3.9,11.4,7.7,9.2,1.7,0.0,0.0,15.8,116,129,8.8,-1.9
7,2021-11-03,28-258,WAS,HOME,TOR,L (-9),1,33:46,.308,.308,3.4,25.8,14.9,0.0,3.1,2.3,7.1,19.1,65,110,4.1,-9.4
8,2021-11-05,28-260,WAS,HOME,MEM,W (+28),1,26:01,.600,.600,5.8,18.4,14.0,13.3,3.7,0.0,0.0,17.1,128,82,12.8,10.1
9,2021-11-07,28-262,WAS,HOME,MIL,W (+7),1,25:46,.388,.417,0.0,6.9,4.1,0.0,7.6,0.0,23.7,14.9,55,89,3.4,-2.0
10,2021-11-10,28-265,WAS,AWAY,CLE,W (+3),1,28:29,.268,.125,0.0,3.9,1.9,5.1,3.7,3.7,0.0,15.2,70,100,3.1,-5.9
11,2021-11-13,28-268,WAS,AWAY,ORL,W (+12),1,31:37,.360,.308,4.1,8.3,6.6,4.1,1.6,2.9,12.6,23.3,72,100,3.7,-10.2
12,2021-11-15,28-270,WAS,HOME,NOP,W (+5),1,34:55,.692,.692,3.1,9.6,6.3,9.4,3.0,0.0,0.0,17.9,136,109,16.3,6.5
13,2021-11-17,28-272,WAS,AWAY,CHO,L (-10),1,27:41,.233,.167,3.2,16.4,9.7,11.1,1.9,0.0,13.4,12.1,61,104,2.8,-7.8
14,2021-11-18,28-273,WAS,AWAY,MIA,L (-15),1,29:32,.571,.571,0.0,4.2,2.1,9.8,1.8,0.0,30.0,16.5,81,124,2.4,-7.6
15,2021-11-20,28-275,WAS,HOME,MIA,W (+3),1,27:27,.766,.750,0.0,14.6,7.3,6.4,1.9,0.0,16.1,21.1,122,111,11.6,8.9
16,2021-11-22,28-277,WAS,HOME,CHO,L (-6),1,28:16,.629,.500,6.8,3.3,5.0,5.8,6.7,0.0,0.0,18.5,153,99,16.8,12.2
17,2021-11-24,28-279,WAS,AWAY,NOP,L (-25),1,23:01,.666,.600,0.0,14.2,6.4,0.0,2.0,0.0,22.8,15.4,100,121,5.4,-2.8
18,2021-11-26,28-281,WAS,AWAY,OKC,W (+2),1,27:24,.769,.769,0.0,14.6,8.3,14.6,0.0,5.7,7.1,24.4,139,105,16.3,11.9
19,2021-11-27,28-282,WAS,AWAY,DAL,W (+6),1,30:56,.687,.556,4.7,17.2,11.9,4.2,1.6,3.0,14.7,20.5,125,117,13.9,0.4
20,2021-11-29,28-284,WAS,AWAY,SAS,L (-17),1,24:37,.773,.773,0.0,4.5,2.1,21.4,2.1,0.0,8.3,22.6,138,128,13.3,7.6
21,2021-12-01,28-286,WAS,HOME,MIN,W (+8),1,27:12,.521,.500,12.9,3.5,7.8,9.8,3.7,0.0,6.9,22.5,117,111,10.1,0.2
22,2021-12-03,28-288,WAS,HOME,CLE,L (-15),1,19:58,.250,.250,0.0,16.0,8.3,14.5,2.5,0.0,11.1,22.0,55,118,0.7,-12.8
23,2021-12-05,28-290,WAS,AWAY,TOR,L (-12),1,27:55,1.117,1.111,0.0,7.3,3.8,21.2,1.9,0.0,14.7,24.5,175,114,22.3,19.8
24,2021-12-06,28-291,WAS,AWAY,IND,L (-6),1,30:54,.364,.364,4.3,9.1,6.7,16.2,1.7,0.0,21.4,21.3,77,132,2.8,-11.1
25,2021-12-08,28-293,WAS,AWAY,DET,W (+3),1,34:45,.500,.500,0.0,11.7,5.6,8.9,1.5,0.0,7.1,18.2,103,118,8.2,-3.6
26,2021-12-11,28-296,WAS,HOME,UTA,L (-25),1,24:57,.000,.000,0.0,13.7,6.6,4.7,2.0,0.0,28.6,12.6,9,127,-3.7,-16.7
27,2021-12-13,28-298,WAS,AWAY,DEN,L (-6),1,30:12,.406,.406,3.1,8.2,5.3,9.6,1.6,3.4,0.0,23.3,87,111,7.0,-3.1
28,2021-12-15,28-300,WAS,AWAY,SAC,L (-14),1,28:42,.500,.500,4.2,26.4,15.0,5.0,1.7,6.0,0.0,15.5,108,115,9.4,-0.7
29,2021-12-16,28-301,WAS,AWAY,PHO,L (-20),1,28:01,.436,.389,0.0,4.9,2.2,0.0,1.7,0.0,8.8,18.2,79,123,2.6,-10.1
30,2021-12-18,28-303,WAS,AWAY,UTA,W (+6),1,34:56,.464,.464,0.0,9.4,4.4,11.7,1.4,0.0,6.7,18.4,94,108,7.8,-2.1
31,2021-12-30,28-315,WAS,HOME,CLE,W (+17),1,27:57,.750,.750,0.0,11.4,5.7,18.0,3.6,3.1,20.0,16.4,121,95,11.6,8.1
32,2022-01-01,28-317,WAS,HOME,CHI,L (-1),1,38:44,.464,.464,2.8,20.2,11.4,6.2,0.0,2.5,22.2,20.4,76,120,6.1,-8.4
33,2022-01-03,28-319,WAS,HOME,CHO,W (+3),1,30:44,.210,.182,0.0,8.7,4.9,0.0,0.0,0.0,20.2,20.1,36,123,-4.8,-22.8
34,2022-01-05,28-321,WAS,HOME,HOU,L (-3),1,39:55,.791,.781,0.0,17.2,8.1,8.6,3.4,4.1,5.7,17.9,148,102,24.2,11.8
35,2022-01-07,28-323,WAS,AWAY,CHI,L (-8),1,26:11,.709,.667,0.0,4.5,2.2,15.3,0.0,0.0,9.2,17.4,135,134,10.3,-1.0
36,2022-01-09,28-325,WAS,AWAY,ORL,W (+2),1,29:59,.709,.667,0.0,9.4,5.0,0.0,0.0,0.0,9.2,15.8,126,108,9.2,-0.4
37,2022-01-11,28-327,WAS,HOME,OKC,W (+4),1,29:51,.559,.500,4.1,7.3,5.8,12.4,0.0,5.5,12.3,25.0,108,123,11.7,-2.0
38,2022-01-12,28-328,WAS,HOME,ORL,W (+6),1,30:45,.505,.500,8.4,23.1,17.2,17.0,1.7,0.0,7.8,19.9,111,108,11.3,-1.4
39,2022-01-15,28-331,WAS,HOME,POR,L (-5),1,29:08,.337,.273,0.0,8.0,4.0,9.7,0.0,0.0,20.2,20.4,65,116,-0.3,-13.4
40,2022-01-17,28-333,WAS,HOME,PHI,W (+19),1,28:49,.467,.467,0.0,10.0,5.5,5.2,3.4,0.0,0.0,22.1,98,98,9.1,-0.7
41,2022-01-19,28-335,WAS,HOME,BRK,L (-1),1,31:15,.507,.438,0.0,13.6,6.1,4.2,1.6,0.0,25.3,16.3,82,123,2.6,-11.1
42,2022-01-21,28-337,WAS,HOME,TOR,L (-4),1,28:10,.625,.625,0.0,11.4,6.0,23.5,1.8,0.0,20.0,16.0,114,117,9.4,3.6
43,2022-01-23,28-339,WAS,HOME,BOS,L (-29),1,22:22,.325,.273,0.0,4.7,2.1,8.1,0.0,4.2,0.0,24.9,71,126,2.0,-10.9
44,2022-01-25,28-341,WAS,HOME,LAC,L (-1),1,29:17,.652,.500,3.6,6.1,4.9,5.1,0.0,0.0,0.0,13.0,145,118,9.5,-1.2
45,2022-01-29,28-345,WAS,AWAY,MEM,L (-20),1,27:07,.625,.625,0.0,6.9,3.6,0.0,0.0,0.0,0.0,20.2,111,131,8.8,-1.2
46,2022-02-01,28-348,WAS,AWAY,MIL,L (-14),1,29:46,.487,.409,0.0,3.9,1.9,10.9,1.7,3.0,0.0,19.3,107,118,9.3,0.3
47,2022-02-02,28-349,WAS,AWAY,PHI,W (+3),1,28:55,.200,.200,3.6,10.6,7.1,4.4,0.0,0.0,0.0,15.6,62,120,0.1,-14.1
48,2022-02-05,28-352,WAS,HOME,PHO,L (-15),1,24:03,.424,.389,0.0,3.7,1.9,0.0,4.3,0.0,9.6,20.4,76,105,4.2,-1.9
49,2022-02-07,28-354,WAS,HOME,MIA,L (-21),1,22:05,.379,.318,0.0,7.0,3.1,14.7,0.0,0.0,0.0,24.3,87,131,3.4,-10.4
50,2022-02-10,28-357,WAS,HOME,BRK,W (+1),1,32:20,.553,.450,3.7,13.8,8.9,8.0,3.2,0.0,7.8,18.2,117,120,11.1,-3.8
51,2022-02-12,28-359,WAS,HOME,SAC,L (-13),1,29:03,.611,.611,3.6,17.7,8.9,0.0,1.8,0.0,0.0,14.0,124,133,8.5,-6.1
52,2022-02-14,28-361,WAS,HOME,DET,W (+9),1,35:15,.533,.533,0.0,5.7,3.1,12.8,0.0,2.2,11.8,21.5,102,109,9.3,-0.3
53,2022-02-16,28-363,WAS,AWAY,IND,L (-5),1,34:11,.683,.639,3.1,7.2,5.0,5.3,4.4,0.0,4.8,26.5,134,113,20.8,8.2
54,2022-02-17,28-364,WAS,AWAY,BRK,W (+14),1,25:26,.500,.500,5.4,16.8,11.8,9.4,2.0,0.0,12.5,14.4,106,110,6.6,-3.6
55,2022-02-25,29-007,WAS,HOME,SAS,L (-4),1,42:30,.721,.643,3.0,0.0,1.5,11.0,2.3,0.0,5.7,18.0,148,133,20.3,1.8
56,2022-02-26,29-008,WAS,AWAY,CLE,L (-6),1,33:53,.533,.400,0.0,0.0,0.0,14.5,1.5,2.4,14.1,19.8,102,107,8.6,-0.9
57,2022-03-01,29-011,WAS,HOME,DET,W (+3),1,31:32,.582,.542,3.7,6.9,5.4,13.7,0.0,0.0,13.4,20.9,114,126,9.2,-5.2
58,2022-03-04,29-014,WAS,HOME,ATL,L (-3),1,30:25,1.051,1.083,4.8,13.4,9.9,26.1,0.0,0.0,7.0,21.9,181,129,26.4,18.4
59,2022-03-06,29-016,WAS,HOME,IND,W (+10),1,33:27,.591,.500,0.0,7.6,3.7,19.0,1.5,0.0,0.0,22.0,130,127,16.2,-0.3
60,2022-03-09,29-019,WAS,AWAY,LAC,L (-6),1,34:38,.633,.500,3.2,17.8,10.1,11.7,2.9,0.0,0.0,16.3,143,119,16.9,4.5
