,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-02-10,29-267,WAS,HOME,BRK,W (+1),1,30:35,.902,.833,0.0,3.6,1.9,29.4,0.0,0.0,20.5,22.1,149,130,18.2,2.6
1,2022-02-12,29-269,WAS,HOME,SAC,L (-13),1,28:24,.465,.389,3.7,6.0,4.6,18.8,0.0,0.0,0.0,17.1,118,138,7.1,-9.5
2,2022-02-14,29-271,WAS,HOME,DET,W (+9),1,27:41,.463,.455,0.0,14.4,7.8,16.6,7.4,0.0,20.2,23.9,83,89,7.6,-2.0
3,2022-02-16,29-273,WAS,AWAY,IND,L (-5),1,33:00,.850,.800,0.0,7.5,3.5,33.6,3.0,0.0,0.0,7.8,197,116,15.5,6.9
4,2022-02-17,29-274,WAS,AWAY,BRK,W (+14),1,20:40,.761,.786,6.6,5.2,5.8,20.3,4.9,0.0,0.0,17.4,165,108,13.4,10.4
5,2022-02-25,29-282,WAS,HOME,SAS,L (-4),1,36:05,.733,.733,7.1,7.3,7.2,32.5,1.3,0.0,6.3,19.3,155,134,21.8,5.7
6,2022-02-26,29-283,WAS,AWAY,CLE,L (-6),1,25:13,.200,.200,0.0,4.0,2.1,36.6,4.1,0.0,9.1,20.6,66,101,2.5,-6.0
7,2022-03-01,29-286,WAS,HOME,DET,W (+3),1,23:56,.707,.643,4.9,13.7,9.4,18.2,2.1,0.0,0.0,17.0,161,119,13.2,3.8
8,2022-03-04,29-289,WAS,HOME,ATL,L (-3),1,27:05,.389,.389,0.0,18.9,11.1,30.5,0.0,0.0,0.0,15.5,116,127,6.7,-7.6
9,2022-03-06,29-291,WAS,HOME,IND,W (+10),1,10:53,.563,.625,0.0,11.6,5.7,24.4,4.5,0.0,0.0,18.6,122,120,4.9,1.4
10,2022-03-09,29-294,WAS,AWAY,LAC,L (-6),1,23:10,.694,.583,0.0,5.3,2.5,23.8,0.0,0.0,18.8,20.5,125,128,9.3,-2.2
11,2022-03-11,29-296,WAS,AWAY,LAL,L (-13),1,23:22,.436,.333,0.0,5.1,2.4,23.5,2.2,0.0,0.0,12.9,122,130,6.7,-3.3
12,2022-03-12,29-297,WAS,AWAY,POR,L (-9),1,17:10,.400,.400,0.0,14.7,7.2,41.8,2.9,4.4,0.0,12.8,124,126,6.7,0.4
13,2022-03-14,29-299,WAS,AWAY,GSW,L (-14),1,22:28,.667,.667,5.0,11.9,8.1,44.7,8.7,0.0,25.0,16.4,126,112,12.8,10.7
14,2022-03-16,29-301,WAS,HOME,DEN,L (-18),1,18:34,.667,.667,0.0,18.0,8.7,43.3,0.0,0.0,25.0,9.3,131,136,6.0,-4.0
15,2022-03-18,29-303,WAS,AWAY,NYK,L (-3),1,24:12,.550,.550,0.0,11.0,6.1,32.9,0.0,3.5,9.1,21.6,108,107,8.6,2.6
16,2022-03-19,29-304,WAS,HOME,LAL,W (+8),1,18:29,1.250,1.250,0.0,13.7,6.7,13.4,0.0,0.0,50.0,9.8,109,129,4.0,-6.1
17,2022-03-21,29-306,WAS,AWAY,HOU,L (-18),1,25:31,.307,.125,0.0,17.5,8.3,56.8,4.0,0.0,9.3,19.0,94,117,9.2,-0.9
18,2022-03-24,29-309,WAS,AWAY,MIL,L (-12),1,20:18,.643,.643,0.0,7.2,2.9,42.3,0.0,0.0,22.2,19.9,118,125,8.2,0.5
