,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,26-030,ATL,HOME,HOU,W (+10),1,38:14,.492,.447,0.0,12.8,6.8,39.5,6.1,2.0,0.0,23.3,115,97,24.8,10.1
1,2022-10-21,26-032,ATL,HOME,ORL,W (+10),1,39:37,.592,.563,2.8,20.6,12.1,36.0,4.8,0.0,29.3,25.6,97,90,17.6,4.8
2,2022-10-23,26-034,ATL,HOME,CHO,L (-17),1,38:48,.582,.533,2.3,20.1,10.2,20.4,1.2,1.9,19.7,21.1,104,125,14.5,-2.6
3,2022-10-26,26-037,ATL,AWAY,DET,W (+5),1,39:19,.354,.333,6.1,15.9,11.4,25.1,2.4,4.1,9.2,23.3,92,109,12.0,-2.0
4,2022-10-28,26-039,ATL,AWAY,DET,W (+24),1,32:23,.619,.619,0.0,12.1,6.8,19.9,0.0,0.0,0.0,28.1,135,120,20.8,2.4
5,2022-10-29,26-040,ATL,AWAY,MIL,L (-8),1,34:16,.553,.553,0.0,15.9,7.7,25.9,2.8,0.0,5.0,24.9,122,121,16.8,5.3
6,2022-10-31,26-042,ATL,AWAY,TOR,L (-30),1,30:31,.597,.533,0.0,15.0,7.8,50.6,0.0,0.0,19.3,28.9,110,139,14.6,0.3
7,2022-11-02,26-044,ATL,AWAY,NYK,W (+13),1,38:06,.636,.611,0.0,11.0,4.9,43.0,6.3,2.3,9.6,32.6,125,92,32.5,21.1
8,2022-11-05,26-047,ATL,HOME,NOP,W (+3),1,41:47,.444,.413,4.9,17.8,11.6,39.2,3.4,0.0,7.5,26.7,105,104,20.4,3.1
9,2022-11-07,26-049,ATL,HOME,MIL,W (+19),1,32:03,.521,.521,6.4,21.4,13.5,55.8,4.3,0.0,11.1,34.1,115,90,23.1,13.3
10,2022-11-09,26-051,ATL,HOME,UTA,L (-6),1,37:49,.597,.575,2.5,12.7,7.5,17.1,0.0,2.3,12.1,25.2,118,124,17.8,0.4
11,2022-11-10,26-052,ATL,HOME,PHI,W (+9),1,34:42,.385,.385,0.0,8.0,4.2,34.5,2.7,0.0,13.3,17.9,90,93,9.0,1.4
12,2022-11-12,26-054,ATL,AWAY,PHI,L (-12),1,38:19,.464,.413,9.2,19.0,13.5,30.5,2.5,0.0,0.0,26.1,119,116,20.6,7.1
13,2022-11-14,26-056,ATL,AWAY,MIL,W (+15),1,36:01,.556,.464,0.0,24.8,11.7,18.5,0.0,0.0,5.5,21.1,122,106,15.3,1.3
14,2022-11-16,26-058,ATL,HOME,BOS,L (-25),1,33:43,.559,.559,0.0,11.5,4.5,24.4,1.4,0.0,15.0,24.6,102,128,11.9,-1.9
15,2022-11-19,26-061,ATL,HOME,TOR,W (+2),1,40:21,.450,.417,0.0,16.4,9.1,14.3,2.4,0.0,9.6,22.8,94,109,12.1,-3.2
16,2022-11-21,26-063,ATL,AWAY,CLE,L (-12),1,37:19,.308,.265,2.9,13.8,7.1,23.5,1.3,0.0,18.3,25.5,70,122,3.1,-11.1
17,2022-11-23,26-065,ATL,HOME,SAC,W (+9),1,34:59,.422,.344,2.9,17.5,10.1,16.1,4.0,0.0,10.1,23.6,92,98,11.3,-1.7
18,2022-11-25,26-067,ATL,AWAY,HOU,L (-6),1,35:39,.770,.750,0.0,9.2,4.6,20.0,2.7,0.0,10.6,34.4,137,126,29.0,12.1
19,2022-11-27,26-069,ATL,HOME,MIA,L (-8),1,38:49,.385,.375,0.0,15.5,7.0,8.6,1.3,0.0,10.6,22.2,72,113,5.3,-8.8
20,2022-11-28,26-070,ATL,AWAY,PHI,L (-3),1,40:29,.612,.577,3.4,10.8,7.5,23.8,1.3,2.0,33.5,24.1,92,113,9.9,-3.8
21,2022-11-30,26-072,ATL,AWAY,ORL,W (+17),1,38:59,.555,.543,0.0,9.0,4.5,19.7,2.5,2.4,17.1,31.6,105,107,17.3,0.3
22,2022-12-02,26-074,ATL,HOME,DEN,W (+8),1,35:28,.690,.682,3.8,6.8,5.3,34.5,0.0,2.6,3.9,32.7,151,120,29.2,13.7
23,2022-12-05,26-077,ATL,HOME,OKC,L (-7),1,38:25,.538,.548,7.2,7.3,7.3,11.9,2.4,4.1,11.8,24.8,107,113,16.4,4.1
24,2022-12-07,26-079,ATL,AWAY,NYK,L (-24),1,3:34,1.136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,250,132,2.0,5.9
25,2022-12-19,26-091,ATL,HOME,ORL,W (+1),1,37:34,.450,.417,3.1,11.4,7.4,9.8,2.5,0.0,13.7,24.8,86,121,8.6,-9.8
26,2022-12-21,26-093,ATL,HOME,CHI,L (-2),1,39:59,.430,.412,0.0,13.0,6.4,39.2,0.0,0.0,22.3,23.8,87,116,8.6,-7.1
27,2022-12-23,26-095,ATL,HOME,DET,W (+25),1,36:35,.658,.639,0.0,8.0,4.3,18.3,5.1,0.0,4.8,24.6,131,99,23.6,7.2
28,2022-12-27,26-099,ATL,AWAY,IND,L (-15),1,34:44,.478,.375,0.0,6.9,3.0,12.0,1.4,0.0,6.4,19.5,100,127,9.1,-6.3
29,2022-12-28,26-100,ATL,HOME,BRK,L (-1),1,39:50,.432,.404,2.3,23.5,11.5,32.2,1.2,0.0,0.0,30.5,103,113,19.1,3.0
30,2022-12-30,26-102,ATL,HOME,LAL,L (-9),1,39:08,.573,.559,2.2,17.9,8.9,28.9,1.2,0.0,10.3,19.9,121,123,19.1,4.6
31,2023-01-02,26-105,ATL,AWAY,GSW,L (-2),1,50:42,.574,.525,2.0,15.6,9.4,19.3,1.8,1.8,12.1,21.0,112,114,22.6,0.2
32,2023-01-04,26-107,ATL,AWAY,SAC,W (+3),1,34:46,.560,.500,3.5,14.7,9.6,16.3,4.2,0.0,9.6,26.4,113,114,17.9,2.3
33,2023-01-06,26-109,ATL,AWAY,LAL,L (-16),1,35:02,.434,.444,2.7,0.0,1.5,23.9,1.3,0.0,5.1,22.6,95,125,10.7,-3.6
34,2023-01-08,26-111,ATL,AWAY,LAC,W (+4),1,37:23,.444,.444,2.9,9.0,6.3,15.2,1.3,0.0,10.0,24.0,90,116,10.3,-6.0
35,2023-01-11,26-114,ATL,HOME,MIL,L (-9),1,37:53,.281,.281,0.0,10.3,5.2,18.7,2.6,0.0,15.8,22.7,60,116,3.1,-10.7
36,2023-01-13,26-116,ATL,AWAY,IND,W (+2),1,36:02,.477,.444,2.9,17.0,10.6,25.2,1.3,0.0,5.0,22.8,115,110,14.8,-0.6
37,2023-01-14,26-117,ATL,AWAY,TOR,W (+11),1,38:35,.687,.647,0.0,21.6,12.0,24.4,2.6,0.0,16.9,28.6,121,102,22.5,6.4
38,2023-01-16,26-119,ATL,HOME,MIA,W (+8),1,35:11,.783,.794,0.0,14.4,7.9,31.8,2.8,2.4,10.1,26.7,141,115,26.9,13.7
39,2023-01-18,26-121,ATL,AWAY,DAL,W (+8),1,37:37,.794,.778,4.6,20.1,13.5,15.2,1.3,0.0,5.0,23.8,157,125,25.9,8.0
40,2023-01-20,26-123,ATL,HOME,NYK,W (+15),1,36:28,.580,.580,6.8,15.5,10.8,42.0,4.2,0.0,3.8,30.0,143,126,29.7,11.2
