,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,24-030,ATL,HOME,HOU,W (+10),1,37:54,.451,.341,0.0,7.8,4.1,45.6,1.2,2.0,10.5,33.0,99,110,18.7,-1.8
1,2022-10-21,24-032,ATL,HOME,ORL,W (+10),1,37:22,.462,.375,6.0,5.5,5.7,53.9,0.0,0.0,18.1,37.6,99,105,14.9,-1.2
2,2022-10-23,24-034,ATL,HOME,CHO,L (-17),1,33:17,.483,.400,5.3,10.1,7.4,49.9,0.0,0.0,3.3,36.2,117,132,19.7,2.1
3,2022-10-26,24-037,ATL,AWAY,DET,W (+5),1,37:44,.614,.452,0.0,8.3,4.4,22.7,1.3,0.0,3.4,32.9,136,117,27.8,5.1
4,2022-10-28,24-039,ATL,AWAY,DET,W (+24),1,30:07,.738,.700,4.2,3.3,3.7,53.3,0.0,0.0,3.9,36.5,160,123,34.0,18.5
5,2022-10-29,24-040,ATL,AWAY,MIL,L (-8),1,36:26,.599,.547,2.8,15.0,8.7,26.1,0.0,0.0,5.4,43.4,126,128,28.9,10.0
6,2022-10-31,24-042,ATL,AWAY,TOR,L (-30),1,32:27,.424,.269,0.0,0.0,0.0,42.8,1.5,0.0,37.7,34.7,72,140,3.7,-14.5
7,2022-11-02,24-044,ATL,AWAY,NYK,W (+13),1,27:52,.372,.364,3.0,18.7,10.0,37.7,1.7,0.0,4.2,34.0,93,101,10.7,-0.3
8,2022-11-05,24-047,ATL,HOME,NOP,W (+3),1,42:21,.521,.385,2.4,0.0,1.1,35.0,2.2,1.5,13.3,37.1,107,113,23.2,2.7
9,2022-11-09,24-051,ATL,HOME,UTA,L (-6),1,35:45,.393,.393,2.6,8.1,5.3,32.2,2.6,0.0,6.7,32.3,98,121,14.3,-0.6
10,2022-11-10,24-052,ATL,HOME,PHI,W (+9),1,33:04,.512,.381,3.1,5.6,4.4,35.2,1.4,0.0,19.1,39.3,97,96,15.3,3.0
11,2022-11-12,24-054,ATL,AWAY,PHI,L (-12),1,37:45,.580,.500,3.1,0.0,1.7,46.9,1.2,0.0,23.1,32.4,107,119,18.4,3.5
12,2022-11-14,24-056,ATL,AWAY,MIL,W (+15),1,33:46,.495,.421,0.0,9.9,4.7,37.6,1.4,0.0,8.6,28.9,112,108,16.7,3.8
13,2022-11-16,24-058,ATL,HOME,BOS,L (-25),1,30:42,.527,.478,2.7,16.9,8.3,53.4,1.6,0.0,3.8,36.0,119,127,22.3,11.7
14,2022-11-19,24-061,ATL,HOME,TOR,W (+2),1,41:44,.661,.619,2.8,4.5,3.8,49.5,1.2,1.8,7.4,28.5,140,115,30.5,11.4
15,2022-11-21,24-063,ATL,AWAY,CLE,L (-12),1,35:27,.507,.477,0.0,9.7,3.8,55.4,1.4,0.0,19.6,37.6,96,122,15.0,-1.6
