,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 19, 2022",2022,10,19,7:30p,True,HOU,W,False,117,107,1,0,W 1
1,"Fri, Oct 21, 2022",2022,10,21,7:30p,True,ORL,W,False,108,98,2,0,W 2
2,"Sun, Oct 23, 2022",2022,10,23,5:00p,True,CHO,L,False,109,126,2,1,L 1
3,"Wed, Oct 26, 2022",2022,10,26,7:00p,False,DET,W,False,118,113,3,1,W 1
4,"Fri, Oct 28, 2022",2022,10,28,7:00p,False,DET,W,False,136,112,4,1,W 2
5,"Sat, Oct 29, 2022",2022,10,29,8:00p,False,MIL,L,False,115,123,4,2,L 1
6,"Mon, Oct 31, 2022",2022,10,31,7:30p,False,TOR,L,False,109,139,4,3,L 2
7,"Wed, Nov 2, 2022",2022,11,2,7:30p,False,NYK,W,False,112,99,5,3,W 1
8,"Sat, Nov 5, 2022",2022,11,5,7:30p,True,NOP,W,True,124,121,6,3,W 2
9,"Mon, Nov 7, 2022",2022,11,7,8:15p,True,MIL,W,False,117,98,7,3,W 3
10,"Wed, Nov 9, 2022",2022,11,9,7:30p,True,UTA,L,False,119,125,7,4,L 1
11,"Thu, Nov 10, 2022",2022,11,10,7:30p,True,PHI,W,False,104,95,8,4,W 1
12,"Sat, Nov 12, 2022",2022,11,12,7:30p,False,PHI,L,False,109,121,8,5,L 1
13,"Mon, Nov 14, 2022",2022,11,14,8:00p,False,MIL,W,False,121,106,9,5,W 1
14,"Wed, Nov 16, 2022",2022,11,16,7:30p,True,BOS,L,False,101,126,9,6,L 1
15,"Sat, Nov 19, 2022",2022,11,19,6:00p,True,TOR,W,True,124,122,10,6,W 1
16,"Mon, Nov 21, 2022",2022,11,21,7:00p,False,CLE,L,False,102,114,10,7,L 1
17,"Wed, Nov 23, 2022",2022,11,23,7:30p,True,SAC,W,False,115,106,11,7,W 1
18,"Fri, Nov 25, 2022",2022,11,25,8:00p,False,HOU,L,False,122,128,11,8,L 1
19,"Sun, Nov 27, 2022",2022,11,27,5:00p,True,MIA,L,False,98,106,11,9,L 2
21,"Mon, Nov 28, 2022",2022,11,28,7:00p,False,PHI,L,False,101,104,11,10,L 3
22,"Wed, Nov 30, 2022",2022,11,30,7:00p,False,ORL,W,False,125,108,12,10,W 1
23,"Fri, Dec 2, 2022",2022,12,2,7:30p,True,DEN,W,False,117,109,13,10,W 2
24,"Mon, Dec 5, 2022",2022,12,5,7:30p,True,OKC,L,False,114,121,13,11,L 1
25,"Wed, Dec 7, 2022",2022,12,7,7:30p,False,NYK,L,False,89,113,13,12,L 2
26,"Fri, Dec 9, 2022",2022,12,9,7:30p,False,BRK,L,False,116,120,13,13,L 3
27,"Sun, Dec 11, 2022",2022,12,11,6:30p,True,CHI,W,True,123,122,14,13,W 1
28,"Mon, Dec 12, 2022",2022,12,12,8:00p,False,MEM,L,False,103,128,14,14,L 1
29,"Wed, Dec 14, 2022",2022,12,14,7:00p,False,ORL,L,False,124,135,14,15,L 2
30,"Fri, Dec 16, 2022",2022,12,16,7:00p,False,CHO,W,False,125,106,15,15,W 1
31,"Mon, Dec 19, 2022",2022,12,19,7:30p,True,ORL,W,False,126,125,16,15,W 2
32,"Wed, Dec 21, 2022",2022,12,21,7:30p,True,CHI,L,False,108,110,16,16,L 1
33,"Fri, Dec 23, 2022",2022,12,23,7:30p,True,DET,W,False,130,105,17,16,W 1
34,"Tue, Dec 27, 2022",2022,12,27,7:30p,False,IND,L,False,114,129,17,17,L 1
35,"Wed, Dec 28, 2022",2022,12,28,7:30p,True,BRK,L,False,107,108,17,18,L 2
36,"Fri, Dec 30, 2022",2022,12,30,7:30p,True,LAL,L,False,121,130,17,19,L 3
37,"Mon, Jan 2, 2023",2023,1,2,10:00p,False,GSW,L,True,141,143,17,20,L 4
38,"Wed, Jan 4, 2023",2023,1,4,10:00p,False,SAC,W,False,120,117,18,20,W 1
39,"Fri, Jan 6, 2023",2023,1,6,10:30p,False,LAL,L,False,114,130,18,21,L 1
40,"Sun, Jan 8, 2023",2023,1,8,9:00p,False,LAC,W,False,112,108,19,21,W 1
42,"Wed, Jan 11, 2023",2023,1,11,7:30p,True,MIL,L,False,105,114,19,22,L 1
43,"Fri, Jan 13, 2023",2023,1,13,7:00p,False,IND,W,False,113,111,20,22,W 1
44,"Sat, Jan 14, 2023",2023,1,14,7:30p,False,TOR,W,False,114,103,21,22,W 2
45,"Mon, Jan 16, 2023",2023,1,16,3:30p,True,MIA,W,False,121,113,22,22,W 3
46,"Wed, Jan 18, 2023",2023,1,18,7:30p,False,DAL,W,False,130,122,23,22,W 4
47,"Fri, Jan 20, 2023",2023,1,20,7:30p,True,NYK,W,False,139,124,24,22,W 5
48,"Sat, Jan 21, 2023",2023,1,21,7:30p,True,CHO,L,False,118,122,24,23,L 1
49,"Mon, Jan 23, 2023",2023,1,23,8:00p,False,CHI,L,False,100,111,24,24,L 2
50,"Wed, Jan 25, 2023",2023,1,25,8:00p,False,OKC,W,False,137,132,25,24,W 1
51,"Sat, Jan 28, 2023",2023,1,28,7:30p,True,LAC,L,False,113,120,25,25,L 1
52,"Mon, Jan 30, 2023",2023,1,30,10:00p,False,POR,L,False,125,129,25,26,L 2
53,"Wed, Feb 1, 2023",2023,2,1,10:00p,False,PHO,W,False,132,100,26,26,W 1
54,"Fri, Feb 3, 2023",2023,2,3,9:00p,False,UTA,W,False,115,108,27,26,W 2
55,"Sat, Feb 4, 2023",2023,2,4,9:00p,False,DEN,L,False,108,128,27,27,L 1
56,"Tue, Feb 7, 2023",2023,2,7,7:30p,False,NOP,L,False,107,116,27,28,L 2
57,"Thu, Feb 9, 2023",2023,2,9,7:30p,True,PHO,W,False,116,107,28,28,W 1
58,"Sat, Feb 11, 2023",2023,2,11,7:30p,True,SAS,W,False,125,106,29,28,W 2
59,"Mon, Feb 13, 2023",2023,2,13,7:00p,False,CHO,L,False,138,144,29,29,L 1
60,"Wed, Feb 15, 2023",2023,2,15,7:30p,True,NYK,L,False,101,122,29,30,L 2
61,"Fri, Feb 24, 2023",2023,2,24,7:30p,True,CLE,W,False,136,119,30,30,W 1
63,"Sun, Feb 26, 2023",2023,2,26,3:00p,True,BRK,W,False,129,127,31,30,W 2
64,"Tue, Feb 28, 2023",2023,2,28,7:30p,True,WAS,L,False,116,119,31,31,L 1
65,"Fri, Mar 3, 2023",2023,3,3,7:30p,True,POR,W,False,129,111,32,31,W 1
66,"Sat, Mar 4, 2023",2023,3,4,8:00p,False,MIA,L,False,109,117,32,32,L 1
67,"Mon, Mar 6, 2023",2023,3,6,7:30p,False,MIA,L,False,128,130,32,33,L 2
68,"Wed, Mar 8, 2023",2023,3,8,7:00p,False,WAS,W,False,122,120,33,33,W 1
69,"Fri, Mar 10, 2023",2023,3,10,7:00p,False,WAS,W,False,114,107,34,33,W 2
70,"Sat, Mar 11, 2023",2023,3,11,7:30p,True,BOS,L,False,125,134,34,34,L 1
71,"Mon, Mar 13, 2023",2023,3,13,7:30p,True,MIN,L,False,115,136,34,35,L 2
72,"Fri, Mar 17, 2023",2023,3,17,7:30p,True,GSW,W,False,127,119,35,35,W 1
73,"Sun, Mar 19, 2023",2023,3,19,4:00p,False,SAS,L,False,118,126,35,36,L 1
74,"Tue, Mar 21, 2023",2023,3,21,7:30p,True,DET,W,False,129,107,36,36,W 1
75,"Wed, Mar 22, 2023",2023,3,22,8:00p,False,MIN,L,False,124,125,36,37,L 1
76,"Sat, Mar 25, 2023",2023,3,25,5:00p,True,IND,W,False,143,130,37,37,W 1
77,"Sun, Mar 26, 2023",2023,3,26,6:00p,True,MEM,L,False,119,123,37,38,L 1
78,"Tue, Mar 28, 2023",2023,3,28,7:30p,True,CLE,W,False,120,118,38,38,W 1
79,"Fri, Mar 31, 2023",2023,3,31,7:30p,False,BRK,L,False,107,124,38,39,L 1
80,"Sun, Apr 2, 2023",2023,4,2,6:00p,True,DAL,W,True,132,130,39,39,W 1
81,"Tue, Apr 4, 2023",2023,4,4,8:00p,False,CHI,W,False,123,105,40,39,W 2
82,"Wed, Apr 5, 2023",2023,4,5,7:30p,True,WAS,W,False,134,116,41,39,W 3
84,"Fri, Apr 7, 2023",2023,4,7,7:30p,True,PHI,L,True,131,136,41,40,L 1
85,"Sun, Apr 9, 2023",2023,4,9,1:00p,False,BOS,L,False,114,120,41,41,L 2
86,"Tue, Apr 11, 2023",2023,4,11,7:30p,False,MIA,,False,,,,,
