,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,26-091,BRK,HOME,NOP,L (-22),1,23:10,.515,.667,0.0,20.3,10.4,28.9,0.0,0.0,43.6,12.3,80,128,1.5,-10.7
1,2022-10-21,26-093,BRK,HOME,TOR,W (+4),1,32:29,.600,.600,0.0,37.9,17.4,35.2,0.0,5.3,37.5,11.2,108,109,9.9,1.8
2,2022-10-24,26-096,BRK,AWAY,MEM,L (-10),1,28:07,.486,.400,0.0,13.5,7.0,31.3,1.7,0.0,41.0,19.0,86,137,3.6,-8.5
3,2022-10-26,26-098,BRK,AWAY,MIL,L (-11),1,34:28,.254,.286,3.0,12.7,7.7,40.2,2.7,2.7,20.2,12.2,77,105,6.4,0.3
4,2022-10-27,26-099,BRK,HOME,DAL,L (-4),1,37:06,.470,.429,10.0,18.3,13.9,18.5,4.2,0.0,11.8,10.1,125,121,10.8,-0.1
5,2022-10-29,26-101,BRK,HOME,IND,L (-9),1,35:42,.489,.429,6.4,17.9,12.4,32.7,1.4,2.8,17.9,14.7,120,132,12.1,-2.1
6,2022-11-20,26-123,BRK,HOME,MEM,W (+12),1,34:42,.818,.846,3.8,18.3,12.4,19.9,1.3,0.0,27.1,23.7,120,109,18.0,0.1
7,2022-11-22,26-125,BRK,AWAY,PHI,L (-9),1,32:23,.571,.571,9.0,14.5,12.4,42.8,4.8,6.6,23.7,18.6,121,113,18.0,9.9
8,2022-11-23,26-126,BRK,AWAY,TOR,W (+14),1,32:30,.778,.778,0.0,5.4,3.2,25.6,4.6,4.1,10.0,14.2,153,102,16.7,8.2
9,2022-11-25,26-128,BRK,AWAY,IND,L (-11),1,34:11,.980,1.000,3.4,18.5,10.7,11.8,0.0,2.7,22.7,16.8,152,124,16.8,2.7
10,2022-11-27,26-130,BRK,HOME,POR,W (+14),1,33:37,.333,.333,4.1,34.9,21.4,28.9,4.8,0.0,40.0,7.7,114,96,10.1,4.2
11,2022-11-28,26-131,BRK,HOME,ORL,W (+7),1,11:24,.000,.000,12.4,29.4,21.9,28.7,0.0,0.0,40.0,20.4,50,108,-1.2,-17.1
12,2022-12-09,26-142,BRK,HOME,ATL,W (+4),1,20:49,.750,.750,6.6,28.1,18.2,42.4,9.0,0.0,50.0,16.3,107,95,10.3,9.0
13,2022-12-12,26-145,BRK,AWAY,WAS,W (+12),1,22:50,.556,.556,0.0,42.0,19.8,31.4,0.0,0.0,18.2,21.4,103,102,8.8,-0.5
14,2022-12-16,26-149,BRK,AWAY,TOR,W (+3),1,32:23,.635,.714,5.1,14.8,10.7,19.2,1.6,0.0,27.6,16.1,110,123,8.1,-2.4
15,2022-12-18,26-151,BRK,AWAY,DET,W (+3),1,25:24,.400,.400,0.0,36.0,19.9,37.6,1.9,0.0,0.0,9.2,138,119,9.1,2.1
16,2022-12-21,26-154,BRK,HOME,GSW,W (+30),1,18:38,.635,.714,0.0,27.1,15.2,50.1,2.5,0.0,11.3,21.8,144,108,11.5,3.5
17,2022-12-23,26-156,BRK,HOME,MIL,W (+18),1,28:11,.667,.667,19.4,22.2,20.8,38.1,5.3,0.0,10.0,15.7,156,95,19.4,14.6
18,2022-12-26,26-159,BRK,AWAY,CLE,W (+8),1,34:22,.340,.400,14.0,20.4,17.7,25.3,4.4,3.0,33.8,11.9,109,114,9.5,2.8
19,2022-12-28,26-161,BRK,AWAY,ATL,W (+1),1,24:51,.460,.500,4.7,14.6,10.3,11.9,0.0,0.0,15.5,24.3,85,115,5.5,-7.9
20,2022-12-31,26-164,BRK,AWAY,CHO,W (+17),1,19:14,.410,.500,7.6,9.2,8.6,11.0,0.0,0.0,45.0,10.8,82,113,0.5,-10.0
21,2023-01-02,26-166,BRK,HOME,SAS,W (+36),1,23:54,.400,.400,0.0,22.7,13.7,33.5,5.8,0.0,0.0,9.0,142,89,11.2,7.8
22,2023-01-04,26-168,BRK,AWAY,CHI,L (-9),1,25:49,.518,.600,0.0,47.8,20.9,10.2,5.5,0.0,37.2,18.1,67,109,5.0,-6.9
23,2023-01-06,26-170,BRK,AWAY,NOP,W (+6),1,33:32,.500,.500,3.0,15.2,9.1,39.4,4.5,2.4,14.3,9.5,133,102,12.6,5.4
24,2023-01-08,26-172,BRK,AWAY,MIA,W (+1),1,29:29,.500,.500,5.3,19.5,14.1,31.9,0.0,5.7,33.3,9.9,116,111,6.8,0.6
25,2023-01-12,26-176,BRK,HOME,BOS,L (-11),1,26:25,.000,.000,0.0,41.9,20.7,62.2,3.9,3.6,40.0,9.0,99,104,8.4,5.4
26,2023-01-17,26-181,BRK,AWAY,SAS,L (-8),1,34:17,.460,.400,2.7,24.2,13.6,49.0,5.2,4.4,39.1,20.9,77,87,12.5,3.8
27,2023-01-19,26-183,BRK,AWAY,PHO,L (-5),1,18:06,.658,.750,6.8,18.1,12.8,45.4,0.0,0.0,42.9,23.5,101,117,4.4,-6.3
28,2023-01-20,26-184,BRK,AWAY,UTA,W (+11),1,36:32,.429,.429,6.7,18.8,13.4,16.8,2.9,0.0,36.4,14.8,89,112,6.9,-6.6
29,2023-01-22,26-186,BRK,AWAY,GSW,W (+4),1,29:21,.509,.500,0.0,11.4,5.8,47.2,1.7,2.8,22.5,13.5,126,117,10.7,4.7
30,2023-01-25,26-189,BRK,AWAY,PHI,L (-4),1,28:42,.721,.714,0.0,23.2,12.5,20.6,0.0,3.8,19.4,16.6,132,144,10.8,-1.0
31,2023-01-26,26-190,BRK,HOME,DET,L (-8),1,19:47,.000,.000,5.1,0.0,2.8,39.5,2.4,0.0,50.0,11.9,67,133,1.5,-6.3
32,2023-02-07,26-202,BRK,HOME,PHO,L (-4),1,26:30,.410,.500,0.0,15.4,8.6,30.0,1.8,3.0,62.1,10.7,68,114,2.9,-4.5
