,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,29-168,DAL,AWAY,PHO,L (-2),1,38:12,.625,.625,0.0,8.8,4.7,0.0,2.6,0.0,0.0,4.9,120,111,4.3,-2.2
1,2022-10-22,29-171,DAL,HOME,MEM,W (+41),1,27:07,.543,.583,14.0,8.2,10.9,4.5,1.8,3.8,13.4,10.9,123,97,6.9,1.9
2,2022-10-25,29-174,DAL,AWAY,NOP,L (-2),1,34:43,.400,.400,8.4,9.2,8.8,7.2,0.0,2.8,16.7,8.0,104,128,3.6,-6.7
3,2022-10-27,29-176,DAL,AWAY,BRK,W (+4),1,39:38,.381,.357,3.4,6.2,4.9,3.5,0.0,0.0,11.3,10.5,84,129,0.9,-10.0
4,2022-10-29,29-178,DAL,HOME,OKC,L (-6),1,35:00,.433,.433,12.1,3.3,7.9,5.0,0.0,4.7,6.3,19.2,99,111,7.1,-1.1
5,2022-10-30,29-179,DAL,HOME,ORL,W (+9),1,29:10,.929,.929,4.0,26.8,15.7,0.0,3.6,0.0,0.0,11.6,182,107,13.7,8.5
6,2022-11-02,29-182,DAL,HOME,UTA,W (+3),1,26:06,.333,.333,0.0,8.8,4.8,0.0,2.0,3.4,0.0,10.9,71,110,2.9,-6.0
7,2022-11-04,29-184,DAL,HOME,TOR,W (+1),1,30:42,.698,.714,9.8,7.3,8.3,0.0,1.6,0.0,27.6,16.0,101,120,6.9,-3.3
8,2022-11-07,29-187,DAL,HOME,BRK,W (+2),1,35:01,.773,.667,4.3,6.4,5.5,5.5,1.6,0.0,25.6,20.5,122,113,12.3,3.3
9,2022-11-09,29-189,DAL,AWAY,ORL,L (-7),1,30:43,.667,.667,0.0,5.4,2.0,5.7,1.7,3.0,14.3,11.2,107,104,6.7,-1.4
10,2022-11-10,29-190,DAL,AWAY,WAS,L (-8),1,29:33,.417,.417,0.0,19.3,8.7,4.8,1.6,0.0,25.0,12.1,66,113,1.6,-9.4
11,2022-11-12,29-192,DAL,HOME,POR,W (+5),1,33:45,.429,.429,0.0,15.8,8.5,3.7,0.0,0.0,12.5,11.0,79,123,2.3,-8.1
12,2022-11-15,29-195,DAL,HOME,LAC,W (+2),1,36:25,.700,.700,2.9,9.1,5.3,0.0,4.3,0.0,0.0,19.3,134,106,16.8,8.6
13,2022-11-16,29-196,DAL,HOME,HOU,L (-9),1,38:27,.318,.318,4.2,22.0,10.6,0.0,0.0,2.4,0.0,11.8,75,108,3.6,-9.1
14,2022-11-18,29-198,DAL,HOME,DEN,W (+28),1,30:29,.436,.417,10.9,6.2,7.9,7.3,1.7,0.0,0.0,10.9,122,109,6.6,-2.6
15,2022-11-20,29-200,DAL,HOME,DEN,L (-1),1,35:36,.300,.300,0.0,11.9,5.1,4.0,1.4,2.6,0.0,6.8,70,103,2.8,-4.7
16,2022-11-23,29-203,DAL,AWAY,BOS,L (-13),1,36:56,.556,.556,0.0,10.8,5.3,3.3,1.3,5.2,18.2,13.6,90,125,6.1,-1.9
17,2022-11-26,29-206,DAL,AWAY,TOR,L (-5),1,31:38,.601,.542,4.3,9.7,7.4,11.1,3.3,2.4,13.1,23.3,105,111,13.3,4.6
18,2022-11-27,29-207,DAL,AWAY,MIL,L (-9),1,38:02,.689,.667,13.3,0.0,7.0,10.9,3.9,0.0,0.0,11.5,160,126,15.8,5.6
19,2022-11-29,29-209,DAL,HOME,GSW,W (+3),1,29:25,.436,.417,10.2,23.9,16.5,8.4,0.0,0.0,0.0,9.7,120,111,7.1,-0.9
20,2022-12-01,29-211,DAL,AWAY,DET,L (-6),1,31:46,.600,.600,0.0,8.6,4.1,7.8,1.6,0.0,16.7,9.0,107,130,4.5,-4.5
21,2022-12-03,29-213,DAL,AWAY,NYK,W (+21),1,30:47,.188,.188,6.0,10.9,8.2,3.8,0.0,0.0,11.1,12.0,61,106,-0.6,-12.2
22,2022-12-05,29-215,DAL,HOME,PHO,W (+19),1,23:26,.500,.500,0.0,9.3,5.0,0.0,0.0,0.0,0.0,5.7,107,123,1.5,-6.8
23,2022-12-06,29-216,DAL,AWAY,DEN,W (+1),1,35:14,.731,.731,0.0,3.5,1.9,15.4,4.2,0.0,13.3,20.3,118,117,13.7,4.0
24,2022-12-09,29-219,DAL,HOME,MIL,L (-1),1,28:27,.363,.417,13.5,15.3,14.4,4.5,5.3,6.1,0.0,10.7,108,100,9.5,4.9
25,2022-12-10,29-220,DAL,AWAY,CHI,L (-29),1,20:21,.000,.000,0.0,0.0,0.0,5.8,0.0,0.0,50.0,8.6,14,151,-2.7,-18.6
26,2022-12-12,29-222,DAL,HOME,OKC,W (+7),1,23:01,.500,.500,21.7,0.0,11.3,19.1,2.1,0.0,0.0,15.9,147,118,10.5,7.2
27,2022-12-14,29-224,DAL,HOME,CLE,L (-15),1,25:03,.394,.375,4.4,18.0,10.1,0.0,0.0,3.5,0.0,17.5,85,119,3.7,-3.4
28,2022-12-16,29-226,DAL,HOME,POR,W (+20),1,28:23,.500,.500,0.0,10.8,6.2,8.1,0.0,3.3,25.0,13.0,83,113,2.8,-5.7
29,2022-12-17,29-227,DAL,AWAY,CLE,L (-1),1,39:59,.688,.688,2.8,8.1,5.5,8.6,0.0,2.3,11.1,11.1,124,102,7.3,-0.1
30,2022-12-19,29-229,DAL,AWAY,MIN,L (-10),1,27:55,.654,.667,16.0,4.0,10.0,6.7,1.8,3.0,12.7,12.9,132,120,9.7,2.1
31,2023-01-18,29-259,DAL,HOME,ATL,L (-8),1,34:44,.455,.389,21.8,14.8,18.8,10.4,0.0,0.0,9.2,13.6,127,138,9.7,-3.5
32,2023-01-20,29-261,DAL,HOME,MIA,W (+25),1,24:45,.850,.800,0.0,6.1,2.6,18.7,2.2,0.0,0.0,11.1,184,101,9.1,8.2
33,2023-01-22,29-263,DAL,HOME,LAC,L (-14),1,38:00,.500,.500,2.6,10.8,6.0,0.0,1.4,2.6,11.1,11.2,96,126,5.5,-3.1
34,2023-01-24,29-265,DAL,HOME,WAS,L (-1),1,30:59,.761,.714,3.6,17.2,9.8,7.6,1.5,0.0,0.0,11.2,162,125,11.4,2.2
35,2023-01-26,29-267,DAL,AWAY,PHO,W (+4),1,34:38,.547,.531,9.4,25.5,17.9,17.8,1.6,0.0,5.7,25.1,115,104,15.7,4.3
36,2023-01-28,29-269,DAL,AWAY,UTA,L (-8),1,41:16,.611,.611,8.1,18.9,13.1,15.3,2.5,2.5,18.2,12.6,117,113,13.3,2.5
37,2023-01-30,29-271,DAL,HOME,DET,W (+6),1,34:47,.510,.400,6.9,17.2,12.1,7.6,0.0,0.0,0.0,7.8,135,116,6.8,-2.6
38,2023-02-02,29-274,DAL,HOME,NOP,W (+5),1,33:42,.813,.813,9.7,13.6,11.6,19.1,1.5,2.2,0.0,10.8,177,110,15.2,9.0
39,2023-02-04,29-276,DAL,AWAY,GSW,L (-6),1,33:41,.660,.591,13.3,21.0,16.7,8.9,1.5,0.0,12.8,20.1,131,122,16.2,3.0
40,2023-02-09,29-281,BRK,HOME,CHI,W (+11),1,34:35,.398,.400,8.5,18.1,13.1,4.1,0.0,0.0,8.1,15.1,92,108,5.2,-8.6
41,2023-02-11,29-283,BRK,HOME,PHI,L (-3),1,34:28,.313,.313,9.3,18.3,13.4,8.1,0.0,0.0,11.1,11.9,86,119,3.0,-8.0
42,2023-02-13,29-285,BRK,AWAY,NYK,L (-18),1,29:21,.900,.900,3.9,18.7,10.6,0.0,0.0,0.0,16.7,9.6,141,136,6.0,-1.6
43,2023-02-15,29-287,BRK,HOME,MIA,W (+11),1,20:08,.205,.000,7.0,16.6,12.4,5.8,0.0,0.0,17.0,14.5,63,119,0.1,-12.6
44,2023-02-24,29-296,BRK,AWAY,CHI,L (-44),1,25:05,.167,.167,3.8,25.2,13.0,6.8,0.0,0.0,25.0,15.0,39,137,-2.5,-17.9
45,2023-02-26,29-298,BRK,AWAY,ATL,L (-2),1,32:22,.600,.600,7.6,20.2,14.3,12.5,2.9,0.0,0.0,13.6,138,126,13.5,3.1
46,2023-02-28,29-300,BRK,HOME,MIL,L (-14),1,29:29,.336,.286,0.0,7.1,3.5,9.9,1.5,2.5,21.2,13.8,61,111,1.0,-8.5
47,2023-03-01,29-301,BRK,AWAY,NYK,L (-24),1,18:42,.500,.500,0.0,15.6,6.7,13.9,0.0,0.0,0.0,11.6,111,140,3.9,-3.8
48,2023-03-03,29-303,BRK,AWAY,BOS,W (+10),1,37:47,.567,.567,4.9,20.7,12.0,11.8,0.0,4.6,6.3,17.2,118,104,14.1,4.7
49,2023-03-05,29-305,BRK,HOME,CHO,W (+16),1,33:21,.313,.313,8.3,11.7,10.0,8.7,0.0,5.0,11.1,12.1,83,90,4.5,-4.8
50,2023-03-07,29-307,BRK,AWAY,HOU,W (+22),1,26:28,.167,.167,9.5,0.0,4.3,14.2,3.7,0.0,25.0,13.7,66,103,0.9,-8.7
51,2023-03-09,29-309,BRK,AWAY,MIL,L (-5),1,11:05,.000,.000,7.7,16.7,12.0,0.0,0.0,0.0,0.0,10.4,24,118,-0.8,-16.0
