,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-04,26-308,BRK,AWAY,WAS,W (+42),1,25:08,.628,.500,4.9,11.9,8.8,0.0,4.0,0.0,18.6,19.9,107,88,8.5,-3.4
1,2022-11-05,26-309,BRK,AWAY,CHO,W (+4),1,17:50,.500,.500,5.9,17.9,11.8,9.7,2.9,6.1,25.0,20.6,80,97,3.8,-2.6
2,2022-11-07,26-311,BRK,AWAY,DAL,L (-2),1,19:54,.400,.400,0.0,15.1,6.4,0.0,2.8,5.5,16.7,14.3,69,110,1.0,-10.3
3,2022-11-09,26-313,BRK,HOME,NYK,W (+27),1,18:31,.827,.850,5.6,18.9,12.8,10.9,5.3,0.0,0.0,25.7,158,79,17.2,20.9
4,2022-11-12,26-316,BRK,AWAY,LAC,W (+15),1,22:48,.527,.500,0.0,4.7,2.4,26.7,6.5,3.9,16.1,25.1,99,90,10.0,6.3
5,2022-11-13,26-317,BRK,AWAY,LAL,L (-13),1,25:53,.505,.458,4.5,0.0,2.2,6.9,2.0,0.0,18.9,27.9,86,126,5.2,-9.5
6,2022-11-15,26-319,BRK,AWAY,SAC,L (-32),1,21:35,.694,.500,0.0,6.4,3.1,7.1,4.1,0.0,7.2,27.6,132,135,14.1,0.9
7,2022-11-17,26-321,BRK,AWAY,POR,W (+2),1,5:57,,,0.0,0.0,0.0,20.2,0.0,0.0,100.0,7.6,49,114,-0.3,-9.7
8,2022-12-10,26-344,BRK,AWAY,IND,W (+3),1,26:36,.653,.577,13.9,14.6,14.2,22.9,3.5,0.0,0.0,22.0,174,124,21.5,11.2
9,2023-01-15,27-015,BRK,HOME,OKC,L (-10),1,12:23,.410,.250,0.0,16.2,7.7,33.1,0.0,6.6,17.0,19.9,95,113,2.4,-5.0
10,2023-02-04,27-035,BRK,HOME,WAS,W (+2),1,39:06,.620,.526,0.0,7.0,3.1,11.5,1.2,2.3,7.9,27.5,124,121,19.3,-1.1
11,2023-02-06,27-037,BRK,HOME,LAC,L (-8),1,32:37,.628,.588,3.4,13.1,8.4,15.9,0.0,2.4,0.0,24.6,136,127,17.4,2.2
