,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,23-185,BRK,HOME,NOP,L (-22),1,24:47,.825,.857,11.9,26.6,19.4,0.0,1.9,5.1,33.7,19.9,105,118,11.5,-1.2
1,2022-10-21,23-187,BRK,HOME,TOR,W (+4),1,33:50,.654,.727,21.6,14.6,18.4,0.0,1.5,10.1,0.0,19.5,144,106,21.6,5.8
2,2022-10-24,23-190,BRK,AWAY,MEM,L (-10),1,33:06,.735,.700,8.3,19.1,13.9,0.0,0.0,4.8,0.0,14.4,156,136,14.5,-0.6
3,2022-10-26,23-192,BRK,AWAY,MIL,L (-11),1,23:26,.307,.250,17.4,18.6,18.0,6.4,0.0,7.9,17.0,10.6,90,107,4.1,-5.1
4,2022-10-27,23-193,BRK,HOME,DAL,L (-4),1,28:40,.400,.429,12.9,14.2,13.5,4.9,0.0,0.0,10.2,15.1,96,132,4.4,-9.8
5,2022-10-29,23-195,BRK,HOME,IND,L (-9),1,22:05,.546,.667,10.4,33.8,22.5,0.0,2.3,9.1,0.0,15.5,114,118,9.3,-3.0
6,2022-10-31,23-197,BRK,HOME,IND,W (+7),1,31:02,.800,.818,13.6,21.6,18.1,21.3,1.5,12.9,25.2,22.8,126,98,19.4,6.5
7,2022-11-01,23-198,BRK,HOME,CHI,L (-9),1,34:35,.868,1.000,0.0,30.8,16.9,9.1,0.0,2.4,34.2,12.1,106,112,9.3,-1.1
8,2022-11-04,23-201,BRK,AWAY,WAS,W (+42),1,28:15,.900,.900,8.7,24.8,17.6,4.9,0.0,10.4,0.0,16.5,183,86,20.1,9.5
9,2022-11-05,23-202,BRK,AWAY,CHO,W (+4),1,25:26,.739,.714,12.3,25.2,18.7,24.0,6.1,17.2,28.7,18.8,116,81,15.3,10.1
10,2022-11-07,23-204,BRK,AWAY,DAL,L (-2),1,31:56,.625,.625,24.5,32.9,28.1,5.5,5.2,3.4,20.0,14.8,122,99,14.2,1.6
11,2022-11-09,23-206,BRK,HOME,NYK,W (+27),1,19:31,.652,.714,5.3,22.4,14.6,16.6,0.0,5.6,17.9,25.1,109,86,8.6,-0.3
12,2022-11-12,23-209,BRK,AWAY,LAC,W (+15),1,31:46,.580,.667,7.2,40.3,24.3,9.8,1.6,8.4,0.0,16.2,125,87,16.6,5.5
13,2022-11-13,23-210,BRK,AWAY,LAL,L (-13),1,15:51,.820,1.000,14.8,20.2,17.6,0.0,0.0,0.0,17.0,16.9,125,124,6.5,-2.8
14,2022-11-15,23-212,BRK,AWAY,SAC,L (-32),1,17:54,.600,.600,0.0,7.7,3.7,8.4,0.0,0.0,16.7,14.3,97,145,2.5,-10.5
15,2022-11-17,23-214,BRK,AWAY,POR,W (+2),1,25:20,.619,.625,5.3,15.2,11.0,12.4,3.7,0.0,10.1,17.6,115,101,10.1,1.5
16,2022-11-22,23-219,BRK,AWAY,PHI,L (-9),1,21:16,.857,.857,0.0,17.7,10.7,0.0,0.0,10.1,0.0,15.7,160,120,11.6,2.7
17,2022-11-23,23-220,BRK,AWAY,TOR,W (+14),1,30:16,.888,.857,17.6,23.1,20.9,13.4,1.7,8.8,33.7,18.1,129,94,17.8,6.3
18,2022-11-25,23-222,BRK,AWAY,IND,L (-11),1,28:04,1.000,1.000,8.3,40.5,23.8,4.7,0.0,16.4,14.3,10.8,172,110,15.5,7.5
19,2022-11-27,23-224,BRK,HOME,POR,W (+14),1,31:45,.694,.667,8.6,16.8,13.2,8.7,3.4,3.3,18.8,17.3,126,103,12.4,1.3
