,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,29-196,DAL,AWAY,PHO,L (-2),1,27:31,.631,.682,0.0,12.2,6.5,21.3,0.0,0.0,0.0,20.3,130,116,10.3,1.7
1,2022-10-22,29-199,DAL,HOME,MEM,W (+41),1,28:22,.577,.577,0.0,7.9,4.2,9.7,0.0,0.0,18.8,22.4,106,104,6.5,-5.4
2,2022-10-25,29-202,DAL,AWAY,NOP,L (-2),1,37:59,.698,.667,0.0,8.4,4.0,20.5,0.0,0.0,10.4,23.4,142,131,17.6,1.7
3,2022-10-27,29-204,DAL,AWAY,BRK,W (+4),1,27:38,.688,.688,0.0,13.4,7.0,28.8,1.9,0.0,20.0,16.9,124,122,9.2,0.7
4,2022-10-29,29-206,DAL,HOME,OKC,L (-6),1,35:27,.698,.692,0.0,6.5,3.1,11.5,1.4,0.0,12.3,19.4,124,111,13.5,3.0
5,2022-10-30,29-207,DAL,HOME,ORL,W (+9),1,31:31,.432,.385,0.0,14.2,7.3,22.8,5.0,0.0,6.7,22.8,97,108,10.4,-2.2
6,2022-11-02,29-210,DAL,HOME,UTA,W (+3),1,35:10,.500,.500,3.9,9.7,7.1,22.0,5.9,0.0,4.8,28.2,110,102,16.9,7.0
7,2022-11-04,29-212,DAL,HOME,TOR,W (+1),1,37:59,.587,.559,0.0,2.9,1.7,30.6,2.6,0.0,10.1,23.7,119,119,15.9,1.2
8,2022-11-07,29-215,DAL,HOME,BRK,W (+2),1,27:53,.125,.125,10.8,16.0,13.8,28.4,0.0,0.0,33.3,19.8,56,113,-2.3,-16.3
9,2022-11-09,29-217,DAL,AWAY,ORL,L (-7),1,37:30,.644,.579,0.0,17.7,6.6,31.3,2.8,2.5,4.3,30.9,126,101,24.5,12.8
10,2022-11-10,29-218,DAL,AWAY,WAS,L (-8),1,37:33,.880,.853,0.0,12.2,5.5,33.4,1.3,0.0,5.1,23.6,169,115,30.1,16.0
11,2022-11-12,29-220,DAL,HOME,POR,W (+5),1,32:30,.909,.909,0.0,23.0,12.3,28.9,0.0,3.0,15.4,18.6,150,119,19.7,11.6
12,2022-11-15,29-223,DAL,HOME,LAC,W (+2),1,40:59,.490,.467,2.6,8.1,4.7,25.1,2.5,0.0,10.9,20.9,106,111,12.2,-2.1
13,2022-11-16,29-224,DAL,HOME,HOU,L (-9),1,32:25,.238,.194,2.5,4.4,3.2,55.8,3.1,0.0,0.0,24.0,77,106,7.6,-0.9
14,2022-11-18,29-226,DAL,HOME,DEN,W (+28),1,26:10,1.090,1.083,0.0,7.2,4.6,5.0,2.0,0.0,0.0,12.7,214,108,14.7,8.6
15,2022-11-20,29-228,DAL,HOME,DEN,L (-1),1,29:36,.367,.367,0.0,4.8,2.0,48.2,0.0,3.2,21.1,31.0,78,106,4.3,-8.9
16,2022-11-23,29-231,DAL,AWAY,BOS,L (-13),1,31:37,.845,.875,0.0,16.9,8.3,17.4,1.6,0.0,0.0,12.8,174,128,15.6,7.0
17,2022-11-26,29-234,DAL,AWAY,TOR,L (-5),1,28:20,.682,.682,0.0,7.2,4.1,47.7,0.0,0.0,21.4,23.8,112,120,10.2,0.2
18,2022-11-27,29-235,DAL,AWAY,MIL,L (-9),1,31:10,.768,.731,0.0,13.6,6.4,10.7,0.0,0.0,6.5,22.7,143,133,16.6,2.2
19,2022-11-29,29-237,DAL,HOME,GSW,W (+3),1,22:45,.509,.417,0.0,0.0,0.0,13.4,4.0,0.0,17.9,30.5,90,107,7.6,-3.8
20,2022-12-01,29-239,DAL,AWAY,DET,L (-6),1,27:50,.266,.000,0.0,0.0,0.0,24.8,0.0,3.2,21.0,8.1,104,134,3.7,-7.3
21,2022-12-03,29-241,DAL,AWAY,NYK,W (+21),1,30:05,.491,.469,6.1,26.0,15.1,43.0,0.0,3.5,0.0,23.6,134,100,17.1,6.9
22,2022-12-05,29-243,DAL,HOME,PHO,W (+19),1,28:05,.595,.500,4.5,11.7,8.3,9.6,1.8,3.2,5.4,29.7,130,116,15.0,1.4
23,2022-12-06,29-244,DAL,AWAY,DEN,W (+1),1,30:51,.611,.438,0.0,8.0,4.4,34.8,1.6,0.0,8.6,18.0,138,123,13.3,0.9
24,2022-12-09,29-247,DAL,HOME,MIL,L (-1),1,31:54,.508,.462,6.0,6.8,6.4,18.0,1.6,2.7,16.9,24.6,101,114,9.4,-2.3
25,2022-12-10,29-248,DAL,AWAY,CHI,L (-29),1,29:10,.747,.700,3.4,15.0,8.1,50.3,1.7,0.0,5.2,28.7,152,146,26.1,12.8
26,2022-12-12,29-250,DAL,HOME,OKC,W (+7),1,34:44,.592,.563,5.8,15.7,10.5,47.1,0.0,0.0,19.2,24.5,125,119,16.7,3.5
27,2022-12-14,29-252,DAL,HOME,CLE,L (-15),1,32:00,.536,.563,0.0,28.1,11.8,45.7,0.0,2.8,24.4,19.0,100,119,9.2,0.7
28,2022-12-16,29-254,DAL,HOME,POR,W (+20),1,25:22,.825,.786,0.0,4.0,2.3,20.2,3.8,0.0,11.3,16.1,152,108,13.0,6.8
29,2022-12-19,29-257,DAL,AWAY,MIN,L (-10),1,37:35,.678,.654,0.0,5.9,3.0,38.3,1.3,0.0,6.3,19.2,140,123,18.0,5.1
30,2022-12-21,29-259,DAL,AWAY,MIN,W (+5),1,41:08,.663,.615,0.0,11.7,6.0,13.0,1.3,2.1,12.3,19.1,122,108,13.3,1.0
31,2022-12-23,29-261,DAL,AWAY,HOU,W (+6),1,37:13,.619,.563,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.8,129,124,6.1,-6.9
32,2022-12-25,29-263,DAL,HOME,LAL,W (+9),1,40:26,.368,.300,3.0,3.6,3.3,22.8,0.0,0.0,8.4,13.3,115,130,6.2,-8.0
33,2022-12-27,29-265,DAL,HOME,NYK,W (+5),1,43:34,.746,.700,2.7,10.7,7.2,18.4,0.0,0.0,5.6,19.0,150,121,21.6,5.1
34,2022-12-29,29-267,DAL,HOME,HOU,W (+15),1,34:53,.938,.938,0.0,11.0,6.0,21.3,1.4,0.0,11.1,11.3,168,116,16.4,3.7
35,2022-12-31,29-269,DAL,AWAY,SAS,W (+1),1,35:53,.427,.417,0.0,7.6,3.6,9.3,0.0,0.0,7.2,18.5,92,138,3.9,-15.5
36,2023-01-02,29-271,DAL,AWAY,HOU,W (+5),1,37:44,.427,.375,0.0,3.1,1.5,17.6,1.4,0.0,0.0,15.8,102,118,7.9,-6.7
37,2023-01-05,29-274,DAL,HOME,BOS,L (-29),1,40:02,.523,.467,0.0,2.9,1.3,22.4,0.0,0.0,10.4,20.6,105,134,10.1,-2.6
38,2023-01-07,29-276,DAL,HOME,NOP,W (+10),1,32:09,.630,.500,0.0,3.0,1.8,15.9,0.0,0.0,17.4,16.0,121,121,8.9,-5.3
39,2023-01-08,29-277,DAL,AWAY,OKC,L (-11),1,35:48,.515,.406,3.1,6.1,4.6,46.7,1.4,0.0,16.4,31.6,106,128,14.5,-3.1
40,2023-01-10,29-279,DAL,AWAY,LAC,L (-12),1,40:18,.825,.786,0.0,11.6,6.1,23.6,1.3,4.3,11.3,11.0,153,123,15.0,5.9
41,2023-01-12,29-281,DAL,AWAY,LAL,W (+4),1,51:15,.612,.615,0.0,7.0,4.1,11.3,0.0,3.2,17.8,16.0,103,104,11.5,-2.2
