,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-22,27-226,CHI,HOME,CLE,L (-32),1,28:20,.613,.588,0.0,15.4,6.1,36.1,3.5,0.0,0.0,30.3,129,132,19.2,10.2
1,2022-10-24,27-228,CHI,HOME,BOS,W (+18),1,32:19,.525,.433,0.0,5.0,2.8,8.6,1.5,2.9,14.2,27.8,100,107,10.8,-1.9
2,2022-10-26,27-230,CHI,HOME,IND,W (+15),1,34:37,.766,.692,0.0,20.3,10.1,20.0,1.3,0.0,21.5,28.2,122,108,21.4,5.7
3,2022-10-29,27-233,CHI,HOME,PHI,L (-5),1,33:45,.503,.474,0.0,7.3,3.5,17.3,0.0,0.0,9.1,28.1,98,121,9.0,-5.3
4,2022-11-01,27-236,CHI,AWAY,BRK,W (+9),1,37:13,.637,.595,2.9,7.0,4.7,24.7,0.0,0.0,4.2,28.6,134,111,21.3,8.6
5,2022-11-02,27-237,CHI,HOME,CHO,W (+18),1,31:57,.313,.313,0.0,11.3,6.1,28.2,3.0,0.0,0.0,20.9,88,88,7.8,-1.4
6,2022-11-04,27-239,CHI,AWAY,BOS,L (-4),1,36:40,.559,.538,3.6,19.6,12.1,11.2,2.5,0.0,12.3,19.2,106,117,11.9,-1.3
7,2022-11-07,27-242,CHI,HOME,TOR,W (+14),1,32:12,.676,.650,4.3,6.6,5.6,29.1,3.0,0.0,18.4,36.6,113,97,19.8,5.9
8,2022-11-09,27-244,CHI,HOME,NOP,L (-4),1,36:25,.503,.477,3.1,9.4,6.2,16.4,2.6,0.0,4.2,28.6,104,113,15.0,0.6
9,2022-11-13,27-248,CHI,HOME,DEN,L (-23),1,34:04,.610,.567,3.6,17.1,9.8,19.6,1.4,0.0,14.9,26.3,111,130,14.8,-1.2
10,2022-11-16,27-251,CHI,AWAY,NOP,L (-14),1,36:07,.526,.500,0.0,9.5,4.8,20.7,0.0,0.0,11.2,32.8,100,131,13.4,-1.7
11,2022-11-18,27-253,CHI,HOME,ORL,L (-1),1,25:13,.134,.071,4.0,19.5,10.9,9.7,0.0,0.0,6.3,27.2,43,117,-3.1,-22.0
12,2022-11-21,27-256,CHI,HOME,BOS,W (+14),1,33:43,.527,.525,6.9,8.9,8.0,20.6,2.8,0.0,12.6,31.2,105,105,13.6,0.1
13,2022-11-23,27-258,CHI,AWAY,MIL,W (+5),1,33:56,.480,.441,3.4,13.8,8.5,20.5,1.4,0.0,5.1,25.9,104,113,11.9,-5.1
14,2022-11-25,27-260,CHI,AWAY,OKC,L (-4),1,45:03,.527,.478,4.4,8.2,6.1,17.6,1.1,0.0,13.5,27.6,104,116,15.3,-0.2
15,2022-11-28,27-263,CHI,AWAY,UTA,W (+7),1,34:07,.442,.375,0.0,18.4,8.9,21.2,1.5,0.0,4.2,30.0,101,112,13.3,-0.9
16,2022-11-30,27-265,CHI,AWAY,PHO,L (-19),1,34:15,.581,.500,3.4,10.5,6.9,31.5,0.0,0.0,5.2,24.9,124,134,18.4,2.6
17,2022-12-02,27-267,CHI,AWAY,GSW,L (-8),1,35:50,.543,.528,2.7,17.9,10.0,12.4,2.5,0.0,13.4,25.9,95,108,12.8,0.1
18,2022-12-04,27-269,CHI,AWAY,SAC,L (-9),1,35:52,.660,.625,5.6,21.7,12.6,16.1,5.2,0.0,6.0,40.1,125,100,33.6,18.4
