,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,26-314,CHO,AWAY,SAS,W (+27),1,22:38,.574,.550,0.0,16.6,8.9,11.3,6.1,0.0,0.0,20.2,131,89,11.6,3.8
1,2022-10-21,26-316,CHO,HOME,NOP,L (-12),1,30:12,.540,.538,3.2,11.6,7.1,0.0,4.7,0.0,12.6,21.7,93,117,8.9,-4.4
2,2022-10-23,26-318,CHO,AWAY,ATL,W (+17),1,32:30,.563,.525,6.9,21.9,15.2,0.0,1.5,0.0,4.5,28.4,119,106,15.8,-2.6
3,2022-10-26,26-321,CHO,AWAY,NYK,L (-3),1,35:12,.440,.417,3.5,13.4,8.6,0.0,2.7,2.2,9.4,25.2,83,118,7.4,-9.9
4,2022-10-28,26-323,CHO,AWAY,ORL,L (-20),1,21:51,.338,.313,8.3,10.5,9.2,9.1,0.0,0.0,5.3,37.3,73,116,2.9,-10.5
5,2022-10-29,26-324,CHO,HOME,GSW,W (+7),1,38:16,.477,.472,2.6,11.1,6.7,20.8,0.0,2.5,0.0,20.8,111,109,13.9,3.1
6,2022-10-31,26-326,CHO,HOME,SAC,L (-7),1,25:01,.615,.615,0.0,18.3,9.6,12.2,1.9,0.0,13.3,26.1,101,114,10.1,-0.6
7,2022-11-02,26-328,CHO,AWAY,CHI,L (-18),1,30:02,.671,.676,3.0,14.2,8.2,7.4,3.2,2.8,0.0,24.8,133,105,19.8,13.2
8,2022-11-04,26-330,CHO,AWAY,MEM,L (-31),1,24:36,.581,.500,0.0,4.2,1.9,8.4,3.8,0.0,12.0,27.6,104,126,10.0,-1.9
9,2022-11-05,26-331,CHO,HOME,BRK,L (-4),1,31:06,.527,.500,0.0,3.4,1.7,0.0,0.0,0.0,5.5,25.1,104,113,6.3,-4.2
10,2022-11-07,26-333,CHO,HOME,WAS,L (-8),1,28:43,.469,.425,0.0,4.4,1.8,0.0,0.0,0.0,4.5,31.6,97,119,6.5,-9.3
11,2022-11-09,26-335,CHO,HOME,POR,L (-10),1,35:53,.362,.289,9.4,17.8,12.3,14.7,1.5,0.0,4.3,27.4,94,118,9.2,-5.8
12,2022-11-10,26-336,CHO,AWAY,MIA,L (-5),1,38:44,.725,.725,0.0,19.2,10.9,9.8,2.6,2.5,13.0,26.9,121,105,20.6,10.6
13,2022-11-12,26-338,CHO,AWAY,MIA,L (-17),1,33:45,.577,.563,3.5,23.7,13.7,4.1,0.0,2.7,5.5,23.9,109,127,14.4,-1.6
14,2022-11-14,26-340,CHO,AWAY,ORL,W (+7),1,33:49,.372,.278,10.6,6.3,8.3,0.0,9.2,0.0,4.4,28.9,92,104,10.7,-6.1
15,2022-11-16,26-342,CHO,HOME,IND,L (-12),1,35:31,.405,.405,23.1,21.9,22.5,8.4,2.7,0.0,4.5,25.0,104,124,13.0,-4.6
16,2022-11-18,26-344,CHO,AWAY,CLE,L (-10),1,38:45,.733,.690,2.5,7.0,4.4,0.0,3.9,0.0,7.9,28.0,135,113,24.0,10.5
17,2022-11-20,26-346,CHO,AWAY,WAS,L (-4),1,29:21,.551,.525,3.3,19.6,11.4,0.0,1.6,2.8,0.0,27.7,119,100,16.0,6.8
18,2022-11-23,26-349,CHO,HOME,PHI,W (+6),1,32:48,.441,.400,6.1,7.1,6.6,4.2,2.8,0.0,5.9,21.3,94,98,8.4,-3.9
19,2022-11-25,26-351,CHO,HOME,MIN,W (+2),1,34:22,.571,.548,5.7,11.0,8.4,10.7,4.0,0.0,0.0,28.5,127,99,22.7,10.0
20,2022-11-28,26-354,CHO,AWAY,BOS,L (-35),1,26:05,.597,.611,8.6,16.7,12.1,25.4,3.8,0.0,14.0,35.0,107,138,16.0,0.0
21,2022-12-02,26-358,CHO,HOME,WAS,W (+1),1,37:54,.483,.476,6.7,11.5,8.8,8.9,2.7,0.0,0.0,25.6,114,123,15.6,-1.3
22,2022-12-03,26-359,CHO,HOME,MIL,L (-9),1,39:20,.519,.321,0.0,5.7,2.7,0.0,2.4,0.0,4.9,22.0,107,105,11.4,-2.7
23,2022-12-05,26-361,CHO,HOME,LAC,L (-2),1,40:00,.546,.522,10.0,7.5,8.8,6.9,0.0,0.0,3.8,27.7,120,127,19.2,-1.9
24,2022-12-07,26-363,CHO,AWAY,BRK,L (-6),1,40:51,.631,.625,5.3,20.1,11.9,3.4,2.4,2.1,8.3,26.1,119,121,21.8,3.2
25,2022-12-09,27-000,CHO,HOME,NYK,L (-19),1,37:08,.495,.450,5.9,5.3,5.6,4.8,2.7,2.2,4.3,27.7,108,127,15.2,0.5
26,2022-12-11,27-002,CHO,AWAY,PHI,L (-18),1,36:55,.556,.543,2.8,6.7,4.5,5.5,2.6,2.3,7.1,30.1,111,129,16.8,-0.3
27,2022-12-14,27-005,CHO,HOME,DET,L (-7),1,39:57,.479,.463,2.3,19.8,10.2,3.9,3.6,2.5,3.3,30.4,105,122,16.5,-1.1
28,2022-12-19,27-010,CHO,AWAY,SAC,W (+6),1,38:27,.561,.540,2.9,18.2,11.5,3.7,1.2,2.0,12.6,33.2,102,112,18.2,-1.8
29,2022-12-21,27-012,CHO,AWAY,LAC,L (-21),1,28:52,.378,.300,3.1,4.9,3.8,11.0,4.6,0.0,5.5,25.5,83,114,6.5,-6.8
30,2023-03-01,27-082,CHO,HOME,PHO,L (-14),1,38:06,.496,.438,6.9,18.4,11.8,6.1,0.0,2.0,3.7,30.2,103,106,15.5,2.3
31,2023-03-03,27-084,CHO,HOME,ORL,L (-11),1,40:33,.684,.632,3.2,27.3,15.6,9.0,2.4,0.0,12.4,26.0,121,116,21.9,3.1
32,2023-03-05,27-086,CHO,AWAY,BRK,L (-16),1,35:16,.459,.333,0.0,18.3,9.4,0.0,0.0,2.8,5.1,25.4,89,105,8.7,-4.0
33,2023-03-07,27-088,CHO,AWAY,NYK,W (+7),1,35:34,.720,.676,3.5,12.9,8.3,9.5,0.0,2.8,5.1,25.6,141,115,20.5,6.2
34,2023-03-09,27-090,CHO,AWAY,DET,W (+10),1,38:03,.742,.688,11.5,0.0,5.5,8.0,1.3,0.0,0.0,20.5,163,115,24.2,7.2
