,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 19, 2022",2022,10,19,8:00p,False,SAS,W,False,129,102,1,0,W 1
1,"Fri, Oct 21, 2022",2022,10,21,7:00p,True,NOP,L,False,112,124,1,1,L 1
2,"Sun, Oct 23, 2022",2022,10,23,5:00p,False,ATL,W,False,126,109,2,1,W 1
3,"Wed, Oct 26, 2022",2022,10,26,7:30p,False,NYK,L,True,131,134,2,2,L 1
4,"Fri, Oct 28, 2022",2022,10,28,7:00p,False,ORL,L,False,93,113,2,3,L 2
5,"Sat, Oct 29, 2022",2022,10,29,7:00p,True,GSW,W,True,120,113,3,3,W 1
6,"Mon, Oct 31, 2022",2022,10,31,7:00p,True,SAC,L,False,108,115,3,4,L 1
7,"Wed, Nov 2, 2022",2022,11,2,8:00p,False,CHI,L,False,88,106,3,5,L 2
8,"Fri, Nov 4, 2022",2022,11,4,8:00p,False,MEM,L,False,99,130,3,6,L 3
9,"Sat, Nov 5, 2022",2022,11,5,7:00p,True,BRK,L,False,94,98,3,7,L 4
10,"Mon, Nov 7, 2022",2022,11,7,7:00p,True,WAS,L,False,100,108,3,8,L 5
11,"Wed, Nov 9, 2022",2022,11,9,7:00p,True,POR,L,False,95,105,3,9,L 6
12,"Thu, Nov 10, 2022",2022,11,10,7:30p,False,MIA,L,True,112,117,3,10,L 7
13,"Sat, Nov 12, 2022",2022,11,12,8:00p,False,MIA,L,False,115,132,3,11,L 8
14,"Mon, Nov 14, 2022",2022,11,14,7:00p,False,ORL,W,False,112,105,4,11,W 1
15,"Wed, Nov 16, 2022",2022,11,16,7:00p,True,IND,L,False,113,125,4,12,L 1
16,"Fri, Nov 18, 2022",2022,11,18,7:30p,False,CLE,L,True,122,132,4,13,L 2
17,"Sun, Nov 20, 2022",2022,11,20,6:00p,False,WAS,L,False,102,106,4,14,L 3
18,"Wed, Nov 23, 2022",2022,11,23,7:00p,True,PHI,W,False,107,101,5,14,W 1
19,"Fri, Nov 25, 2022",2022,11,25,5:00p,True,MIN,W,False,110,108,6,14,W 2
21,"Mon, Nov 28, 2022",2022,11,28,7:30p,False,BOS,L,False,105,140,6,15,L 1
22,"Fri, Dec 2, 2022",2022,12,2,7:00p,True,WAS,W,False,117,116,7,15,W 1
23,"Sat, Dec 3, 2022",2022,12,3,6:00p,True,MIL,L,False,96,105,7,16,L 1
24,"Mon, Dec 5, 2022",2022,12,5,7:00p,True,LAC,L,False,117,119,7,17,L 2
25,"Wed, Dec 7, 2022",2022,12,7,7:30p,False,BRK,L,False,116,122,7,18,L 3
26,"Fri, Dec 9, 2022",2022,12,9,7:00p,True,NYK,L,False,102,121,7,19,L 4
27,"Sun, Dec 11, 2022",2022,12,11,6:00p,False,PHI,L,False,113,131,7,20,L 5
28,"Wed, Dec 14, 2022",2022,12,14,7:00p,True,DET,L,True,134,141,7,21,L 6
29,"Fri, Dec 16, 2022",2022,12,16,7:00p,True,ATL,L,False,106,125,7,22,L 7
30,"Sun, Dec 18, 2022",2022,12,18,8:00p,False,DEN,L,False,115,119,7,23,L 8
31,"Mon, Dec 19, 2022",2022,12,19,10:00p,False,SAC,W,False,125,119,8,23,W 1
32,"Wed, Dec 21, 2022",2022,12,21,10:30p,False,LAC,L,False,105,126,8,24,L 1
33,"Fri, Dec 23, 2022",2022,12,23,10:30p,False,LAL,W,False,134,130,9,24,W 1
34,"Mon, Dec 26, 2022",2022,12,26,10:00p,False,POR,L,False,113,124,9,25,L 1
35,"Tue, Dec 27, 2022",2022,12,27,10:00p,False,GSW,L,False,105,110,9,26,L 2
36,"Thu, Dec 29, 2022",2022,12,29,7:00p,True,OKC,W,False,121,113,10,26,W 1
37,"Sat, Dec 31, 2022",2022,12,31,7:00p,True,BRK,L,False,106,123,10,27,L 1
38,"Mon, Jan 2, 2023",2023,1,2,7:00p,True,LAL,L,False,115,121,10,28,L 2
39,"Wed, Jan 4, 2023",2023,1,4,7:00p,True,MEM,L,False,107,131,10,29,L 3
40,"Fri, Jan 6, 2023",2023,1,6,8:00p,False,MIL,W,False,138,109,11,29,W 1
42,"Sun, Jan 8, 2023",2023,1,8,5:00p,False,IND,L,False,111,116,11,30,L 1
43,"Tue, Jan 10, 2023",2023,1,10,7:30p,False,TOR,L,False,120,132,11,31,L 2
44,"Thu, Jan 12, 2023",2023,1,12,7:30p,False,TOR,L,False,114,124,11,32,L 3
45,"Sat, Jan 14, 2023",2023,1,14,7:00p,True,BOS,L,False,106,122,11,33,L 4
46,"Mon, Jan 16, 2023",2023,1,16,1:00p,True,BOS,L,False,118,130,11,34,L 5
47,"Wed, Jan 18, 2023",2023,1,18,8:00p,False,HOU,W,False,122,117,12,34,W 1
48,"Sat, Jan 21, 2023",2023,1,21,7:30p,False,ATL,W,False,122,118,13,34,W 2
49,"Mon, Jan 23, 2023",2023,1,23,9:00p,False,UTA,L,False,102,120,13,35,L 1
50,"Tue, Jan 24, 2023",2023,1,24,9:00p,False,PHO,L,False,97,128,13,36,L 2
51,"Thu, Jan 26, 2023",2023,1,26,7:30p,True,CHI,W,False,111,96,14,36,W 1
52,"Sun, Jan 29, 2023",2023,1,29,1:00p,True,MIA,W,False,122,117,15,36,W 2
53,"Tue, Jan 31, 2023",2023,1,31,8:00p,False,MIL,L,False,115,124,15,37,L 1
54,"Thu, Feb 2, 2023",2023,2,2,8:00p,False,CHI,L,False,98,114,15,38,L 2
55,"Fri, Feb 3, 2023",2023,2,3,7:00p,False,DET,L,False,112,118,15,39,L 3
56,"Sun, Feb 5, 2023",2023,2,5,1:00p,True,ORL,L,False,113,119,15,40,L 4
57,"Wed, Feb 8, 2023",2023,2,8,7:00p,False,WAS,L,False,104,118,15,41,L 5
58,"Fri, Feb 10, 2023",2023,2,10,7:30p,False,BOS,L,False,116,127,15,42,L 6
59,"Sat, Feb 11, 2023",2023,2,11,7:00p,True,DEN,L,False,105,119,15,43,L 7
60,"Mon, Feb 13, 2023",2023,2,13,7:00p,True,ATL,W,False,144,138,16,43,W 1
61,"Wed, Feb 15, 2023",2023,2,15,7:00p,True,SAS,W,False,120,110,17,43,W 2
63,"Fri, Feb 24, 2023",2023,2,24,8:00p,False,MIN,W,False,121,113,18,43,W 3
64,"Sat, Feb 25, 2023",2023,2,25,7:00p,True,MIA,W,False,108,103,19,43,W 4
65,"Mon, Feb 27, 2023",2023,2,27,7:00p,True,DET,W,False,117,106,20,43,W 5
66,"Wed, Mar 1, 2023",2023,3,1,7:00p,True,PHO,L,False,91,105,20,44,L 1
