,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,23-233,DAL,AWAY,PHO,L (-2),1,36:40,.609,.478,0.0,27.4,14.7,35.9,1.4,0.0,12.2,42.0,118,110,25.6,7.3
1,2022-10-22,23-236,DAL,HOME,MEM,W (+41),1,29:58,.635,.609,8.4,18.6,13.8,62.1,3.2,7.0,10.6,37.4,143,90,29.8,22.6
2,2022-10-25,23-239,DAL,AWAY,NOP,L (-2),1,36:19,.575,.567,12.0,35.2,23.1,46.6,2.9,2.7,8.5,44.9,126,120,29.5,11.2
3,2022-10-27,23-241,DAL,AWAY,BRK,W (+4),1,40:30,.608,.536,3.4,30.4,17.6,80.8,3.8,0.0,12.9,44.7,129,112,36.9,12.7
4,2022-10-29,23-243,DAL,HOME,OKC,L (-6),1,40:00,.494,.348,5.3,40.3,22.1,48.4,1.2,0.0,8.7,36.1,111,105,24.7,8.7
5,2022-10-30,23-244,DAL,HOME,ORL,W (+9),1,36:55,.684,.692,0.0,9.1,4.6,34.4,1.4,0.0,0.0,42.1,142,118,34.4,15.9
6,2022-11-02,23-247,DAL,HOME,UTA,W (+3),1,35:28,.676,.650,0.0,16.1,8.8,57.8,2.9,0.0,17.0,39.2,126,107,27.6,14.7
7,2022-11-04,23-249,DAL,HOME,TOR,W (+1),1,36:33,.827,.767,4.1,21.4,14.0,30.5,4.1,2.4,15.9,31.2,146,106,32.8,16.8
8,2022-11-07,23-252,DAL,HOME,BRK,W (+2),1,38:25,.660,.614,0.0,17.4,10.0,41.1,2.9,2.4,15.5,38.6,127,104,25.5,14.9
9,2022-11-09,23-254,DAL,AWAY,ORL,L (-7),1,35:25,.374,.345,0.0,28.0,10.4,41.1,4.4,5.2,0.0,44.7,83,94,15.3,6.8
10,2022-11-10,23-255,DAL,AWAY,WAS,L (-8),1,39:10,.441,.452,0.0,26.3,11.9,27.0,2.5,0.0,16.7,34.2,83,110,11.2,-5.0
11,2022-11-12,23-257,DAL,HOME,POR,W (+5),1,37:41,.702,.614,9.8,28.3,19.7,52.1,2.7,2.6,6.3,39.3,149,111,42.2,20.9
12,2022-11-15,23-260,DAL,HOME,LAC,W (+2),1,39:43,.652,.545,5.4,37.5,18.0,27.8,3.9,0.0,10.1,35.2,129,105,30.4,11.6
13,2022-11-18,23-263,DAL,HOME,DEN,W (+28),1,34:52,.615,.545,4.7,29.7,20.7,49.1,1.5,0.0,6.9,40.0,136,101,31.5,10.0
14,2022-11-20,23-265,DAL,HOME,DEN,L (-1),1,35:39,.539,.500,0.0,35.6,15.1,42.1,1.4,0.0,16.4,33.1,103,103,16.5,2.8
15,2022-11-23,23-268,DAL,AWAY,BOS,L (-13),1,39:36,.657,.661,3.3,23.6,13.3,46.6,0.0,0.0,13.5,42.6,122,131,30.1,9.1
16,2022-11-26,23-271,DAL,AWAY,TOR,L (-5),1,42:43,.633,.600,0.0,16.7,9.6,38.9,2.4,1.8,17.4,25.9,114,109,21.8,6.4
17,2022-11-27,23-272,DAL,AWAY,MIL,L (-9),1,35:05,.563,.575,0.0,20.1,9.5,60.1,0.0,0.0,20.0,39.4,109,132,18.1,1.0
18,2022-11-29,23-274,DAL,HOME,GSW,W (+3),1,39:17,.610,.593,5.1,29.8,16.5,58.9,4.7,2.7,13.0,40.7,121,97,36.6,19.8
19,2022-12-01,23-276,DAL,AWAY,DET,L (-6),1,41:02,.633,.660,0.0,16.6,7.9,44.2,3.7,0.0,9.8,35.4,123,123,28.4,10.5
20,2022-12-03,23-278,DAL,AWAY,NYK,W (+21),1,29:28,.659,.619,0.0,30.3,13.7,45.5,1.6,10.6,18.0,38.6,118,91,24.3,16.2
21,2022-12-05,23-280,DAL,HOME,PHO,W (+19),1,29:25,.715,.700,4.3,18.5,11.9,53.5,1.7,6.0,11.5,39.6,143,112,29.0,17.1
22,2022-12-06,23-281,DAL,AWAY,DEN,W (+1),1,37:20,.525,.412,0.0,33.0,18.1,52.2,0.0,2.8,19.3,33.2,109,120,18.0,1.2
23,2022-12-09,23-284,DAL,HOME,MIL,L (-1),1,36:33,.509,.518,2.6,14.9,8.4,60.4,2.7,0.0,3.0,40.4,118,110,26.3,14.8
24,2022-12-12,23-287,DAL,HOME,OKC,W (+7),1,36:59,.605,.537,0.0,32.4,15.5,46.9,0.0,0.0,11.3,38.9,127,115,27.6,8.0
25,2022-12-14,23-289,DAL,HOME,CLE,L (-15),1,39:19,.539,.435,5.5,11.4,8.0,40.7,1.4,2.3,15.2,41.1,103,118,18.7,5.3
26,2022-12-16,23-291,DAL,HOME,POR,W (+20),1,28:49,.783,.750,0.0,21.3,12.2,56.2,0.0,0.0,15.9,40.0,140,112,27.3,13.2
27,2022-12-19,23-294,DAL,AWAY,MIN,L (-10),1,28:24,.473,.382,3.9,19.7,11.8,52.5,1.8,0.0,16.6,38.9,99,119,12.0,-1.7
28,2022-12-21,23-296,DAL,AWAY,MIN,W (+5),1,37:04,.626,.531,3.4,25.9,14.9,54.8,4.2,0.0,16.7,31.1,125,101,25.3,12.6
29,2022-12-23,23-298,DAL,AWAY,HOU,W (+6),1,42:16,.709,.667,0.0,23.3,11.5,68.0,3.6,0.0,16.6,45.3,126,109,39.2,16.5
30,2022-12-25,23-300,DAL,HOME,LAL,W (+9),1,39:18,.694,.625,9.2,22.2,15.1,33.3,2.6,0.0,11.5,30.0,144,121,30.0,9.7
31,2022-12-27,23-302,DAL,HOME,NYK,W (+5),1,47:09,.737,.710,12.5,31.6,23.1,55.1,2.2,2.1,9.0,44.2,147,105,56.3,25.3
