,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-20,32-187,LAC,AWAY,LAL,W (+6),1,23:28,.405,.389,0.0,3.7,2.1,26.5,2.0,0.0,16.8,21.0,86,98,4.6,-1.4
1,2022-10-22,32-189,LAC,AWAY,SAC,W (+2),1,26:46,1.108,1.100,0.0,8.2,4.5,26.5,1.8,0.0,32.2,16.1,147,114,13.4,8.2
2,2022-10-23,32-190,LAC,HOME,PHO,L (-17),1,23:45,.000,.000,0.0,8.6,4.4,11.2,2.1,0.0,0.0,9.6,25,121,-0.5,-10.4
3,2022-10-25,32-192,LAC,AWAY,OKC,L (-14),1,30:00,.265,.265,0.0,7.9,4.5,33.6,0.0,0.0,15.0,29.4,61,116,0.0,-15.6
4,2022-10-27,32-194,LAC,AWAY,OKC,L (-8),1,37:14,.692,.692,0.0,5.5,3.2,15.3,1.4,0.0,0.0,15.4,154,128,16.1,3.4
5,2022-10-30,32-197,LAC,HOME,NOP,L (-21),1,27:21,.375,.375,7.6,12.2,9.9,18.2,1.9,0.0,25.0,26.6,69,119,3.2,-10.4
6,2022-10-31,32-198,LAC,HOME,HOU,W (+2),1,30:02,.253,.182,3.6,3.6,3.6,28.4,0.0,0.0,7.8,19.2,75,103,2.9,-10.3
7,2022-11-02,32-200,LAC,AWAY,HOU,W (+8),1,33:20,.470,.364,0.0,0.0,0.0,12.3,1.5,2.9,0.0,17.3,112,111,8.9,-4.4
8,2022-11-04,32-202,LAC,AWAY,SAS,W (+7),1,37:08,.589,.545,0.0,8.3,4.9,18.2,0.0,0.0,14.4,17.2,112,111,10.3,-3.6
9,2022-11-06,32-204,LAC,HOME,UTA,L (-8),1,19:41,.500,.500,0.0,7.0,3.3,0.0,2.5,0.0,25.0,9.2,69,114,1.2,-7.0
10,2022-11-07,32-205,LAC,HOME,CLE,W (+2),1,36:14,.705,.636,0.0,7.2,3.4,28.9,0.0,0.0,23.9,22.1,121,128,12.6,-2.2
11,2022-11-09,32-207,LAC,HOME,LAL,W (+13),1,24:02,.500,.500,0.0,0.0,0.0,22.2,2.0,0.0,22.2,33.5,81,106,4.1,-12.9
12,2022-11-12,32-210,LAC,HOME,BRK,L (-15),1,33:20,.600,.600,3.2,17.1,9.9,27.8,1.5,0.0,37.5,10.5,99,114,6.9,-2.1
13,2022-11-14,32-212,LAC,AWAY,HOU,W (+16),1,22:48,.773,.773,0.0,9.4,5.0,48.1,0.0,0.0,21.4,26.4,128,110,12.3,4.3
14,2022-11-15,32-213,LAC,AWAY,DAL,L (-2),1,25:07,.429,.429,0.0,17.0,10.3,13.5,2.1,0.0,22.2,17.8,75,111,3.9,-6.9
15,2022-11-17,32-215,LAC,HOME,DET,W (+5),1,34:36,.786,.708,0.0,8.2,4.4,17.9,0.0,2.4,12.0,21.1,144,95,17.9,11.0
16,2022-11-19,32-217,LAC,HOME,SAS,W (+22),1,30:09,.874,.909,0.0,11.1,6.1,20.4,1.7,0.0,8.0,19.5,155,108,18.4,9.4
17,2022-11-21,32-219,LAC,HOME,UTA,W (+7),1,36:20,.620,.575,3.2,5.9,4.6,15.6,0.0,0.0,0.0,24.9,141,123,19.5,1.9
18,2022-11-23,32-221,LAC,AWAY,GSW,L (-17),1,22:26,.557,.500,0.0,4.8,2.4,42.2,2.1,0.0,33.6,28.0,89,123,5.2,-6.6
19,2022-11-25,32-223,LAC,HOME,DEN,L (-10),1,31:10,.563,.563,0.0,19.7,11.0,40.0,0.0,0.0,33.3,19.1,100,126,7.7,-3.6
20,2022-11-27,32-225,LAC,HOME,IND,W (+14),1,25:58,.250,.250,0.0,14.0,7.3,19.3,3.6,0.0,16.7,17.6,66,94,2.8,-6.4
21,2022-11-29,32-227,LAC,AWAY,POR,W (+6),1,41:05,.485,.435,7.3,10.9,9.0,46.0,0.0,2.1,10.8,28.4,116,120,20.5,-0.2
22,2022-11-30,32-228,LAC,AWAY,UTA,L (-13),1,24:47,.638,.600,0.0,5.5,2.3,21.3,4.0,0.0,14.5,22.4,122,127,10.4,2.0
23,2022-12-03,32-231,LAC,HOME,SAC,L (-27),1,23:11,.211,.125,3.8,0.0,2.2,0.0,0.0,0.0,26.0,32.7,38,128,-7.5,-26.1
24,2022-12-05,32-233,LAC,AWAY,CHO,W (+2),1,31:56,.500,.500,3.1,3.1,3.1,8.0,0.0,0.0,13.3,19.7,96,125,5.5,-9.0
25,2022-12-07,32-235,LAC,AWAY,ORL,L (-5),1,31:14,.352,.300,3.1,0.0,1.6,16.7,0.0,0.0,8.6,32.6,82,124,3.4,-12.7
26,2022-12-08,32-236,LAC,AWAY,MIA,L (-5),1,34:00,.597,.533,6.6,9.8,8.2,14.8,0.0,0.0,19.3,27.8,104,123,10.7,-5.4
27,2022-12-12,32-240,LAC,HOME,BOS,W (+20),1,26:47,.438,.438,0.0,9.0,4.4,9.3,3.8,0.0,20.0,16.6,82,96,3.8,-3.3
28,2022-12-14,32-242,LAC,HOME,MIN,W (+11),1,25:39,.530,.500,0.0,12.5,5.9,7.1,3.9,0.0,9.6,17.4,102,88,6.3,-0.6
29,2022-12-21,32-249,LAC,HOME,CHO,W (+21),1,21:45,.850,.800,0.0,8.2,5.0,19.3,2.0,0.0,25.4,14.7,132,99,8.6,3.8
30,2022-12-23,32-251,LAC,AWAY,PHI,L (-5),1,25:10,.333,.333,4.9,5.8,5.3,10.3,2.0,0.0,14.3,13.1,81,128,2.6,-10.0
31,2022-12-26,32-254,LAC,AWAY,DET,W (+11),1,19:06,1.017,1.000,0.0,5.1,3.0,15.8,2.5,0.0,22.5,20.1,153,120,10.5,3.9
32,2022-12-27,32-255,LAC,AWAY,TOR,W (+11),1,31:26,.667,.667,0.0,3.6,1.8,14.7,0.0,0.0,6.3,21.8,134,126,13.7,-0.8
33,2022-12-29,32-257,LAC,AWAY,BOS,L (-6),1,24:08,.444,.444,4.3,13.6,8.8,16.1,0.0,0.0,10.0,18.6,98,122,4.8,-5.1
34,2022-12-31,32-259,LAC,AWAY,IND,L (-1),1,32:34,.781,.714,0.0,15.1,7.9,11.9,0.0,2.9,19.4,14.1,134,134,10.5,-2.5
35,2023-01-02,32-261,LAC,HOME,MIA,L (-10),1,29:49,.431,.400,0.0,7.5,3.9,35.7,1.7,0.0,8.7,19.0,96,122,7.7,-3.2
36,2023-01-05,32-264,LAC,AWAY,DEN,L (-31),1,17:58,.167,.167,9.7,0.0,5.5,17.1,0.0,0.0,0.0,14.7,65,132,0.6,-13.0
37,2023-01-06,32-265,LAC,AWAY,MIN,L (-13),1,17:57,.111,.111,5.0,0.0,3.1,19.4,2.7,0.0,0.0,20.1,57,132,-0.5,-16.5
38,2023-03-31,32-349,DEN,AWAY,PHO,L (-7),1,34:23,.464,.464,2.6,2.8,2.7,18.9,1.4,0.0,17.6,20.7,89,110,7.0,-4.7
39,2023-04-06,32-355,DEN,AWAY,PHO,L (-4),1,30:07,.597,.533,0.0,13.3,6.7,29.1,3.5,0.0,10.7,28.4,123,126,16.2,2.4
