,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 19, 2022",2022,10,19,9:00p,False,UTA,L,False,102,123,0,1,L 1
1,"Fri, Oct 21, 2022",2022,10,21,10:00p,False,GSW,W,False,128,123,1,1,W 1
2,"Sat, Oct 22, 2022",2022,10,22,9:00p,True,OKC,W,False,122,117,2,1,W 2
3,"Mon, Oct 24, 2022",2022,10,24,10:00p,False,POR,L,False,110,135,2,2,L 1
4,"Wed, Oct 26, 2022",2022,10,26,10:00p,True,LAL,W,False,110,99,3,2,W 1
5,"Fri, Oct 28, 2022",2022,10,28,9:00p,True,UTA,W,False,117,101,4,2,W 2
6,"Sun, Oct 30, 2022",2022,10,30,9:30p,False,LAL,L,False,110,121,4,3,L 1
7,"Thu, Nov 3, 2022",2022,11,3,8:00p,False,OKC,W,False,122,110,5,3,W 1
8,"Sat, Nov 5, 2022",2022,11,5,9:00p,True,SAS,W,False,126,101,6,3,W 2
9,"Mon, Nov 7, 2022",2022,11,7,9:30p,False,SAS,W,False,115,109,7,3,W 3
10,"Wed, Nov 9, 2022",2022,11,9,7:00p,False,IND,W,False,122,119,8,3,W 4
11,"Fri, Nov 11, 2022",2022,11,11,7:00p,False,BOS,L,False,112,131,8,4,L 1
12,"Sun, Nov 13, 2022",2022,11,13,8:00p,False,CHI,W,False,126,103,9,4,W 1
13,"Wed, Nov 16, 2022",2022,11,16,10:00p,True,NYK,L,False,103,106,9,5,L 1
14,"Fri, Nov 18, 2022",2022,11,18,8:30p,False,DAL,L,False,99,127,9,6,L 2
15,"Sun, Nov 20, 2022",2022,11,20,7:30p,False,DAL,W,False,98,97,10,6,W 1
16,"Tue, Nov 22, 2022",2022,11,22,9:00p,True,DET,L,False,108,110,10,7,L 1
17,"Wed, Nov 23, 2022",2022,11,23,8:00p,False,OKC,W,True,131,126,11,7,W 1
