,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-14,23-245,DET,HOME,TOR,L (-4),1,28:54,.649,.591,12.2,8.3,10.3,0.0,1.7,0.0,14.0,20.7,118,119,11.2,-2.6
1,2022-11-17,23-248,DET,AWAY,LAC,L (-5),1,22:31,.340,.200,8.4,29.7,18.1,0.0,0.0,0.0,25.4,15.2,66,101,0.9,-12.3
2,2022-11-18,23-249,DET,AWAY,LAL,L (-7),1,22:41,.506,.500,0.0,18.7,7.8,0.0,2.0,0.0,0.0,19.7,101,124,6.3,-7.2
3,2022-11-20,23-251,DET,AWAY,SAC,L (-8),1,20:56,.670,.556,10.7,27.8,18.1,0.0,2.3,4.6,8.2,25.2,136,130,12.0,-1.8
4,2022-11-22,23-253,DET,AWAY,DEN,W (+2),1,22:12,.875,.875,11.1,5.0,7.9,0.0,0.0,6.5,11.1,17.7,150,114,12.5,6.0
5,2022-11-23,23-254,DET,AWAY,UTA,W (+9),1,20:49,.910,.900,11.8,24.9,18.2,19.8,4.8,0.0,0.0,22.3,188,112,21.2,19.6
6,2022-11-25,23-256,DET,AWAY,PHO,L (-6),1,31:19,.542,.542,21.0,18.7,20.0,5.1,1.6,2.6,7.7,17.0,126,109,14.0,2.1
7,2022-11-27,23-258,DET,HOME,CLE,L (-8),1,27:44,.612,.542,4.6,39.9,22.5,0.0,5.6,3.5,16.2,31.0,106,94,15.1,5.7
8,2022-11-29,23-260,DET,HOME,NYK,L (-30),1,23:22,.650,.650,10.0,25.7,17.8,12.9,0.0,0.0,28.6,26.7,95,140,7.5,-6.4
9,2022-12-01,23-262,DET,HOME,DAL,W (+6),1,34:14,.752,.750,15.9,32.4,24.5,7.7,1.5,0.0,7.3,18.0,155,119,19.7,5.0
10,2022-12-04,23-265,DET,HOME,MEM,L (-10),1,20:59,.444,.444,5.4,21.3,13.5,0.0,0.0,4.0,0.0,18.5,93,121,5.1,-8.2
11,2022-12-06,23-267,DET,AWAY,MIA,W (+20),1,19:14,.333,.333,17.8,6.6,12.5,0.0,5.3,0.0,0.0,14.2,100,97,4.6,-6.0
12,2022-12-07,23-268,DET,AWAY,NOP,L (-6),1,19:40,.000,.000,0.0,11.1,5.3,0.0,0.0,0.0,0.0,9.0,0,107,-3.0,-14.0
13,2023-03-04,23-355,DET,AWAY,CLE,L (-24),1,34:05,.683,.708,16.4,25.0,20.8,13.0,1.4,7.4,12.0,20.4,128,107,21.2,9.2
14,2023-03-06,23-357,DET,HOME,POR,L (-6),1,36:17,.417,.417,10.8,12.9,11.8,4.0,0.0,5.9,20.0,17.9,82,120,5.5,-12.4
15,2023-03-07,23-358,DET,HOME,WAS,L (-2),1,29:29,.727,.667,8.6,16.8,12.1,19.6,0.0,0.0,16.2,19.2,137,134,13.8,0.7
16,2023-03-09,23-360,DET,HOME,CHO,L (-10),1,20:47,.510,.400,4.8,10.5,7.5,0.0,0.0,0.0,25.4,15.6,87,120,1.8,-12.1
17,2023-03-11,23-362,DET,HOME,IND,L (-6),1,22:17,.333,.333,8.3,13.5,10.8,5.9,0.0,0.0,10.0,18.3,78,122,2.1,-13.8
18,2023-03-19,24-005,DET,HOME,MIA,L (-12),1,29:37,.568,.545,7.5,4.3,6.0,22.9,0.0,4.1,7.5,21.5,121,128,10.9,0.1
19,2023-03-21,24-007,DET,AWAY,ATL,L (-22),1,41:19,.763,.737,4.7,14.8,9.7,5.0,3.6,4.1,0.0,21.4,154,127,30.4,12.4
20,2023-03-24,24-010,DET,AWAY,TOR,L (-21),1,29:57,.595,.500,12.3,20.9,17.0,0.0,0.0,0.0,20.3,21.9,102,123,8.7,-8.9
21,2023-03-27,24-013,DET,HOME,MIL,L (-9),1,35:44,.627,.591,5.5,19.6,12.5,8.2,1.4,0.0,0.0,14.5,141,125,16.2,3.0
22,2023-03-29,24-015,DET,AWAY,OKC,L (-1),1,22:48,.735,.700,0.0,15.0,7.9,18.8,0.0,3.6,0.0,11.1,166,115,9.0,7.0
23,2023-03-31,24-017,DET,AWAY,HOU,L (-6),1,34:27,.671,.615,3.1,6.8,4.9,4.4,0.0,0.0,11.3,21.8,125,132,13.9,-4.5
24,2023-04-02,24-019,DET,AWAY,ORL,L (-26),1,8:38,.205,.000,0.0,15.4,7.0,0.0,0.0,0.0,0.0,24.7,49,132,-0.9,-21.3
