,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,3,Jordan Poole,PG,6-4,194,1999-06-19,US,3,Michigan
1,5,Kevon Looney,C,6-9,222,1996-02-06,US,7,UCLA
2,23,Draymond Green,PF,6-6,230,1990-03-04,US,10,Michigan State
3,0,Donte DiVincenzo,SG,6-4,203,1997-01-31,US,4,Villanova
4,11,Klay Thompson,SG,6-6,215,1990-02-08,US,9,Washington State
5,0,Jonathan Kuminga,PF,6-8,210,2002-10-06,CD,1,
6,4,Moses Moody,SG,6-6,205,2002-05-31,US,1,Arkansas
7,40,Anthony Lamb,SF,6-6,227,1998-01-20,US,2,University of Vermont
8,1,JaMychal Green,PF,6-8,227,1990-06-21,US,8,Alabama
9,30,Stephen Curry,PG,6-2,185,1988-03-14,US,13,Davidson
10,10,Ty Jerome (TW),SG,6-5,195,1997-07-08,US,3,Virginia
11,22,Andrew Wiggins,SF,6-7,197,1995-02-23,CA,8,Kansas
12,7,Patrick Baldwin Jr.,SF,6-9,220,2002-11-18,US,R,UW-Milwaukee
13,2,Ryan Rollins,PG,6-4,180,2002-07-03,US,R,Toledo
14,9,Andre Iguodala,SF,6-6,215,1984-01-28,US,18,Arizona
15,8,Gary Payton II,PG,6-3,190,1992-12-01,US,6,Oregon State
16,25,Lester Quinones (TW),SG,6-5,208,2000-11-16,US,R,Memphis
