,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,29-306,IND,HOME,WAS,L (-7),1,31:33,.500,.500,11.9,20.7,16.0,15.3,0.0,0.0,5.9,21.3,112,113,12.1,2.0
1,2022-10-21,29-308,IND,HOME,SAS,L (-3),1,24:29,.722,.722,8.9,16.8,12.4,9.5,3.6,3.9,25.0,18.1,113,120,10.1,1.3
2,2022-10-22,29-309,IND,HOME,DET,W (+9),1,15:32,.375,.375,5.5,5.5,5.5,8.0,0.0,5.8,20.0,24.8,76,121,1.2,-12.9
3,2022-10-24,29-311,IND,AWAY,PHI,L (-14),1,27:46,.587,.536,0.0,25.9,12.1,37.5,0.0,0.0,6.1,24.9,129,131,14.4,7.3
4,2022-10-26,29-313,IND,AWAY,CHI,L (-15),1,32:05,.722,.719,3.6,7.3,5.5,23.9,0.0,0.0,10.4,25.7,121,127,18.7,7.2
5,2022-10-28,29-315,IND,AWAY,WAS,W (+10),1,33:22,.735,.735,0.0,16.0,9.1,10.8,0.0,0.0,5.6,23.9,127,120,18.6,4.0
6,2022-10-29,29-316,IND,AWAY,BRK,W (+9),1,38:09,.607,.607,2.8,24.0,13.0,31.0,1.3,0.0,6.7,16.3,146,123,17.1,6.0
7,2022-10-31,29-318,IND,AWAY,BRK,L (-7),1,35:39,.635,.594,3.1,7.9,5.2,31.2,2.6,0.0,14.8,22.6,122,114,18.4,8.2
8,2022-11-04,29-322,IND,HOME,MIA,W (+2),1,40:17,.694,.694,3.1,21.2,12.8,0.0,2.3,0.0,21.7,25.1,92,96,16.1,2.8
9,2022-11-07,29-325,IND,HOME,NOP,W (+7),1,36:12,.577,.531,6.6,8.3,7.5,11.4,2.6,4.2,0.0,20.3,133,119,17.8,4.1
10,2022-11-09,29-327,IND,HOME,DEN,L (-3),1,34:08,.517,.500,0.0,3.2,1.5,0.0,0.0,0.0,0.0,18.9,106,122,8.1,-5.4
11,2022-11-12,29-330,IND,HOME,TOR,W (+14),1,28:22,.693,.700,8.9,18.1,14.4,12.3,0.0,2.9,20.1,29.7,108,104,14.4,3.8
12,2022-11-16,29-334,IND,AWAY,CHO,W (+12),1,30:58,.607,.500,0.0,7.6,4.0,17.1,3.1,2.5,6.0,24.0,126,115,16.2,3.5
13,2022-11-18,29-336,IND,AWAY,HOU,W (+8),1,32:39,.324,.300,3.1,9.4,6.3,5.1,1.5,2.5,20.6,26.2,59,99,-0.1,-11.8
14,2022-11-19,29-337,IND,HOME,ORL,W (+1),1,30:28,.625,.625,0.0,7.7,3.8,9.5,1.6,3.2,7.7,18.1,121,119,10.9,3.7
15,2022-11-21,29-339,IND,HOME,ORL,W (+21),1,21:49,.324,.269,5.8,18.3,12.8,0.0,2.2,0.0,12.6,29.4,69,101,1.6,-15.4
16,2022-11-23,29-341,IND,HOME,MIN,L (-14),1,34:00,.406,.406,5.1,5.6,5.3,9.4,2.9,0.0,20.0,24.3,73,120,3.7,-9.7
17,2022-11-25,29-343,IND,HOME,BRK,W (+11),1,38:49,.797,.767,0.0,9.0,4.7,11.6,3.6,0.0,19.7,22.5,120,112,19.5,4.1
18,2022-11-27,29-345,IND,AWAY,LAC,L (-14),1,31:05,.317,.250,2.9,9.7,6.1,14.8,3.0,0.0,16.0,25.2,65,111,3.3,-9.4
19,2022-11-28,29-346,IND,AWAY,LAL,W (+1),1,31:52,.493,.423,5.9,5.5,5.7,4.2,0.0,0.0,6.2,20.2,105,120,7.6,-7.8
20,2022-11-30,29-348,IND,AWAY,SAC,L (-23),1,27:01,.594,.577,0.0,15.4,6.8,6.1,0.0,0.0,6.5,21.2,108,125,9.6,-1.9
21,2022-12-02,29-350,IND,AWAY,UTA,L (-20),1,25:22,.355,.313,0.0,0.0,0.0,5.2,1.7,0.0,32.2,18.9,52,128,-1.9,-15.1
22,2022-12-04,29-352,IND,AWAY,POR,L (-16),1,37:45,.600,.588,8.3,23.7,15.7,12.8,1.3,2.8,9.8,23.2,119,118,18.4,3.7
23,2022-12-05,29-353,IND,AWAY,GSW,W (+8),1,40:06,.428,.421,0.0,20.7,11.5,16.7,1.2,0.0,4.8,22.9,93,103,11.9,-2.0
24,2022-12-07,29-355,IND,AWAY,MIN,L (-6),1,36:45,.842,.833,0.0,9.1,4.8,4.8,1.2,0.0,16.3,21.8,126,119,18.3,5.6
25,2022-12-09,29-357,IND,HOME,WAS,W (+10),1,34:40,.737,.737,0.0,7.1,3.6,21.0,4.7,2.9,5.0,26.4,151,118,25.2,15.7
26,2022-12-10,29-358,IND,HOME,BRK,L (-3),1,33:25,.743,.727,11.6,2.8,6.5,7.5,0.0,0.0,20.8,18.3,124,139,11.7,-4.3
27,2022-12-12,29-360,IND,HOME,MIA,L (-5),1,35:38,.594,.594,2.9,23.4,13.0,15.6,0.0,0.0,20.0,26.2,93,99,11.1,1.5
