,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-11-11,24-063,MIL,AWAY,SAS,L (-18),1,29:03,.298,.269,8.0,18.4,11.8,30.5,0.0,0.0,0.0,18.3,95,118,6.9,-4.0
1,2022-12-03,24-085,MIL,AWAY,CHO,W (+9),1,31:55,.690,.727,10.5,3.1,6.6,5.3,1.5,0.0,14.0,19.2,119,99,13.0,2.5
2,2022-12-05,24-087,MIL,AWAY,ORL,W (+7),1,19:17,1.000,1.000,5.7,0.0,2.6,0.0,2.4,0.0,25.0,8.8,120,107,5.4,3.1
3,2023-03-05,24-177,IND,AWAY,CHI,W (+3),1,21:31,.543,.500,5.3,34.3,16.4,10.8,2.4,0.0,9.8,20.7,118,129,8.0,-2.1
4,2023-03-06,24-178,IND,HOME,PHI,L (-4),1,19:41,.667,.667,6.8,8.1,7.4,6.8,0.0,0.0,0.0,26.0,134,148,11.3,-0.6
5,2023-03-16,24-188,IND,AWAY,MIL,W (+16),1,33:14,.545,.545,3.4,26.9,15.1,12.4,1.4,2.5,26.7,19.4,93,117,9.5,-4.3
6,2023-03-18,24-190,IND,HOME,PHI,L (-20),1,29:13,.500,.500,13.7,28.2,20.8,22.3,0.0,0.0,18.8,23.9,108,149,9.1,-6.4
7,2023-03-27,24-199,IND,HOME,DAL,L (-23),1,30:50,.547,.545,7.2,33.0,18.4,5.0,0.0,0.0,20.2,19.9,97,133,7.3,-6.4
8,2023-03-29,24-201,IND,HOME,MIL,L (-13),1,34:29,.605,.607,0.0,8.4,3.4,6.4,1.3,0.0,6.3,18.6,113,141,11.4,-5.9
9,2023-03-31,24-203,IND,HOME,OKC,W (+4),1,29:39,.464,.464,3.0,17.2,9.6,27.5,0.0,2.8,0.0,18.1,125,116,11.9,2.7
10,2023-04-02,24-205,IND,AWAY,CLE,L (-10),1,35:53,.425,.333,9.8,20.4,15.4,13.1,0.0,0.0,5.4,22.5,104,121,11.0,-2.5
11,2023-04-05,24-208,IND,HOME,NYK,L (-9),1,25:41,.511,.444,0.0,4.0,2.1,4.7,0.0,0.0,15.7,20.3,91,140,4.1,-11.6
12,2023-04-07,24-210,IND,HOME,DET,L (-7),1,24:57,.500,.500,9.4,17.9,13.7,19.6,0.0,0.0,0.0,21.9,116,122,9.8,-4.0
13,2023-04-09,24-212,IND,AWAY,NYK,W (+5),1,23:20,.910,.900,0.0,15.0,8.5,0.0,0.0,3.0,22.3,22.9,114,125,12.1,-0.8
