,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,22-232,IND,HOME,WAS,L (-7),1,35:40,.673,.639,5.3,6.1,5.7,36.9,0.0,0.0,13.4,24.8,129,118,20.9,6.5
1,2022-10-21,22-234,IND,HOME,SAS,L (-3),1,27:09,.627,.528,4.0,10.1,6.7,60.5,1.6,0.0,15.7,34.8,130,128,23.1,5.9
2,2022-10-22,22-235,IND,HOME,DET,W (+9),1,32:03,.615,.531,5.3,5.3,5.3,43.4,7.4,0.0,4.9,24.7,148,107,27.4,15.6
3,2022-10-24,22-237,IND,AWAY,PHI,L (-14),1,31:26,.800,.773,6.6,15.3,10.7,55.9,0.0,0.0,25.2,21.4,134,134,19.7,9.7
4,2022-10-26,22-239,IND,AWAY,CHI,L (-15),1,38:12,.507,.467,0.0,12.3,6.1,46.9,1.2,2.2,26.4,25.4,93,122,13.1,-4.9
5,2022-10-28,22-241,IND,AWAY,WAS,W (+10),1,36:00,.704,.656,0.0,5.9,3.4,55.2,1.3,0.0,5.3,23.0,151,119,26.0,8.5
6,2022-10-29,22-242,IND,AWAY,BRK,W (+9),1,33:15,.697,.625,6.4,13.7,10.0,38.6,4.6,0.0,13.9,27.1,145,117,25.4,15.0
7,2022-10-31,22-244,IND,AWAY,BRK,L (-7),1,33:19,.463,.409,3.4,29.7,15.0,20.4,2.8,0.0,37.1,22.5,73,111,5.8,-7.6
8,2022-11-04,22-248,IND,HOME,MIA,W (+2),1,36:08,.619,.656,0.0,26.6,14.2,47.7,2.6,0.0,5.3,22.8,125,94,22.8,10.5
9,2022-11-07,22-251,IND,HOME,NOP,W (+7),1,34:07,.714,.714,7.0,5.9,6.4,55.2,2.8,0.0,12.5,19.9,154,123,22.9,11.0
10,2022-11-09,22-253,IND,HOME,DEN,L (-3),1,33:12,.700,.700,0.0,3.3,1.6,54.2,4.0,0.0,6.3,18.9,151,112,24.8,14.7
11,2022-11-12,22-256,IND,HOME,TOR,W (+14),1,39:10,.277,.286,3.2,10.9,7.8,49.3,2.5,2.1,17.2,18.9,104,102,10.6,-1.6
12,2022-11-16,22-260,IND,AWAY,CHO,W (+12),1,32:02,.712,.700,0.0,7.3,3.8,54.0,4.5,0.0,16.3,25.7,134,113,23.0,9.8
13,2022-11-18,22-262,IND,AWAY,HOU,W (+8),1,36:28,.548,.500,0.0,16.8,8.4,44.3,1.4,0.0,5.5,22.1,123,97,17.6,4.2
14,2022-11-19,22-263,IND,HOME,ORL,W (+1),1,33:58,.652,.656,3.4,10.3,6.8,70.0,2.9,8.7,15.1,24.8,139,112,25.3,16.8
15,2022-11-21,22-265,IND,HOME,ORL,W (+21),1,27:25,.676,.625,0.0,14.6,8.1,79.7,0.0,0.0,34.4,29.9,114,107,16.4,3.0
16,2022-11-23,22-267,IND,HOME,MIN,L (-14),1,35:03,.333,.333,2.5,5.5,3.4,60.8,1.4,0.0,16.7,21.2,94,124,9.9,-4.0
17,2022-11-25,22-269,IND,HOME,BRK,W (+11),1,34:25,.595,.500,0.0,20.4,10.6,62.9,5.3,0.0,0.0,22.0,147,107,29.6,14.0
18,2022-11-27,22-271,IND,AWAY,LAC,L (-14),1,30:54,.469,.469,0.0,16.2,7.7,64.0,3.0,0.0,0.0,21.6,115,109,17.4,8.2
19,2022-11-28,22-272,IND,AWAY,LAL,W (+1),1,35:22,.515,.523,5.3,12.3,9.0,64.6,1.3,2.2,0.0,26.1,131,113,25.8,12.4
20,2022-11-30,22-274,IND,AWAY,SAC,L (-23),1,25:25,.346,.346,0.0,16.4,7.2,58.2,3.3,0.0,13.3,22.1,88,118,9.3,-1.3
21,2022-12-02,22-276,IND,AWAY,UTA,L (-20),1,30:31,.415,.406,0.0,27.8,11.5,19.6,2.8,0.0,15.1,25.1,79,122,7.6,-6.1
22,2022-12-07,22-281,IND,AWAY,MIN,L (-6),1,36:24,.849,.821,0.0,6.1,3.2,72.9,3.8,0.0,16.4,21.9,162,114,30.5,17.0
23,2022-12-09,22-283,IND,HOME,WAS,W (+10),1,32:10,.773,.750,3.8,3.8,3.8,55.5,0.0,0.0,6.3,22.6,173,131,24.1,13.5
24,2022-12-10,22-284,IND,HOME,BRK,L (-3),1,36:51,1.044,1.033,0.0,2.5,1.5,37.4,3.8,1.8,23.0,25.0,159,131,34.2,16.3
25,2022-12-12,22-286,IND,HOME,MIA,L (-5),1,32:31,.053,.000,0.0,9.6,4.8,31.6,0.0,6.0,17.5,16.4,38,99,-1.2,-11.1
26,2022-12-14,22-288,IND,HOME,GSW,W (+6),1,34:21,.722,.676,7.2,6.8,7.0,26.7,1.3,5.3,23.0,31.7,116,114,21.7,5.6
27,2022-12-16,22-290,IND,AWAY,CLE,L (-6),1,34:33,.529,.385,0.0,0.0,0.0,55.5,4.6,3.1,11.1,25.5,126,125,21.4,7.6
28,2022-12-18,22-292,IND,HOME,NYK,L (-3),1,31:47,.433,.375,0.0,3.3,1.6,48.0,0.0,0.0,10.4,25.6,106,118,9.9,-0.3
29,2022-12-21,22-295,IND,AWAY,BOS,W (+5),1,34:02,.641,.625,2.9,4.7,3.9,38.8,1.4,0.0,7.2,33.8,132,118,26.5,13.0
30,2022-12-23,22-297,IND,AWAY,MIA,W (+3),1,37:30,.968,.950,3.8,2.7,3.2,40.6,1.4,2.1,11.9,30.7,171,120,38.8,27.0
31,2022-12-26,22-300,IND,AWAY,NOP,L (-20),1,31:01,.450,.375,0.0,3.4,1.7,32.2,3.2,3.1,18.4,24.1,87,118,9.0,-2.5
32,2022-12-27,22-301,IND,HOME,ATL,W (+15),1,30:15,.664,.656,4.0,6.2,5.2,33.9,1.6,0.0,5.5,25.5,137,113,21.2,9.7
33,2022-12-29,22-303,IND,HOME,CLE,W (+9),1,34:15,.714,.684,0.0,6.2,3.7,37.1,2.9,0.0,4.7,29.2,147,132,27.6,10.8
34,2022-12-31,22-305,IND,HOME,LAC,W (+1),1,32:54,.746,.692,3.7,24.3,13.6,42.5,5.9,3.2,0.0,21.0,170,119,31.1,18.1
35,2023-01-02,22-307,IND,HOME,TOR,W (+8),1,31:40,.533,.533,0.0,19.4,10.6,35.3,3.1,0.0,31.8,28.6,91,112,10.3,-2.4
36,2023-01-04,22-309,IND,AWAY,PHI,L (-3),1,39:30,.571,.571,8.9,11.7,10.3,45.2,2.7,2.2,12.5,18.0,133,126,21.4,7.3
37,2023-01-06,22-311,IND,HOME,POR,W (+9),1,32:58,.472,.433,0.0,11.9,6.3,56.9,1.4,0.0,11.2,24.0,104,100,14.7,3.6
38,2023-01-08,22-313,IND,HOME,CHO,W (+5),1,35:18,.633,.500,0.0,14.8,7.6,54.3,3.9,0.0,7.3,15.8,147,106,22.0,8.0
39,2023-01-11,22-316,IND,AWAY,NYK,L (-6),1,27:11,.563,.542,0.0,11.8,5.8,38.1,1.8,0.0,23.1,27.2,99,122,11.0,-2.5
40,2023-02-02,22-338,IND,HOME,LAL,L (-1),1,35:31,.542,.542,0.0,5.1,2.8,53.8,2.6,0.0,14.3,33.9,107,109,20.6,5.5
41,2023-02-03,22-339,IND,HOME,SAC,W (+3),1,34:04,.417,.417,0.0,11.5,5.9,36.9,4.2,0.0,7.7,16.5,108,102,12.7,1.3
42,2023-02-05,22-341,IND,HOME,CLE,L (-19),1,31:19,.593,.550,6.1,8.1,7.0,52.1,0.0,0.0,19.2,20.9,120,129,14.3,2.0
