,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-28,23-092,LAL,AWAY,MIN,L (-9),1,32:01,.600,.600,3.2,18.4,11.5,0.0,0.0,0.0,28.6,17.1,83,109,3.8,-5.5
1,2022-10-30,23-094,LAL,HOME,DEN,W (+11),1,26:16,.500,.500,3.8,17.9,11.1,0.0,1.9,0.0,0.0,13.0,111,111,6.4,-3.3
2,2022-11-02,23-097,LAL,HOME,NOP,W (+3),1,26:35,.778,.643,3.9,32.0,18.6,5.4,0.0,0.0,0.0,15.4,167,105,15.4,7.2
3,2022-11-04,23-099,LAL,HOME,UTA,L (-14),1,22:02,.551,.500,5.2,4.7,5.0,0.0,2.3,0.0,15.5,26.4,97,137,5.8,-8.6
4,2022-11-06,23-101,LAL,HOME,CLE,L (-14),1,29:36,.500,.500,6.6,15.4,10.7,0.0,0.0,0.0,7.7,18.8,96,117,6.4,-3.1
5,2022-11-07,23-102,LAL,AWAY,UTA,L (-23),1,24:56,.714,.714,0.0,21.4,10.4,11.9,0.0,0.0,12.5,13.8,130,137,6.7,-2.9
6,2022-11-09,23-104,LAL,AWAY,LAC,L (-13),1,31:53,.700,.700,3.5,11.0,7.2,0.0,1.5,0.0,9.1,15.0,119,115,10.6,0.6
7,2022-11-11,23-106,LAL,HOME,SAC,L (-6),1,22:55,.167,.167,0.0,17.0,7.8,0.0,4.3,0.0,0.0,11.1,42,119,0.3,-10.9
8,2022-11-13,23-108,LAL,HOME,BRK,W (+13),1,35:51,.643,.643,3.0,9.8,6.2,3.5,2.8,0.0,0.0,8.6,140,106,10.0,3.0
9,2022-11-18,23-113,LAL,HOME,DET,W (+7),1,18:09,.735,.700,0.0,11.3,6.5,7.5,2.6,0.0,0.0,12.9,149,114,6.4,1.6
10,2022-11-20,23-115,LAL,HOME,SAS,W (+31),1,23:11,.250,.250,5.8,20.0,14.8,9.6,0.0,0.0,42.9,13.1,55,89,0.1,-9.5
11,2022-11-22,23-117,LAL,AWAY,PHO,L (-10),1,20:42,.000,.000,4.8,10.1,7.4,6.4,0.0,0.0,28.6,13.8,18,113,-3.5,-15.3
12,2022-11-25,23-120,LAL,AWAY,SAS,W (+11),1,29:13,1.000,1.000,4.1,8.4,6.6,0.0,1.6,0.0,0.0,7.3,191,99,10.3,4.7
13,2022-11-26,23-121,LAL,AWAY,SAS,W (+5),1,22:56,.773,.667,0.0,7.9,4.9,14.7,2.0,0.0,20.5,8.9,143,130,7.0,0.8
14,2022-11-28,23-123,LAL,HOME,IND,L (-1),1,28:45,.300,.300,12.1,19.6,15.8,4.4,0.0,3.0,16.7,8.3,94,113,4.5,-3.3
15,2022-12-02,23-127,LAL,AWAY,MIL,W (+4),1,24:18,.900,.900,4.5,14.1,9.2,0.0,6.1,0.0,16.7,10.7,141,123,10.3,4.5
16,2022-12-19,23-144,LAL,AWAY,PHO,L (-26),1,21:01,1.500,1.500,0.0,10.6,5.1,6.2,2.4,0.0,50.0,4.2,137,136,3.2,-2.5
17,2023-01-02,23-158,LAL,AWAY,CHO,W (+6),1,34:41,.750,.750,2.9,10.6,6.9,7.0,3.8,0.0,0.0,9.2,152,101,13.5,7.3
18,2023-01-15,23-171,LAL,HOME,PHI,L (-1),1,36:44,.568,.545,3.5,10.1,6.9,0.0,1.4,2.6,0.0,14.7,113,117,9.0,-2.5
19,2023-01-16,23-172,LAL,HOME,HOU,W (+8),1,29:39,.750,.750,0.0,10.3,5.6,3.5,1.6,2.3,20.0,7.5,120,132,6.3,-1.7
20,2023-01-18,23-174,LAL,HOME,SAC,L (-5),1,22:00,.500,.500,5.6,14.9,10.5,16.9,4.6,0.0,0.0,8.5,132,117,7.3,1.9
21,2023-01-20,23-176,LAL,HOME,MEM,W (+1),1,28:02,.427,.375,0.0,14.0,7.8,5.2,0.0,2.3,0.0,18.4,93,115,6.3,-4.0
22,2023-01-22,23-178,LAL,AWAY,POR,W (+9),1,31:34,.556,.556,0.0,5.8,3.4,7.8,3.2,0.0,10.0,13.8,111,116,7.1,-1.2
23,2023-01-24,23-180,LAL,HOME,LAC,L (-18),1,27:53,.500,.500,0.0,5.7,2.2,14.0,0.0,3.7,0.0,10.8,117,142,5.6,-5.2
24,2023-01-25,23-181,LAL,HOME,SAS,W (+9),1,20:34,.750,.750,5.6,22.6,15.7,6.6,2.2,0.0,0.0,7.6,160,95,7.8,4.4
25,2023-01-28,23-184,LAL,AWAY,BOS,L (-4),1,26:49,.143,.143,4.0,13.8,8.5,4.4,0.0,0.0,0.0,11.0,50,119,-1.0,-10.9
26,2023-01-30,23-186,LAL,AWAY,BRK,L (-17),1,31:01,.619,.625,20.1,31.6,25.5,21.5,0.0,0.0,18.4,14.1,127,118,15.3,5.8
27,2023-01-31,23-187,LAL,AWAY,NYK,W (+6),1,34:10,.533,.500,7.2,10.1,8.7,10.7,0.0,0.0,10.6,12.1,119,122,7.2,-0.7
28,2023-02-09,23-196,LAL,HOME,MIL,L (-9),1,38:34,.611,.611,2.7,18.2,10.6,6.7,0.0,0.0,18.2,12.4,106,118,7.7,-1.2
