,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2022-10-19,26-211,MEM,HOME,NYK,W (+3),1,33:22,.545,.545,8.5,20.5,14.8,8.9,3.0,0.0,8.3,14.5,122,99,12.8,5.6
1,2022-10-21,26-213,MEM,AWAY,HOU,W (+7),1,30:15,.773,.773,6.5,10.3,8.4,0.0,4.6,2.7,0.0,14.2,163,114,17.7,8.3
2,2022-10-22,26-214,MEM,AWAY,DAL,L (-41),1,20:26,.625,.625,5.5,6.2,5.8,0.0,0.0,0.0,20.0,11.0,99,143,2.2,-7.2
3,2022-10-31,26-223,MEM,AWAY,UTA,L (-16),1,25:46,.250,.250,3.4,8.3,5.6,0.0,5.4,4.4,11.1,13.3,58,109,1.6,-5.9
4,2022-11-13,26-236,MEM,AWAY,WAS,L (-10),1,36:33,.389,.389,0.0,25.7,12.1,3.9,1.3,0.0,0.0,10.2,89,103,5.1,-4.5
5,2022-11-15,26-238,MEM,AWAY,NOP,L (-11),1,36:31,.750,.750,5.3,17.9,11.2,8.0,1.4,0.0,14.3,8.1,140,118,9.4,-0.1
6,2022-11-18,26-241,MEM,HOME,OKC,W (+11),1,28:51,.950,.950,3.2,31.2,16.6,12.2,0.0,2.7,9.1,15.1,164,107,19.3,15.5
7,2022-11-20,26-243,MEM,AWAY,BRK,L (-12),1,33:16,.587,.455,5.4,28.1,14.6,27.1,2.8,0.0,6.8,17.2,135,120,18.1,6.0
8,2022-11-22,26-245,MEM,HOME,SAC,L (-4),1,30:35,.563,.500,3.2,27.9,15.0,8.6,1.5,7.0,31.1,16.5,85,103,7.3,-1.4
9,2022-11-25,26-248,MEM,HOME,NOP,W (+21),1,25:23,.750,.750,8.8,17.2,13.0,0.0,1.9,0.0,14.3,11.3,136,110,8.2,4.0
10,2022-11-27,26-250,MEM,AWAY,NYK,W (+4),1,29:10,.776,.750,3.6,25.0,14.3,8.4,0.0,0.0,0.0,8.9,171,126,10.4,2.3
11,2022-11-30,26-253,MEM,AWAY,MIN,L (-8),1,30:29,.500,.500,3.6,28.6,16.1,9.8,1.6,0.0,12.5,10.1,116,108,7.4,1.9
12,2022-12-02,26-255,MEM,HOME,PHI,W (+8),1,32:05,.450,.375,2.9,15.6,9.1,0.0,1.5,0.0,10.1,12.2,100,114,5.0,-5.3
13,2022-12-04,26-257,MEM,AWAY,DET,W (+10),1,31:39,.751,.750,0.0,18.1,8.9,0.0,6.0,0.0,12.0,10.7,127,102,11.7,3.4
14,2022-12-07,26-260,MEM,HOME,OKC,W (+21),1,27:47,.371,.333,3.9,9.6,7.1,4.0,3.3,0.0,9.6,15.7,81,102,4.4,-8.1
15,2022-12-09,26-262,MEM,HOME,DET,W (+11),1,24:53,.500,.500,0.0,15.7,8.1,5.3,1.8,0.0,0.0,13.0,107,101,6.1,-3.7
16,2022-12-12,26-265,MEM,HOME,ATL,W (+25),1,23:53,.900,.900,8.4,18.8,16.0,23.9,1.9,0.0,0.0,8.9,193,96,13.3,10.1
17,2022-12-15,26-268,MEM,HOME,MIL,W (+41),1,16:33,.625,.625,0.0,16.4,9.2,0.0,0.0,0.0,0.0,9.7,134,105,3.9,-1.3
18,2022-12-17,26-270,MEM,AWAY,OKC,L (-6),1,23:19,.375,.375,0.0,15.8,7.8,19.3,0.0,0.0,0.0,7.1,105,116,3.5,-2.1
19,2022-12-20,26-273,MEM,AWAY,DEN,L (-14),1,15:34,.000,.000,0.0,6.4,3.4,8.6,0.0,0.0,0.0,2.9,46,114,0.3,-6.7
20,2023-01-01,26-285,MEM,HOME,SAC,W (+10),1,27:38,.524,.500,6.4,13.9,10.0,9.3,7.0,0.0,8.0,17.8,119,100,13.3,6.6
21,2023-01-05,26-289,MEM,AWAY,ORL,W (+8),1,23:41,.375,.375,0.0,30.2,16.1,4.4,0.0,0.0,20.0,8.9,72,115,2.0,-5.4
22,2023-04-09,27-018,MEM,AWAY,OKC,L (-15),1,35:39,.200,.200,5.2,23.6,13.2,10.4,2.7,5.0,16.7,7.2,72,109,5.7,-5.9
