,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 19, 2022",2022,10,19,7:30p,True,NYK,W,True,115,112,1,0,W 1
1,"Fri, Oct 21, 2022",2022,10,21,8:00p,False,HOU,W,False,129,122,2,0,W 2
2,"Sat, Oct 22, 2022",2022,10,22,8:30p,False,DAL,L,False,96,137,2,1,L 1
3,"Mon, Oct 24, 2022",2022,10,24,8:00p,True,BRK,W,False,134,124,3,1,W 1
4,"Thu, Oct 27, 2022",2022,10,27,10:00p,False,SAC,W,False,125,110,4,1,W 2
5,"Sat, Oct 29, 2022",2022,10,29,9:00p,False,UTA,L,False,123,124,4,2,L 1
6,"Mon, Oct 31, 2022",2022,10,31,9:00p,False,UTA,L,False,105,121,4,3,L 2
7,"Wed, Nov 2, 2022",2022,11,2,10:00p,False,POR,W,False,111,106,5,3,W 1
8,"Fri, Nov 4, 2022",2022,11,4,8:00p,True,CHO,W,False,130,99,6,3,W 2
9,"Sun, Nov 6, 2022",2022,11,6,6:00p,True,WAS,W,False,103,97,7,3,W 3
10,"Mon, Nov 7, 2022",2022,11,7,9:00p,True,BOS,L,False,106,109,7,4,L 1
11,"Wed, Nov 9, 2022",2022,11,9,8:00p,False,SAS,W,True,124,122,8,4,W 1
12,"Fri, Nov 11, 2022",2022,11,11,9:30p,True,MIN,W,False,114,103,9,4,W 2
13,"Sun, Nov 13, 2022",2022,11,13,6:00p,False,WAS,L,False,92,102,9,5,L 1
14,"Tue, Nov 15, 2022",2022,11,15,7:30p,False,NOP,L,False,102,113,9,6,L 2
15,"Fri, Nov 18, 2022",2022,11,18,8:00p,True,OKC,W,False,121,110,10,6,W 1
16,"Sun, Nov 20, 2022",2022,11,20,7:00p,False,BRK,L,False,115,127,10,7,L 1
17,"Tue, Nov 22, 2022",2022,11,22,8:00p,True,SAC,L,False,109,113,10,8,L 2
18,"Fri, Nov 25, 2022",2022,11,25,8:00p,True,NOP,W,False,132,111,11,8,W 1
19,"Sun, Nov 27, 2022",2022,11,27,6:00p,False,NYK,W,False,127,123,12,8,W 2
21,"Wed, Nov 30, 2022",2022,11,30,8:00p,False,MIN,L,False,101,109,12,9,L 1
22,"Fri, Dec 2, 2022",2022,12,2,8:00p,True,PHI,W,False,117,109,13,9,W 1
23,"Sun, Dec 4, 2022",2022,12,4,6:00p,False,DET,W,False,122,112,14,9,W 2
24,"Mon, Dec 5, 2022",2022,12,5,8:00p,True,MIA,W,False,101,93,15,9,W 3
25,"Wed, Dec 7, 2022",2022,12,7,8:00p,True,OKC,W,False,123,102,16,9,W 4
26,"Fri, Dec 9, 2022",2022,12,9,8:00p,True,DET,W,False,114,103,17,9,W 5
27,"Mon, Dec 12, 2022",2022,12,12,8:00p,True,ATL,W,False,128,103,18,9,W 6
28,"Thu, Dec 15, 2022",2022,12,15,8:00p,True,MIL,W,False,142,101,19,9,W 7
29,"Sat, Dec 17, 2022",2022,12,17,8:00p,False,OKC,L,False,109,115,19,10,L 1
30,"Tue, Dec 20, 2022",2022,12,20,10:00p,False,DEN,L,False,91,105,19,11,L 2
31,"Fri, Dec 23, 2022",2022,12,23,10:00p,False,PHO,W,False,125,100,20,11,W 1
32,"Sun, Dec 25, 2022",2022,12,25,8:00p,False,GSW,L,False,109,123,20,12,L 1
33,"Tue, Dec 27, 2022",2022,12,27,8:00p,True,PHO,L,False,108,125,20,13,L 2
34,"Thu, Dec 29, 2022",2022,12,29,7:30p,False,TOR,W,False,119,106,21,13,W 1
35,"Sat, Dec 31, 2022",2022,12,31,8:00p,True,NOP,W,False,116,101,22,13,W 2
36,"Sun, Jan 1, 2023",2023,1,1,8:00p,True,SAC,W,False,118,108,23,13,W 3
37,"Wed, Jan 4, 2023",2023,1,4,7:00p,False,CHO,W,False,131,107,24,13,W 4
38,"Thu, Jan 5, 2023",2023,1,5,7:00p,False,ORL,W,False,123,115,25,13,W 5
39,"Sun, Jan 8, 2023",2023,1,8,6:00p,True,UTA,W,False,123,118,26,13,W 6
40,"Mon, Jan 9, 2023",2023,1,9,8:00p,True,SAS,W,False,121,113,27,13,W 7
42,"Wed, Jan 11, 2023",2023,1,11,8:00p,True,SAS,W,False,135,129,28,13,W 8
43,"Sat, Jan 14, 2023",2023,1,14,7:00p,False,IND,W,False,130,112,29,13,W 9
44,"Mon, Jan 16, 2023",2023,1,16,6:00p,True,PHO,W,False,136,106,30,13,W 10
45,"Wed, Jan 18, 2023",2023,1,18,8:00p,True,CLE,W,False,115,114,31,13,W 11
46,"Fri, Jan 20, 2023",2023,1,20,10:00p,False,LAL,L,False,121,122,31,14,L 1
47,"Sun, Jan 22, 2023",2023,1,22,8:00p,False,PHO,L,False,110,112,31,15,L 2
48,"Mon, Jan 23, 2023",2023,1,23,10:30p,False,SAC,L,False,100,133,31,16,L 3
49,"Wed, Jan 25, 2023",2023,1,25,10:00p,False,GSW,L,False,120,122,31,17,L 4
50,"Fri, Jan 27, 2023",2023,1,27,7:30p,False,MIN,L,False,100,111,31,18,L 5
51,"Sun, Jan 29, 2023",2023,1,29,6:00p,True,IND,W,False,112,100,32,18,W 1
52,"Wed, Feb 1, 2023",2023,2,1,7:00p,True,POR,L,False,112,122,32,19,L 1
53,"Thu, Feb 2, 2023",2023,2,2,7:30p,False,CLE,L,False,113,128,32,20,L 2
54,"Sun, Feb 5, 2023",2023,2,5,6:00p,True,TOR,L,False,103,106,32,21,L 3
55,"Tue, Feb 7, 2023",2023,2,7,8:00p,True,CHI,W,False,104,89,33,21,W 1
56,"Fri, Feb 10, 2023",2023,2,10,8:00p,True,MIN,W,False,128,107,34,21,W 2
57,"Sun, Feb 12, 2023",2023,2,12,2:00p,False,BOS,L,False,109,119,34,22,L 1
58,"Wed, Feb 15, 2023",2023,2,15,8:00p,True,UTA,W,False,117,111,35,22,W 1
59,"Thu, Feb 23, 2023",2023,2,23,7:30p,False,PHI,L,False,105,110,35,23,L 1
60,"Sat, Feb 25, 2023",2023,2,25,8:00p,True,DEN,W,False,112,94,36,23,W 1
61,"Tue, Feb 28, 2023",2023,2,28,7:30p,True,LAL,W,False,121,109,37,23,W 2
63,"Wed, Mar 1, 2023",2023,3,1,8:00p,False,HOU,W,False,113,99,38,23,W 3
64,"Fri, Mar 3, 2023",2023,3,3,10:00p,False,DEN,L,False,97,113,38,24,L 1
65,"Sun, Mar 5, 2023",2023,3,5,10:00p,False,LAC,L,False,129,135,38,25,L 2
66,"Tue, Mar 7, 2023",2023,3,7,10:00p,False,LAL,L,False,103,112,38,26,L 3
67,"Thu, Mar 9, 2023",2023,3,9,7:30p,True,GSW,W,False,131,110,39,26,W 1
68,"Sat, Mar 11, 2023",2023,3,11,8:00p,True,DAL,W,False,112,108,40,26,W 2
69,"Mon, Mar 13, 2023",2023,3,13,7:30p,False,DAL,W,False,104,88,41,26,W 3
70,"Wed, Mar 15, 2023",2023,3,15,7:30p,False,MIA,L,False,119,138,41,27,L 1
71,"Fri, Mar 17, 2023",2023,3,17,8:00p,False,SAS,W,True,126,120,42,27,W 1
72,"Sat, Mar 18, 2023",2023,3,18,8:00p,True,GSW,W,False,133,119,43,27,W 2
73,"Mon, Mar 20, 2023",2023,3,20,8:00p,True,DAL,W,False,112,108,44,27,W 3
74,"Wed, Mar 22, 2023",2023,3,22,8:00p,True,HOU,W,False,130,125,45,27,W 4
75,"Fri, Mar 24, 2023",2023,3,24,8:00p,True,HOU,W,False,151,114,46,27,W 5
76,"Sun, Mar 26, 2023",2023,3,26,6:00p,False,ATL,W,False,123,119,47,27,W 6
77,"Tue, Mar 28, 2023",2023,3,28,8:00p,True,ORL,W,False,113,108,48,27,W 7
78,"Wed, Mar 29, 2023",2023,3,29,8:00p,True,LAC,L,False,132,141,48,28,L 1
79,"Fri, Mar 31, 2023",2023,3,31,8:00p,True,LAC,W,False,108,94,49,28,W 1
80,"Sun, Apr 2, 2023",2023,4,2,3:30p,False,CHI,L,False,107,128,49,29,L 1
81,"Tue, Apr 4, 2023",2023,4,4,8:00p,True,POR,W,False,119,109,50,29,W 1
82,"Wed, Apr 5, 2023",2023,4,5,8:00p,False,NOP,L,True,131,138,50,30,L 1
84,"Fri, Apr 7, 2023",2023,4,7,8:00p,False,MIL,W,False,137,114,51,30,W 1
85,"Sun, Apr 9, 2023",2023,4,9,3:30p,False,OKC,L,False,100,115,51,31,L 1
